,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
3189, Rowley Hall Hospital , 39 , 25 , 11 , * , * , 90 , 859 , -   , 54 , -   , 327 , 17 ," 1,445 ", 326 , * , -   , * , 170 , 51 , 37 ,1314,NVC17, -   ,,
3190, Royal Berkshire NHS Foundation Trust ," 2,496 "," 11,710 "," 2,349 "," 1,239 ", 417 ," 1,566 "," 6,304 ", 618 ," 5,210 "," 5,227 "," 9,224 "," 1,564 "," 9,096 "," 5,581 "," 9,842 "," 1,439 ", 402 ," 9,207 "," 5,357 "," 9,628 ",1314,RHW, -   ,,
3191, Royal Brompton & Harefield NHS Foundation Trust , 287 ," 1,574 "," 1,506 "," 2,129 ", 10 ," 3,338 ", * , * ," 12,051 "," 7,627 ", 97 , 40 , 175 , 27 , 6 , 25 ," 2,129 "," 3,910 ", 563 ," 1,696 ",1314,RT3, -   ,,
3192, Royal Cornwall Hospitals NHS Trust ," 2,024 "," 20,371 "," 1,917 "," 1,966 ", 501 ," 2,043 "," 5,150 ", 622 ," 7,348 "," 5,141 "," 15,006 "," 1,670 "," 7,639 "," 7,504 "," 10,809 "," 2,546 ", 492 ," 13,163 "," 8,608 "," 8,222 ",1314,REF-X, -   ,,
3193, Royal Devon and Exeter NHS Foundation Trust ," 1,859 "," 24,334 "," 3,328 "," 1,778 ", 644 ," 2,641 "," 6,664 ", 727 ," 7,134 "," 4,861 "," 13,434 "," 2,399 "," 8,230 "," 6,417 "," 8,196 "," 1,719 ", 419 ," 12,019 "," 8,647 "," 6,440 ",1314,RH8, -   ,,
3194, Royal Free London NHS Foundation Trust ," 1,798 "," 5,821 "," 1,464 "," 1,241 ", 655 ," 1,138 "," 4,807 ", 164 ," 5,203 "," 2,978 "," 7,981 "," 2,393 "," 3,123 "," 4,032 "," 4,411 ", 564 , 569 ," 8,510 "," 6,564 "," 6,267 ",1314,RAL, -   ,,
3195, Royal Liverpool and Broadgreen University Hospitals NHS Trust ," 1,555 "," 8,750 "," 2,231 "," 1,401 ", 787 ," 1,125 "," 7,419 ", 365 ," 5,684 "," 4,421 "," 15,293 "," 2,215 "," 8,765 "," 4,065 ", 61 , -   , 258 ," 13,295 "," 8,028 "," 4,157 ",1314,RQ6, -   ,,
3196, Royal National Hospital for Rheumatic Diseases NHS Foundation Trust , * , 7 , 38 , 8 , * , 50 , 6 , -   , 13 , 9 , 561 , 26 ," 2,003 ", * , -   , -   , * , 156 , * , 24 ,1314,RBB, -   ,,
3197, Royal National Orthopaedic Hospital NHS Trust , 11 ," 1,815 ", * , * , * ," 1,573 ", -   , * , 14 , * , 6 , 114 ," 9,799 ", 344 , -   , 42 , 583 , 372 ," 1,798 ", 175 ,1314,RAN, -   ,,
3198, Royal Surrey County Hospital NHS Foundation Trust ," 1,183 "," 12,938 "," 1,632 ", 542 , 316 ," 1,026 "," 2,363 ", 555 ," 2,629 "," 3,660 "," 12,950 "," 1,699 "," 5,575 "," 3,852 "," 4,622 "," 1,132 ", 307 ," 9,042 "," 5,231 "," 5,373 ",1314,RA2, -   ,,
3199, Royal United Hospital Bath NHS Trust ," 2,147 "," 7,169 "," 1,837 "," 1,274 ", 546 ," 1,903 "," 4,053 ", 450 ," 5,557 "," 4,874 "," 9,211 "," 1,188 "," 4,960 "," 3,724 "," 1,110 ", 776 , 276 ," 9,446 "," 6,866 "," 1,938 ",1314,RD1, -   ,,
3200, Salford Royal NHS Foundation Trust ," 1,513 "," 6,621 "," 2,569 "," 2,563 ", 863 ," 6,904 ", 109 , 385 ," 4,410 "," 3,969 "," 10,316 "," 1,635 "," 10,414 "," 4,562 "," 3,084 ", 87 , 217 ," 11,936 "," 6,713 "," 1,986 ",1314,RM3, -   ,,
3201, Salisbury NHS Foundation Trust , 927 ," 4,521 ", 677 , 698 , 177 ," 1,021 "," 1,680 ", 328 ," 3,460 "," 2,567 "," 7,531 "," 1,544 "," 5,097 "," 3,344 "," 5,776 "," 1,148 ", 554 ," 5,952 "," 5,574 "," 3,038 ",1314,RNZ, -   ,,
3202, Sandwell and West Birmingham Hospitals NHS Trust ," 2,725 "," 9,675 "," 2,567 "," 1,331 "," 1,091 "," 1,508 "," 9,793 ", 168 ," 6,579 "," 7,532 "," 10,153 "," 3,302 "," 6,497 "," 6,090 "," 8,768 "," 2,673 ", 316 ," 13,729 "," 7,492 "," 5,510 ",1314,RXK-X, -   ,,
3203, Sheffield Children's NHS Foundation Trust ," 1,766 "," 1,914 ", 704 , 596 , 132 ," 1,219 ", 604 , 511 , 82 ," 3,650 "," 3,932 ", 692 ," 1,455 "," 1,555 ", -   , 588 ," 2,028 "," 3,744 "," 2,624 "," 2,995 ",1314,RCU, -   ,,
3204, Sheffield Health & Social Care NHS Foundation Trust , -   , -   , -   , -   , 801 , 29 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , -   , 68 ,1314,TAH, -   ,,
3205, Sheffield Teaching Hospitals NHS Foundation Trust ," 3,108 "," 43,059 "," 5,040 "," 3,482 "," 1,087 "," 6,673 "," 8,284 ", 659 ," 16,514 "," 8,684 "," 27,479 "," 4,068 "," 13,122 "," 8,724 "," 17,230 "," 3,918 "," 1,240 "," 18,595 "," 11,492 "," 11,633 ",1314,RHQ, -   ,,
3206, Shepton Mallet NHS Treatment Centre , * , 161 , 29 , * , -   , 390 ," 1,948 ", 417 , 77 , 384 ," 1,745 ", 105 ," 2,120 ", 163 , -   , -   , 6 , 361 , 71 , 108 ,1314,NTC01, -   ,,
3207, Sherwood Forest Hospitals NHS Foundation Trust ," 2,422 "," 6,725 "," 1,428 ", 915 , 406 ," 1,712 "," 2,304 ", 475 ," 4,422 "," 5,263 "," 9,804 "," 2,183 "," 6,458 "," 7,853 "," 8,190 ", 587 , 222 ," 10,222 "," 4,617 "," 6,817 ",1314,RK5, -   ,,
3208, Shrewsbury and Telford Hospital NHS Trust ," 2,805 "," 19,321 "," 2,120 "," 2,254 ", 442 ," 2,066 "," 3,096 ", 665 ," 7,510 "," 7,331 "," 16,117 "," 1,848 "," 5,150 "," 6,547 "," 6,829 "," 2,045 ", 432 ," 12,877 "," 7,282 "," 7,412 ",1314,RXW, -   ,,
3209, Shropshire Community Health NHS Trust , 26 , 195 , 12 , 19 , 29 , 141 , 20 , -   , 205 , 222 ," 1,087 ", 130 , 189 , 194 , * , -   , * , 268 , 346 , 45 ,1314,R1D, -   ,,
3210, Solent NHS Trust , 8 , 99 , * , 15 ," 1,124 ", 151 , -   , -   , 155 , 166 , 227 , 49 , 61 , 107 , 197 , -   , * , 203 , 316 , 76 ,1314,R1C, -   ,,
3211, Somerset Partnership NHS Foundation Trust , 48 , 367 , 26 , 54 ," 1,163 ", 109 , * , * , 495 , 334 , 165 , 204 , 478 , 364 , -   , -   , * ," 1,119 ", 925 , 80 ,1314,RH5, -   ,,
3212, Somerset Surgical Services , -   , 22 , -   , -   , -   , 13 , 150 , -   , -   , -   , 83 , 21 , 90 , -   , -   , -   , * , -   , * , * ,1314,NFH01, -   ,,
3213, South Devon Healthcare NHS Foundation Trust ," 1,744 "," 11,544 "," 1,236 ", 864 , 445 ," 1,295 "," 2,593 ", 478 ," 4,470 "," 3,791 "," 9,103 "," 1,135 "," 5,204 "," 3,730 "," 4,455 ", 412 , 170 ," 6,981 "," 4,798 "," 5,097 ",1314,RA9, -   ,,
3214, South Essex Partnership University NHS Foundation Trust , * , * , -   , 6 ," 2,178 ", 120 , -   , -   , 57 , 21 , 17 , 6 , 32 , 23 , * , -   , -   , 56 , 102 , 48 ,1314,RWN, -   ,,
3215, South London and Maudsley NHS Foundation Trust , * , -   , -   , -   ," 6,756 ", 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 111 , -   , 154 ,1314,RV5, -   ,,
3216, South London Healthcare NHS Trust ," 1,064 "," 5,505 "," 1,009 ", 702 , 140 , 833 ," 1,834 ", 40 ," 1,456 "," 1,565 "," 5,410 "," 1,010 "," 3,265 "," 2,292 "," 3,455 "," 1,129 ", 85 ," 4,282 "," 1,658 "," 3,445 ",1314,RYQ, -   ,,
3217, South Staffordshire and Shropshire Healthcare NHS Foundation Trust , -   , -   , -   , -   ," 1,012 ", 33 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 943 , * , 9 ,1314,RRE, -   ,,
3218, South Tees Hospitals NHS Foundation Trust ," 4,557 "," 22,560 "," 2,982 "," 2,487 ", 585 ," 4,349 "," 6,464 "," 1,269 "," 10,718 "," 9,531 "," 17,031 "," 3,482 "," 12,022 "," 8,395 "," 10,051 "," 1,190 ", 935 ," 15,898 "," 10,317 "," 8,643 ",1314,RTR, -   ,,
3219, South Tyneside NHS Foundation Trust , 894 ," 5,732 ", 896 , 669 , 148 , 401 , 27 , 32 ," 2,036 "," 2,368 "," 5,526 ", 699 ," 2,222 "," 1,338 "," 3,970 ", 484 , 51 ," 4,307 "," 2,162 "," 2,234 ",1314,RE9, -   ,,
3220, South Warwickshire NHS Foundation Trust ," 1,269 "," 9,598 ", 888 ," 1,033 ", 257 , 950 ," 2,106 ", 396 ," 2,363 "," 3,423 "," 5,472 "," 1,001 "," 5,010 "," 4,198 "," 4,429 "," 1,448 ", 191 ," 7,380 "," 3,605 "," 3,471 ",1314,RJC, -   ,,
3221, South West London and St George's Mental Health NHS Trust , -   , -   , -   , -   ," 1,800 ", 11 , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   , 195 , -   , 74 ,1314,RQY, -   ,,
3222, South West Yorkshire Partnership NHS Foundation Trust , 22 , 23 , * , 6 ," 2,011 ", 164 , -   , -   , 208 , 66 , 24 , 12 , 29 , 30 , -   , -   , * , 364 , 130 , 96 ,1314,RXG, -   ,,
3223, Southampton NHS Treatment Centre , 64 , 373 , 65 , * , 28 , 517 ," 1,384 ", 89 , 353 , 401 ," 6,733 ", 311 ," 2,524 "," 1,429 ", * , -   , 24 , 621 , 147 , 616 ,1314,NTP11, -   ,,
3224, Southend University Hospital NHS Foundation Trust ," 1,388 "," 15,892 "," 1,962 "," 1,058 ", 539 ," 1,657 "," 5,251 ", 383 ," 5,506 "," 3,961 "," 8,628 "," 1,753 "," 8,388 "," 5,207 "," 7,086 "," 1,010 ", * ," 12,473 "," 5,342 "," 6,451 ",1314,RAJ, * ,,
3225, Southern Health NHS Foundation Trust , 178 ," 1,345 ", 330 , 101 ," 1,386 ", 364 , 885 , 41 , 630 , 874 ," 2,358 ", 353 , 476 ," 1,100 ", -   , -   , 6 ," 2,219 ", 396 , 623 ,1314,RW1, -   ,,
3226, Southport and Ormskirk Hospital NHS Trust ," 1,654 "," 5,478 "," 2,022 "," 1,558 ", 546 , 845 ," 3,395 ", 223 ," 3,102 "," 3,803 "," 8,666 "," 1,237 "," 5,659 "," 3,274 "," 4,006 "," 1,137 ", 84 ," 6,796 "," 3,508 "," 4,430 ",1314,RVY, -   ,,
3227, Spamedica , -   , * , -   , -   , -   , * ," 2,077 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 ,1314,NPG01, -   ,,
3228, Spire Alexandra Hospital , * , 52 , -   , * , -   , 12 , * , -   , 18 , -   , 112 , 56 , 753 , 227 , -   , -   , -   , 16 , 19 , 6 ,1314,NT312, -   ,,
3229, Spire Bristol Hospital , -   , 15 , -   , -   , -   , 84 , -   , -   , 9 , -   , 18 , * ," 1,133 ", 68 , -   , -   , * , 8 , 10 , 90 ,1314,NT302, -   ,,
3230, Spire Bushey Hospital , * , 28 , -   , -   , -   , -   , -   , * , 29 , 12 , 44 , 8 , 360 , 58 , -   , -   , * , 10 , * , 12 ,1314,NT315, -   ,,
3231, Spire Cambridge Lea Hospital , -   , 21 , -   , 9 , -   , * , -   , -   , -   , 6 , 53 , 7 , 607 , -   , -   , -   , * , * , 6 , -   ,1314,NT317, -   ,,
3232, Spire Cheshire Hospital , 19 , 73 , 6 , * , * , 82 , 59 , 66 , 156 , 249 , 508 , 41 , 778 , 276 , -   , -   , * , 107 , 15 , 55 ,1314,NT324, -   ,,
3233, Spire Clare Park Hospital , 7 , 18 , * , -   , * , 12 , * , -   , 25 , 13 , 119 , * , 418 , 52 , -   , -   , * , 33 , 7 , * ,1314,NT345, -   ,,
3234, Spire Dunedin Hospital , * , 26 , * , -   , -   , 21 , -   , -   , 44 , -   , 215 , 7 , 559 , 57 , -   , -   , -   , 31 , * , 15 ,1314,NT344, -   ,,
3235, Spire Elland Hospital , 16 , 51 , * , 6 , -   , 123 , * , -   , 213 , 28 , 513 , 45 ," 1,302 ", 266 , -   , -   , * , 72 , 29 , 126 ,1314,NT348, -   ,,
3236, Spire Fylde Coast Hospital , 17 , 65 , * , * , -   , 71 , 702 , 22 , 122 , 227 , 571 , 100 ," 1,317 ", 138 , -   , -   , * , 108 , 34 , 75 ,1314,NT347, -   ,,
3237, Spire Gatwick Park Hospital , -   , * , -   , -   , -   , 18 , -   , -   , * , * , 87 , 8 , 530 , 22 , -   , -   , -   , * , 14 , * ,1314,NT308, -   ,,
3238, Spire Harpenden Hospital , -   , 28 , * , -   , -   , 7 , 472 , 8 , * , 69 , 52 , 17 , 707 , 44 , -   , -   , * , * , 17 , 9 ,1314,NT316, -   ,,
3239, Spire Hartswood Hospital , -   , 32 , -   , -   , -   , 52 , 125 , 40 , 6 , 142 , 107 , 43 , 624 , 111 , -   , -   , * , 25 , * , 46 ,1314,NT319, -   ,,
3240, Spire Hull and East Riding Hospital , 24 , 358 , * , 8 , * , 176 , 119 , 22 , 479 , 34 , 634 , 338 ," 3,402 ", 229 , -   , -   , 6 , 442 , 54 , 41 ,1314,NT351, -   ,,
3241, Spire Leeds Hospital , 32 , 96 , * , 75 , * , 273 , * , 49 , 28 , 207 , 286 , 148 ," 1,173 ", 362 , -   , -   , 8 , 80 , 16 , 13 ,1314,NT332, -   ,,
3242, Spire Leicester Hospital , * , 54 , -   , * , -   , 29 , 481 , -   , 16 , -   , 192 , 68 , 504 , 116 , -   , -   , -   , 18 , 8 , 228 ,1314,NT322, -   ,,
3243, Spire Little Aston Hospital , -   , 26 , -   , * , -   , 90 , -   , 13 , -   , 24 , 79 , 23 ," 1,137 ", 108 , -   , -   , * , * , 21 , 8 ,1314,NT321, -   ,,
3244, Spire Liverpool Hospital , 79 , 77 , 38 , * , * , 169 , 603 , 56 , 254 , 263 ," 1,335 ", 32 ," 2,992 ", 557 , -   , -   , 6 , 530 , 66 , 59 ,1314,NT337, -   ,,
3245, Spire Manchester Hospital , * , 22 , * , -   , -   , 47 , -   , 26 , 44 , 139 , 200 , 15 , 753 , 59 , -   , -   , * , 24 , 15 , * ,1314,NT327, -   ,,
3246, Spire Methley Park Hospital , 11 , 103 , * , * , -   , 193 , 469 , 18 , 176 , 45 , 409 , 61 ," 1,698 ", 352 , -   , -   , * , 105 , 23 , 42 ,1314,NT350, -   ,,
3247, Spire Montefiore Hospital , * , -   , * , -   , -   , 53 , -   , -   , * , -   , 48 , * , 351 , -   , -   , -   , -   , 7 , 8 , * ,1314,NT364, -   ,,
3248, Spire Murrayfield Hospital , 9 , 45 , * , -   , -   , 153 , 560 , 14 , 138 , 56 , 351 , 28 ," 1,064 ", 92 , -   , -   , * , 27 , 20 , 13 ,1314,NT325, -   ,,
3249, Spire Norwich Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , 28 , -   , -   ," 1,137 ", -   , -   , -   , * , -   , 10 , * ,1314,NT318, -   ,,
3250, Spire Parkway Hospital , * , 18 , -   , -   , -   , 44 , 31 , -   , 34 , -   , 163 , 11 , 778 , 179 , -   , -   , * , 17 , 11 , 8 ,1314,NT320, -   ,,
3251, Spire Portsmouth Hospital , -   , * , -   , -   , * , 47 , -   , -   , -   , 8 , 50 , * , 620 , -   , -   , -   , * , -   , * , * ,1314,NT305, -   ,,
3252, Spire Regency Hospital , 10 , 67 , * , -   , -   , 17 , 713 , 13 , 162 , 30 , 272 , 15 , 314 , 202 , -   , -   , * , 63 , 11 , 90 ,1314,NT339, -   ,,
3253, Spire Roding Hospital , * , 100 , * , * , -   , 6 , -   , 59 , 86 , 123 , 226 , 57 , 797 , 573 , -   , -   , * , 51 , 7 , 23 ,1314,NT314, -   ,,
3254, Spire South Bank Hospital , * , 28 , * , -   , -   , 114 , -   , * , 66 , 64 , 419 , 13 , 514 , 179 , -   , -   , * , 42 , 17 , 21 ,1314,NT301, -   ,,
3255, Spire Southampton Hospital , -   , 10 , -   , 93 , -   , 10 , 65 , -   , 96 , -   , 182 , * , 499 , * , -   , -   , 7 , * , 27 , 15 ,1314,NT304, -   ,,
3256, Spire St Saviours Hospital , 12 , 56 , -   , * , * , 9 , 551 , * , 88 , 6 , 329 , 24 , 764 , 202 , -   , -   , -   , 51 , 20 , 23 ,1314,NT346, -   ,,
3257, Spire Sussex Hospital , -   , 11 , -   , -   , -   , 43 , -   , -   , -   , -   , 12 , * , 273 , 49 , -   , -   , -   , * , * , * ,1314,NT309, -   ,,
3258, Spire Thames Valley Hospital , * , 14 , -   , -   , * , 10 , -   , 6 , 17 , 32 , 30 , 13 , 160 , 19 , -   , -   , * , * , * , * ,1314,NT343, -   ,,
3259, Spire Tunbridge Wells Hospital , * , 30 , -   , * , -   , 7 , 71 , * , 18 , 44 , 163 , 8 , 59 , 127 , -   , -   , -   , 33 , * , 6 ,1314,NT310, -   ,,
3260, Spire Washington Hospital , * , 72 , -   , * , -   , 115 , -   , 9 , 274 , 46 , 356 , 48 ," 2,102 ", 82 , -   , -   , * , 22 , 32 , 6 ,1314,NT333, -   ,,
3261, Spire Wellesley Hospital , * , 72 , -   , * , -   , 133 , 123 , * , * , 28 , 229 , 37 ," 1,352 ", 184 , -   , -   , * , 15 , 66 , 11 ,1314,NT313, -   ,,
3262, Springfield Hospital , 12 , 122 , 15 , 13 , * , 69 , 655 , 26 , 81 , 122 , 850 , 36 ," 1,412 "," 1,121 ", -   , -   , * , 193 , 31 , 160 ,1314,NVC18, -   ,,
3263, St Bartholomew's Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 125 , * , -   ,1314,NQ713, -   ,,
3264, St George's Healthcare NHS Trust ," 1,889 "," 8,909 "," 1,454 "," 1,593 ", 756 ," 5,140 ", 313 , 805 ," 11,563 "," 5,882 "," 11,379 "," 1,655 "," 5,211 "," 10,531 "," 10,260 "," 1,880 "," 1,473 "," 11,857 "," 10,114 "," 8,020 ",1314,RJ7, -   ,,
3265, St Helens and Knowsley Hospitals NHS Trust ," 2,744 "," 8,009 ", 903 , 908 , 875 ," 1,231 "," 4,650 ", 447 ," 5,018 "," 6,219 "," 12,263 "," 3,587 "," 5,628 "," 6,480 "," 7,525 "," 1,310 ", 346 ," 13,848 "," 9,644 "," 6,126 ",1314,RBN, -   ,,
3266, St Hugh's Hospital , -   , 8 , -   , -   , * , 28 , 609 , 16 , 22 , 46 , 616 , 6 ," 1,037 ", 305 , -   , -   , -   , 353 , 207 , * ,1314,NTE02, -   ,,
3267, St Luke's Hospice , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 309 , -   , -   ,1314,8A101, -   ,,
3268, St Martins Hospital , 6 , 6 , * , -   , -   , 12 , -   , * , 97 , 54 , 12 , * , 28 , 28 , -   , -   , -   , 34 , 161 , -   ,1314,NLX01, -   ,,
3269, St Mary's NHS Treatment Centre , 29 , 293 , 56 , -   , * , 511 , 862 , -   , 396 , * ," 2,593 ", 120 , 512 , * , -   , -   , * , 393 , * , 153 ,1314,NTPAD, -   ,,
3270, Staffordshire and Stoke On Trent Partnership NHS Trust , 41 , 695 , 269 , 51 , 116 , 736 , * , * , 646 , 317 , 110 , 265 ," 4,028 ", 272 , -   , -   , 10 ," 1,113 ", 760 , 56 ,1314,R1E, -   ,,
3271, Stockport NHS Foundation Trust ," 2,077 "," 5,213 "," 1,342 ", 898 , 596 ," 1,422 "," 4,195 ", 456 ," 5,581 "," 5,356 "," 11,757 "," 1,593 "," 7,986 "," 6,223 "," 9,133 "," 1,143 ", 406 ," 10,346 "," 6,297 "," 6,794 ",1314,RWJ, -   ,,
3272, Suffolk Community Healthcare - Ipswich , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,224 ", -   , -   ,1314,NHM01, -   ,,
3273, Surrey and Borders Partnership NHS Foundation Trust , -   , -   , -   , * ," 1,625 ", 119 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 ," 1,224 ", * , 25 ,1314,RXX, -   ,,
3274, Surrey and Sussex Healthcare NHS Trust ," 1,868 "," 4,467 "," 1,321 ", 815 , 560 ," 1,227 "," 3,786 ", 649 ," 5,504 "," 5,286 "," 12,092 "," 1,260 "," 4,987 "," 4,717 "," 6,263 "," 1,719 ", 353 ," 10,038 "," 5,942 "," 5,310 ",1314,RTP, -   ,,
3275, Sussex Community NHS Trust , 7 , 32 , * , 26 , 23 , 100 , * , -   , 209 , 63 , 31 , 31 , 532 , 53 , -   , -   , 35 ," 1,504 ", 171 , 214 ,1314,RDR, -   ,,
3276, Sussex Partnership NHS Foundation Trust , * , -   , -   , * ," 3,446 ", 107 , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   , 871 , -   , 9 ,1314,RX2, -   ,,
3277, Syrena House , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   ,1314,NR511, -   ,,
3278, Syston Health Centre , -   , -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   ,1314,NXP09, -   ,,
3279, Tameside Hospital NHS Foundation Trust ," 1,597 "," 2,653 "," 1,196 "," 1,091 ", 744 , 968 , 43 , 264 ," 4,010 "," 4,481 "," 7,829 "," 1,031 "," 4,267 "," 2,835 "," 4,341 ", 797 , 103 ," 6,182 "," 3,582 "," 3,017 ",1314,RMP, -   ,,
3280, Taunton and Somerset NHS Foundation Trust ," 1,732 "," 13,835 "," 1,408 "," 1,111 ", 241 ," 1,925 "," 3,535 ", 527 ," 6,553 "," 3,952 "," 9,363 "," 1,620 "," 4,450 "," 4,665 "," 7,954 "," 1,173 ", 273 ," 11,213 "," 5,716 "," 6,153 ",1314,RBA, -   ,,
3281, Tees Valley Treatment Centre , 73 , 663 , 73 , * , * , 220 , * , 9 , 377 , -   ," 2,188 ", 480 , 440 , 295 , -   , -   , * , 443 , 6 , 174 ,1314,NVC35, -   ,,
3282," Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , * , -   , * ," 2,239 ", 172 , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , 279 , -   ," 2,105 ",1314,RX3, -   ,,
3283, Tetbury Hospital , 7 , 293 , -   , -   , -   , 34 , 86 , 13 , * , -   , 39 , 110 , 159 , 43 , -   , -   , * , 52 , * , * ,1314,NTY48, -   ,,
3284, Tetbury Hospital Trust , * , 73 , -   , -   , -   , 7 , 22 , * , -   , -   , 14 , 23 , 12 , 7 , -   , -   , -   , * , * , * ,1314,AAH01, -   ,,
3285, The Berkshire Independent Hospital , 52 , 32 , 26 , -   , * , 55 , 77 , -   , 44 , -   , 630 , 11 ," 1,124 ", 168 , -   , -   , * , 158 , 48 , 11 ,1314,NVC02, -   ,,
3286, The Christie NHS Foundation Trust , 489 ," 10,588 "," 1,201 ", 565 , * , 132 , 266 , * , 195 , 423 , 583 , 303 , 188 , 292 , * , -   , 27 , 981 , 264 ," 1,605 ",1314,RBV, -   ,,
3287, The Clatterbridge Cancer Centre NHS Foundation Trust , 110 ," 2,475 ", 396 , 117 , * , 157 , -   , -   , 28 , 37 , 65 , 15 , 15 , 52 , -   , -   , * , 137 , 12 , 43 ,1314,REN, -   ,,
3288, The Croft Shifa Health Centre , -   , 21 , -   , -   , -   , * ," 1,110 ", -   , -   , -   , -   , * , -   , -   , -   , -   , * , 44 , -   , -   ,1314,NTPAE, -   ,,
3289, The Dudley Group NHS Foundation Trust ," 2,578 "," 13,411 "," 1,340 "," 1,410 ", 535 ," 1,573 "," 4,285 ", 486 ," 5,688 "," 6,494 "," 11,123 "," 2,537 "," 10,228 "," 5,539 "," 13,252 "," 1,906 ", 579 ," 11,211 "," 6,775 "," 8,118 ",1314,RNA, -   ,,
3290, The Hillingdon Hospitals NHS Foundation Trust ," 1,635 "," 3,905 "," 1,355 ", 884 , 416 ," 1,193 "," 1,938 ", 72 ," 2,454 "," 2,903 "," 6,814 "," 1,233 "," 6,403 "," 4,028 "," 7,631 "," 1,195 ", 166 ," 7,178 "," 3,537 "," 4,226 ",1314,RAS, -   ,,
3291, The Horder Centre - St Johns Road , * , * , * , -   , * , 152 , -   , -   , * , * , * , 22 ," 4,272 ", -   , -   , -   , 11 , 12 , 177 , * ,1314,NXM01, -   ,,
3292, The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 4,058 "," 36,487 "," 4,701 "," 3,565 ", 679 ," 7,130 "," 11,341 "," 1,855 "," 14,748 "," 10,263 "," 23,286 "," 6,591 "," 16,952 "," 10,881 "," 10,489 "," 2,402 "," 4,500 "," 17,596 "," 13,413 "," 16,644 ",1314,RTD, -   ,,
3293, The Phoenix Centre , -   , -   , -   , -   , -   , -   , 218 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 7 , -   , -   ,1314,NTP35, -   ,,
3294, The Princess Alexandra Hospital NHS Trust , 876 ," 7,562 "," 1,480 "," 1,111 ", 384 , 890 ," 1,607 ", 318 ," 3,870 "," 3,697 "," 7,167 ", 901 ," 5,251 "," 4,302 "," 8,141 ", 676 , 212 ," 9,243 "," 4,059 "," 5,883 ",1314,RQW, -   ,,
3295," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust "," 1,757 "," 10,111 "," 2,237 ", 793 , 302 , 864 ," 4,274 ", 358 ," 3,653 "," 4,036 "," 8,802 "," 1,638 "," 4,503 "," 5,295 "," 5,989 ", 864 , 181 ," 8,417 "," 3,691 "," 4,945 ",1314,RCX, -   ,,
3296, The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust , * , 406 , 24 , 11 , 6 ," 1,168 ", 6 , * , 41 , 21 , 8 , 188 ," 10,072 ", 23 , -   , -   , 199 , 57 ," 1,578 ", 628 ,1314,RL1, -   ,,
3297, The Rotherham NHS Foundation Trust ," 1,376 "," 6,045 ", 965 , 555 , 245 ," 1,134 "," 8,946 ", 425 ," 3,749 "," 5,277 "," 10,756 "," 1,339 "," 4,101 "," 6,008 "," 7,927 ", 196 , 115 ," 8,135 "," 4,405 "," 2,614 ",1314,RFR, -   ,,
3298, The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust , 785 ," 18,786 "," 2,489 "," 1,655 ", 532 ," 2,270 "," 10,384 ", 57 ," 9,662 "," 2,515 "," 9,802 "," 1,058 "," 9,923 "," 5,126 ", 779 , -   , * ," 15,103 "," 3,693 "," 4,766 ",1314,RDZ, * ,,
