 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC24 BODMIN NHS TREATMENT CENTRE,23,114,58,7,0,0,"1,106",0,242,*,"1,961",326,*,64,313,0,8,246,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA3 WESTON AREA HEALTH NHS TRUST,278,"5,574",342,398,179,516,19,64,"1,700","1,605","3,868",913,"2,055","2,441","1,434",217,33,"4,116","2,328","3,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA4 YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,313,"5,047",603,635,141,644,"1,410",79,"2,289","1,482","5,926",864,"3,375","2,269","2,506",445,104,"5,368","3,208","3,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA7 UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,"1,306","24,167","2,040","3,748",625,"1,743","10,681",988,"7,737","5,546","12,859","1,923","3,061","4,956","14,283","3,247","2,540","11,799","7,827","9,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA9 SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,795,"9,673","1,148",721,315,"1,295","2,474",578,"4,399","3,578","8,626","1,130","4,356","3,627","4,676",400,204,"6,155","5,494","5,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBA TAUNTON AND SOMERSET NHS FOUNDATION TRUST,786,"6,272","1,141",979,235,"1,636","3,745",526,"6,473","3,721","8,308","1,590","5,894","3,949","9,045","1,089",363,"9,738","4,870","6,513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBB ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,34,17,89,36,0,45,8,*,39,*,"1,046",73,"1,919",*,0,0,15,322,48,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBD DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,468,"2,956",779,888,183,981,"3,026",315,"3,842","2,532","5,990",975,"5,973","4,230","3,847",314,147,"6,257","3,174","4,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBZ NORTHERN DEVON HEALTHCARE NHS TRUST,604,"6,648",736,584,237,917,"1,823",314,"3,086","2,363","5,663",698,"3,934","2,878","4,587",285,116,"3,546","2,718","3,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD1 ROYAL UNITED HOSPITAL BATH NHS TRUST,"1,066","7,506","1,421",980,372,"1,423","3,470",608,"5,804","4,762","9,619","1,392","5,344","4,280","1,101",662,279,"8,172","6,856","2,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD3 POOLE HOSPITAL NHS FOUNDATION TRUST,"1,539","5,892","1,148",688,327,"1,077",126,720,"3,082","4,759","8,082","2,145","4,791","3,165","11,063","1,790",535,"8,037","7,782","7,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDY DORSET HEALTHCARE NHS FOUNDATION TRUST,0,0,0,*,804,39,0,0,*,0,0,*,0,*,0,0,0,625,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDZ THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,584,"15,672","1,619","1,413",544,"2,109","8,779",190,"10,526","2,838","10,079","2,233","10,265","5,549",990,0,113,"11,641","2,805","13,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF-X ROYAL CORNWALL HOSPITALS NHS TRUST,"1,155","16,415","1,716","2,417",657,"1,963","4,278","1,082","8,456","5,943","14,852","2,124","7,163","7,427","10,247","1,930",691,"11,359","10,092","8,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH5 SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,"1,211",0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH8 ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,775,"20,222","2,012","1,381",415,"1,421","4,705",576,"7,654","4,068","11,469","2,025","7,661","6,641","7,977","1,946",514,"11,215","8,383","7,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ8 CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,*,"1,366",38,0,0,*,*,0,0,0,0,0,0,0,8,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK9 PLYMOUTH HOSPITALS NHS TRUST,"1,658","16,417","2,257","1,466",537,"2,572","5,379","1,362","8,602","6,461","9,094","3,289","7,747","6,629","12,935","2,514",941,"12,327","9,391","8,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN3 GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,781,"8,756",904,855,346,"1,814","2,115",526,"4,262","3,938","9,175","1,142","7,032","4,800","7,741",993,319,"10,501","5,714","6,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNZ SALISBURY NHS FOUNDATION TRUST,618,"5,580",471,467,154,929,"1,691",320,"3,649","2,421","7,719","2,012","4,548","3,921","6,087","1,075",766,"6,556","5,774","3,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,"1,567","39,258","1,916","1,454",372,"2,457","6,266",708,"7,816","7,403","17,553","2,133","10,356","7,575","11,761","1,942",654,"16,404","9,144","9,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTQ 2GETHER NHS FOUNDATION TRUST,0,0,0,0,"1,265",74,0,0,*,*,*,0,0,*,0,0,0,*,*,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVJ NORTH BRISTOL NHS TRUST,614,"10,789","2,091","1,379",519,"3,639",125,514,"7,158","4,078","12,406","2,458","10,908","9,310","15,263","3,895","1,341","11,997","10,440","8,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVN AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,*,"1,073",*,0,0,0,0,0,0,0,0,0,0,0,"1,897",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWV DEVON PARTNERSHIP NHS TRUST,0,0,0,0,"1,569",81,0,*,*,*,*,0,0,*,*,0,*,232,9,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAL TORBAY CARE TRUST,*,78,28,17,*,13,0,0,80,123,54,32,72,61,0,0,0,52,300,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q34 WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,"21,376","184,928","25,582","23,264","19,360","34,799","58,618","9,576","97,165","87,162","167,208","32,479","142,507","104,499","163,186","27,078","15,596","176,979","102,536","107,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CN HEREFORDSHIRE PCT,21,121,18,35,120,59,*,*,260,177,197,56,624,126,0,0,*,"1,028",345,"1,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M1 SOUTH BIRMINGHAM PCT,44,140,15,19,65,126,*,*,359,185,"2,027",122,268,243,0,0,*,322,490,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M2 SHROPSHIRE COUNTY PCT,11,195,25,44,16,116,*,*,355,240,193,62,265,157,0,0,0,250,344,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M3 WALSALL TEACHING PCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MK TELFORD AND WREKIN PCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MV WOLVERHAMPTON CITY PCT,15,16,8,7,488,44,*,0,211,35,34,15,44,26,0,0,*,78,166,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5MX HEART OF BIRMINGHAM TEACHING PCT,*,0,0,*,*,12,*,0,33,16,*,12,24,35,0,0,0,131,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PH NORTH STAFFORDSHIRE PCT,20,177,24,33,40,58,*,0,222,145,50,44,125,99,0,0,*,490,311,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PJ STOKE ON TRENT PCT,11,50,39,16,24,644,*,*,270,74,47,99,"3,209",38,0,0,10,184,184,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PK SOUTH STAFFORDSHIRE PCT,11,387,69,30,6,198,0,*,141,84,"1,098",546,"1,040","7,185",631,*,*,492,223,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PL WORCESTERSHIRE PCT,19,480,75,46,24,246,*,*,435,243,624,143,"1,310",581,*,0,9,608,510,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PM WARWICKSHIRE PCT,9,46,*,9,26,41,*,0,131,24,18,18,21,84,0,0,*,486,253,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT301 SPIRE SOUTH BANK HOSPITAL,0,0,0,0,0,*,0,0,0,0,9,*,30,*,0,0,0,*,0,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT320 SPIRE PARKWAY HOSPITAL,*,0,0,0,0,*,0,0,0,0,9,0,67,6,0,0,*,0,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT321 SPIRE LITTLE ASTON HOSPITAL,0,18,0,0,0,38,0,0,0,0,35,23,266,19,0,0,0,*,*,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT412 BMI - THE DROITWICH SPA HOSPITAL,0,*,*,*,*,49,0,41,0,57,68,10,304,102,0,0,*,65,*,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT424 BMI - THE MERIDEN HOSPITAL,0,0,0,0,0,*,0,0,0,*,28,*,131,6,0,0,0,*,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT445 BMI THE EDGBASTON HOSPITAL,0,0,0,0,0,*,0,0,*,0,6,0,8,*,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA03 THE MIDLANDS NHS TREATMENT CENTRE,*,431,0,*,0,282,"2,890",66,188,47,524,664,"1,756","3,119",0,0,*,149,*,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTD01 KIDDERMINSTER NHS TREATMENT CENTRE,0,10,0,0,0,276,0,0,*,0,*,27,"1,520",0,0,0,*,*,12,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC17 ROWLEY HALL HOSPITAL,0,10,0,*,0,13,586,0,28,*,109,17,358,187,0,0,15,162,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC21 WEST MIDLANDS HOSPITAL,*,13,0,0,0,55,14,0,9,0,176,22,477,192,0,0,*,70,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBK WALSALL HOSPITALS NHS TRUST,839,"6,180","1,027","1,256",299,825,"1,016",423,"4,282","3,722","6,540","1,226","5,239","3,823","6,481","1,167",478,"6,787","3,227","4,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJC SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,648,"6,446",796,750,179,879,"1,767",363,"2,274","2,568","5,732","1,059","5,269","3,791","6,311",862,204,"5,776","2,991","3,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJDTC CANNOCK CHASE TREATMENT CENTRE,0,29,0,*,0,422,889,0,*,0,*,65,"3,253",0,0,0,*,*,149,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJD-X MID STAFFORDSHIRE NHS FOUNDATION TRUST,"1,013","8,962","1,201",696,351,678,53,353,"2,890","3,389","6,179","1,170","2,841","4,803","6,405",768,183,"5,801","3,380","4,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJE UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,"2,472","17,683","2,104","1,730",716,"4,261","4,483",881,"9,801","8,987","15,642","2,801","8,191","9,378","10,507","1,893","1,191","19,083","9,942","9,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF BURTON HOSPITALS NHS FOUNDATION TRUST,997,"6,178",896,603,262,705,328,478,"2,874","3,679","5,460",796,"2,290","2,682","8,096","1,006",306,"5,235","3,391","3,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKB UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,"1,044","16,139","3,062","2,042",574,"3,423","4,799",833,"8,078","6,157","15,128","2,232","14,643","8,894","13,592","2,062","1,150","13,959","9,077","6,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
