,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPY, RPY The Royal Marsden NHS Foundation Trust , 151 ," 15,881 "," 1,022 ", 129 , 7 , 21 , 8 , * , 109 , 269 , 864 , 136 , 59 , 506 , * , -   , 16 , 601 , 280 ," 1,707 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQM, RQM Chelsea and Westminster Hospital NHS Foundation Trust ," 2,421 "," 2,706 ", 844 ," 1,135 ", 307 , 941 ," 1,251 ", 200 ," 2,226 "," 2,573 "," 9,172 "," 2,791 "," 4,195 "," 4,364 "," 11,827 "," 1,296 ", 902 ," 5,353 "," 6,254 "," 10,838 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQX, RQX Homerton University Hospital NHS Foundation Trust , 879 ," 1,359 "," 1,759 ", 821 , 477 , 688 , 54 , 182 ," 1,877 "," 2,749 "," 6,763 "," 1,028 "," 2,696 "," 2,772 "," 11,062 "," 1,196 ", 110 ," 5,983 "," 2,134 "," 6,996 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQY, RQY South West London and St George's Mental Health NHS Trust , * , -   , -   , -   ," 3,226 ", 7 , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , 123 , -   , 150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRP," RRP Barnet, Enfield and Haringey Mental Health NHS Trust ", -   , * , -   , -   ," 2,269 ", 6 , -   , -   , 17 , -   , -   , -   , -   , -   , -   , -   , -   , * , 18 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRV, RRV University College London Hospitals NHS Foundation Trust ," 1,606 "," 25,669 "," 4,151 "," 1,801 ", 680 ," 11,130 ", 677 , 109 ," 7,966 "," 2,571 "," 15,195 "," 1,179 "," 7,716 "," 6,403 "," 8,864 "," 2,296 "," 1,488 "," 8,507 "," 4,565 "," 7,684 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT3, RT3 Royal Brompton and Harefield NHS Foundation Trust , 140 ," 1,324 "," 1,227 "," 1,890 ", 6 ," 3,211 ", * , * ," 10,180 "," 6,326 ", 102 , 46 , 487 , 20 , 10 , 24 ," 2,162 "," 2,357 ", 813 ," 1,310 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV3, RV3 Central and North West London NHS Foundation Trust , -   , -   , * , -   ," 2,270 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 519 , -   , 442 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV5, RV5 South London and Maudsley NHS Foundation Trust , * , * , -   , -   ," 2,735 ", 9 , * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 584 , * , 139 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV8, RV8 North West London Hospitals NHS Trust ," 2,214 "," 7,607 "," 2,111 "," 1,702 ", 428 ," 1,167 "," 1,397 ", 706 ," 5,841 "," 6,382 "," 16,349 "," 1,815 "," 6,557 "," 7,277 "," 10,425 "," 1,532 ", 329 ," 13,201 "," 6,432 "," 8,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVL, RVL Barnet and Chase Farm Hospitals NHS Trust ," 1,857 "," 10,199 "," 1,593 "," 1,370 ", 755 ," 1,779 ", 727 , 438 ," 5,946 "," 6,512 "," 18,066 "," 3,649 "," 8,229 "," 10,295 "," 13,731 "," 2,083 ", 320 ," 14,086 "," 6,289 "," 9,657 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVR-X, RVR-X Epsom and St Helier University Hospitals NHS Trust , 877 ," 3,957 "," 1,453 "," 1,232 ", 457 ," 1,224 "," 3,255 ", 587 ," 5,190 "," 4,551 "," 11,011 "," 1,235 "," 10,098 "," 7,641 "," 7,860 "," 2,141 ", 614 ," 10,847 "," 6,079 "," 7,849 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWK, RWK East London NHS Foundation Trust , -   , -   , -   , * ," 3,047 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 18 , 6 , 111 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYJ, RYJ Imperial College Healthcare NHS Trust ," 2,029 "," 16,731 "," 3,907 "," 3,950 ", 996 ," 7,497 "," 6,150 ", 618 ," 14,786 "," 7,931 "," 16,252 "," 3,032 "," 9,516 "," 12,175 "," 21,488 "," 3,275 ", 956 ," 18,560 "," 9,372 "," 18,277 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYQ, RYQ South London Healthcare NHS Trust ," 1,733 "," 19,465 "," 2,770 "," 2,745 ", 796 ," 2,860 "," 6,821 ", 493 ," 7,940 "," 7,041 "," 21,166 "," 4,274 "," 12,540 "," 14,254 "," 20,155 "," 2,686 ", 586 ," 19,467 "," 8,275 "," 18,867 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF, TAF Camden and Islington NHS Foundation Trust , -   , -   , -   , * ," 1,424 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 803 , -   , 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q30, Q30 NORTH EAST STRATEGIC HEALTH AUTHORITY ," 15,908 "," 112,160 "," 14,172 "," 15,974 "," 6,852 "," 20,645 "," 40,172 "," 5,771 "," 57,777 "," 53,226 "," 112,564 "," 20,455 "," 68,354 "," 53,315 "," 63,885 "," 10,743 "," 6,326 "," 113,920 "," 62,188 "," 66,386 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5J9, 5J9 Darlington PCT , 10 , 162 , 9 , 15 , 9 , 40 , * , * , 95 , 135 , 37 , 33 , 99 , 94 , -   , -   , -   , 208 , 192 , 17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5KG, 5KG South Tyneside PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5KL, 5KL Sunderland Teaching PCT , -   , 241 , -   , * , * , 11 , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QR, 5QR Redcar and Cleveland PCT , 11 , 176 , 13 , 13 , 33 , 27 , * , * , 187 , 63 , 35 , 27 , 53 , 45 , -   , -   , -   , 671 , 121 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN401, NN401 Tyneside Surgical Services At The North East NHS Surgery Centre , -   , * , -   , -   , -   , 24 , -   , -   , * , -   , * , * , 538 , * , -   , -   , * , * , 9 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT229," NT229 Nuffield Health, Newcastle-Upon-Tyne Hospital ", -   , -   , * , -   , -   , -   , -   , -   , * , -   , 114 , -   , 173 , -   , -   , -   , -   , 53 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT237," NT237 Nuffield Health, Tees Hospital ", -   , 40 , * , * , -   , 34 , 811 , -   , * , -   , 403 , 6 , 903 , * , -   , -   , -   , 170 , 7 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT333, NT333 Spire Washington Hospital , 7 , 100 , * , -   , * , 124 , -   , 11 , 232 , 43 , 334 , 82 ," 1,298 ", 87 , -   , -   , 6 , 36 , 23 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT457, NT457 BMI Woodlands Hospital , 7 , 45 , * , * , * , 68 , * , 6 , 48 , 39 , 226 , 37 , 791 , 447 , -   , -   , 6 , 119 , 12 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC29, NVC29 Cobalt NHS Treatment Centre , 39 , 219 , 38 , -   , * , 45 , 15 , -   , 170 , -   ," 1,402 ", 677 , 198 , -   , -   , -   , 139 , 261 , 9 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC35, NVC35 Tees Valley Treatment Centre , 22 , 305 , 55 , * , -   , 125 , 6 , 6 , 236 , * ," 1,856 ", 355 , 335 , 282 , -   , -   , 7 , 316 , 9 , 127 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE9, RE9 South Tyneside NHS Foundation Trust , 870 ," 4,175 ", 801 , 634 , 191 , 546 , 44 , 55 ," 2,615 "," 2,662 "," 6,270 ", 757 ," 2,081 "," 1,396 "," 2,666 ", 641 , 89 ," 4,715 "," 2,270 "," 2,049 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLN, RLN City Hospitals Sunderland NHS Foundation Trust ," 1,354 "," 12,556 "," 1,319 "," 3,177 ", 725 ," 2,763 "," 15,733 "," 1,246 "," 6,930 "," 6,994 "," 12,519 "," 1,916 "," 6,075 "," 8,122 "," 6,729 ", 803 , 468 ," 13,390 "," 7,153 "," 8,260 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR7-X, RR7-X Gateshead Health NHS Foundation Trust ," 1,230 "," 3,099 ", 698 , 554 , 419 , 845 , 48 , 95 ," 2,961 "," 3,944 "," 7,337 ", 845 ," 3,815 "," 2,975 "," 3,078 "," 1,090 ", 95 ," 7,884 "," 3,724 "," 2,860 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD, RTD The Newcastle Upon Tyne Hospitals NHS Foundation Trust ," 2,234 "," 34,402 "," 3,768 "," 3,391 ", 627 ," 5,935 "," 10,906 "," 1,899 "," 13,823 "," 8,882 "," 19,567 "," 4,362 "," 13,750 "," 11,139 "," 10,891 "," 1,600 "," 3,525 "," 21,823 "," 12,105 "," 18,817 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTF, RTF Northumbria Healthcare NHS Foundation Trust ," 2,252 "," 13,591 "," 1,912 "," 1,914 "," 1,223 "," 2,402 ", 185 , 186 ," 7,774 "," 7,235 "," 16,825 "," 2,028 "," 11,304 "," 7,866 "," 7,784 "," 1,291 ", 212 ," 12,990 "," 9,563 "," 7,954 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTR, RTR South Tees Hospitals NHS Foundation Trust ," 3,101 "," 20,572 "," 2,129 "," 2,739 ", 507 ," 4,332 "," 7,067 "," 1,332 "," 10,055 "," 8,677 "," 15,465 "," 3,339 "," 10,768 "," 9,151 "," 12,717 "," 1,958 "," 1,064 "," 16,874 "," 10,573 "," 8,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVW, RVW North Tees and Hartlepool NHS Foundation Trust ," 2,074 "," 9,343 "," 1,371 "," 1,009 ", 421 ," 1,198 ", 73 , 173 ," 5,088 "," 5,633 "," 14,049 "," 1,532 "," 8,038 "," 5,898 "," 7,152 ", 991 , 129 ," 12,314 "," 5,703 "," 6,067 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX3," RX3 Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , * , -   , -   ," 2,108 ", 120 , -   , -   , * , * , -   , -   , -   , * , -   , -   , * , 127 , * ," 2,323 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX4," RX4 Northumberland, Tyne and Wear NHS Foundation Trust ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,688 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXP, RXP County Durham and Darlington NHS Foundation Trust ," 2,697 "," 13,129 "," 2,050 "," 2,520 ", 585 ," 2,006 "," 5,281 ", 759 ," 7,550 "," 8,912 "," 16,121 "," 4,456 "," 8,135 "," 5,809 "," 12,868 "," 2,369 ", 579 ," 18,274 "," 10,707 "," 8,850 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q31, Q31 NORTH WEST STRATEGIC HEALTH AUTHORITY ," 34,159 "," 188,010 "," 38,687 "," 40,019 "," 32,468 "," 42,570 "," 85,523 "," 13,372 "," 148,206 "," 133,061 "," 280,512 "," 47,876 "," 181,266 "," 141,478 "," 195,457 "," 31,951 "," 16,703 "," 280,382 "," 157,949 "," 163,750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5J2, 5J2 Warrington PCT , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , -   , -   , -   , 687 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NE, 5NE Cumbria Teaching PCT , 38 , 478 , 161 , 118 , 112 , 178 , 7 , * , 515 , 495 , 309 , 178 , 314 , 375 , -   , -   , * , 473 , 674 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NG, 5NG Central Lancashire PCT , -   , * , -   , -   , * , * , -   , -   , * , 6 , * , -   , 59 , 7 , -   , -   , -   , 45 , -   , 132 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NL, 5NL Liverpool PCT , 6 , 35 , 27 , 35 , 11 , 16 , -   , * , 90 , 85 , 35 , 45 , 142 , 44 , -   , -   , * , 236 , 193 , 29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NN, 5NN Western Cheshire PCT , 9 , 14 , * , 13 , * , 16 , -   , * , 184 , 66 , 37 , 22 , 50 , 56 , -   , -   , * , 99 , 246 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8E339, 8E339 Woodlands Day Hospice , -   , 234 , * , -   , -   , * , -   , -   , 6 , 15 , * , -   , * , -   , -   , -   , -   , 18 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT210," NT210 Nuffield Health, The Grosvenor Hospital, Chester ", -   , * , * , -   , -   , * , -   , -   , 10 , -   , 58 , * , 36 , -   , -   , -   , -   , 16 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT324, NT324 Spire Cheshire Hospital , -   , 36 , * , -   , -   , 31 , 41 , 68 , 75 , 213 , 342 , 29 , 351 , 216 , -   , -   , * , 46 , 7 , 37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT325, NT325 Spire Murrayfield Hospital , -   , 49 , * , 238 , -   , 79 , -   , 11 , 151 , 53 , 217 , 40 , 560 , 128 , -   , -   , * , 23 , 8 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT327, NT327 Spire Manchester Hospital , 7 , 11 , * , 90 , -   , 61 , -   , 20 , 44 , 82 , 117 , 7 , 249 , 111 , -   , -   , * , 29 , * , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT337, NT337 Spire Liverpool Hospital , 12 , 61 , 19 , * , -   , 33 , 59 , 40 , 78 , 174 , 765 , 64 , 287 , 318 , -   , -   , * , 166 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT339, NT339 Spire Regency Hospital , * , * , -   , 124 , -   , 14 , 90 , * , 7 , 9 , 61 , * , 228 , 45 , -   , -   , * , 11 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT340, NT340 BMI South Cheshire Private Hospital (Spire) , -   , 14 , -   , * , -   , 12 , -   , * , 42 , 11 , 86 , 14 , 113 , 49 , -   , -   , -   , 18 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT347, NT347 Spire Fylde Coast Hospital , -   , * , -   , 6 , * , * , 680 , -   , 8 , * , * , -   , 151 , 64 , -   , -   , * , 7 , * , 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT401, NT401 BMI - The Alexandra Hospital , * , 21 , * , * , -   , 16 , -   , -   , 22 , * , 252 , 27 , 457 , 53 , * , -   , * , 45 , 12 , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT403, NT403 BMI - The Beardwood Hospital , * , 54 , * , * , * , 53 , 82 , 56 , 46 , 273 , 290 , 99 ," 1,460 ", 173 , -   , -   , * , 147 , * , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT404, NT404 BMI - The Beaumont Hospital , * , 44 , 12 , * , * , 170 , 39 , 73 , 166 , 243 , 664 , 60 ," 1,270 ", 168 , * , -   , * , 134 , 11 , 185 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT420, NT420 BMI - The Highfield Hospital , * , 44 , * , * , * , 181 , 564 , 43 , 20 , 231 , 368 , 46 ," 1,280 ", 479 , -   , * , 12 , 118 , 8 , 154 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT449, NT449 BMI The Lancaster Hospital , -   , 6 , -   , -   , -   , 18 , 17 , 6 , * , 81 , 43 , 11 , 332 , 42 , -   , -   , * , 15 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT714, NT714 Greater Manchester Surgical Centre , -   , * , -   , -   , -   , 10 , -   , -   , * , * , 13 , -   , 102 , -   , -   , -   , -   , 26 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTD02, NTD02 The Cheshire & Merseyside NHS Treatment Centre , * , 26 , * , * , * , 470 , * , * , 16 , * , * , 42 ," 5,419 ", * , -   , -   , 6 , * , 88 , 205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTF01, NTF01 Abbey Gisburne Park Hospital , -   , -   , * , 36 , -   , 10 , -   , -   , 64 , 19 , * , * , * , * , -   , -   , -   , 692 , -   , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC05, NVC05 Euxton Hall Hospital , -   , 34 , -   , -   , * , 69 , -   , 15 , 283 , 115 , 593 , 67 ," 1,511 ", 524 , -   , -   , 9 , 760 , * , 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC07, NVC07 Fulwood Hall Hospital , * , 56 , -   , * , * , 64 , 993 , 17 , 241 , 90 , 402 , 64 ," 1,670 ", 356 , -   , -   , * , 271 , * , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC12, NVC12 Oaklands Hospital , * , * , -   , * , -   , 76 , -   , -   , * , -   , 251 , 52 ," 1,611 ", -   , -   , -   , * , * , 32 , 41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC16, NVC16 Renacres Hospital , * , 94 , * , * , -   , 98 , 256 , 13 , 140 , 115 , 481 , 96 , 881 , 268 , * , -   , * , 74 , 20 , 25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC33, NVC33 Gisburne Park NHS Treatment Centre , -   , 61 , -   , -   , -   , -   , -   , 27 , 216 , 462 , 165 , 8 ," 1,938 ", -   , -   , -   , * , 254 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC34, NVC34 Fylde Coast NHS Treatment Centre , * , 47 , 6 , * , * , 95 , -   , 9 , 74 , 165 , 245 , 97 ," 1,305 ", 6 , -   , -   , * , 102 , 21 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC39, NVC39 Kendal NHS Treatment Centre , -   , 18 , -   , -   , -   , 54 , -   , -   , 96 , -   , 322 , 42 , 657 , -   , -   , -   , * , 191 , 11 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVG01, NVG01 Fairfield Hospital , * , 130 , 11 , -   , -   , 64 , 168 , 9 , 266 , 100 , 546 , 120 , 502 , 354 , -   , -   , * , 192 , 8 , 63 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBL, RBL Wirral University Teaching Hospital NHS Foundation Trust ," 1,537 "," 8,031 "," 1,235 "," 1,841 "," 1,047 "," 1,600 "," 3,121 ", 550 ," 6,011 "," 5,951 "," 12,456 "," 2,393 "," 6,187 "," 7,907 "," 10,186 "," 1,848 ", 294 ," 11,696 "," 7,758 "," 7,445 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
