"Table E: Finished admission episodes by primary diagnosis chapter for England, Area Team and individual provider (2013-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Area Team/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,Factors influencing health status and contact with health services (Z00-Z99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP6, Moorfields Eye Hospital NHS Foundation Trust , 41 , 511 , 6 , 107 , * , 18 ," 28,642 ", -   , 25 , * , * , 38 , 11 , -   , -   , -   , 593 , 8 , 557 , -   , 209 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NR527, Mount Gould Hospital , * , 13 , -   , -   , 77 , 78 , -   , -   , 18 , -   , * , -   , 8 , * , -   , -   , -   , 82 , 33 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC08, Mount Stuart Hospital , * , 183 , 6 , -   , -   , 68 , 120 , * , 158 , 63 ," 1,094 ", 53 , 848 , 479 , -   , -   , * , 130 , 42 , -   , 42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQL01, Navigo HQ , -   , * , -   , -   , 227 , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 239 , -   , -   , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC09, New Hall Hospital , -   , 31 , * , * , * , 126 , 248 , * , 23 , 26 , 169 , 31 ," 2,953 ", 348 , * , -   , * , 80 , 90 , -   , 15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM1, Norfolk and Norwich University Hospitals NHS Foundation Trust ," 2,772 "," 32,373 "," 2,921 "," 2,340 ", 910 ," 3,562 "," 13,085 ", 836 ," 11,767 "," 8,351 "," 19,659 "," 3,300 "," 10,665 "," 8,008 "," 12,779 "," 1,822 "," 1,098 "," 14,319 "," 10,631 ", -   ," 11,913 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMY-X, Norfolk and Suffolk NHS Foundation Trust , * , -   , -   , -   ," 2,649 ", 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 140 , -   , -   , 69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RY3, Norfolk Community Health and Care NHS Trust , 50 , 523 , 54 , 36 , 7 , 110 , * , * , 590 , 240 , 115 , 71 , 305 , 259 , -   , -   , 26 , 185 , 787 , -   , 819 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVJ-X, North Bristol NHS Trust ," 1,088 "," 13,793 "," 2,690 "," 1,773 ", 614 ," 3,288 ", 93 , 71 ," 5,434 "," 3,376 "," 9,469 "," 3,303 "," 10,813 "," 9,898 "," 13,817 "," 3,622 "," 1,034 "," 10,674 "," 11,390 ", -   ," 8,627 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNL, North Cumbria University Hospitals NHS Trust ," 2,257 "," 9,412 "," 1,047 ", 808 , 563 ," 1,545 "," 3,242 ", 550 ," 7,081 "," 5,288 "," 12,266 "," 1,378 "," 5,980 "," 14,864 "," 5,061 ", 831 , 248 ," 6,784 "," 4,936 ", -   ," 4,617 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC11, North Downs Hospital , 17 , 60 , 9 , -   , -   , 39 , 9 , * , 98 , 9 , 464 , 27 , 859 , 245 , -   , -   , * , 90 , 21 , -   , 43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAT, North East London NHS Foundation Trust , 15 , 21 , * , 16 ," 1,258 ", 45 , -   , * , 127 , 83 , 28 , 48 , 95 , 77 , -   , -   , -   , 548 , 266 , -   , 43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP15, North East London Treatment Centre Care Uk , 49 , 268 , 47 , -   , -   , 188 ," 1,063 ", -   , 787 , 34 ," 3,351 ", 245 ," 1,383 ", * , * , -   , * , 201 , 135 , -   , 57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD, North Essex Partnership University NHS Foundation Trust , -   , -   , -   , -   ," 1,097 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 543 , -   , -   , 171 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP, North Middlesex University Hospital NHS Trust ," 1,927 "," 8,272 "," 2,160 ", 874 , 375 , 699 ," 1,476 ", 45 ," 2,989 "," 2,770 "," 5,997 ", 967 ," 3,263 "," 4,053 "," 6,082 "," 1,727 ", 138 ," 5,646 "," 2,546 ", -   ," 4,939 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLT01, North Somerset Community Partnership Cic HQ , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 230 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLY, North Staffordshire Combined Healthcare NHS Trust , -   , -   , -   , -   ," 1,321 ", 103 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 26 , -   , -   , 533 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVW, North Tees and Hartlepool NHS Foundation Trust ," 2,848 "," 12,216 "," 2,550 "," 1,180 ", 465 ," 1,053 ", 43 , 138 ," 3,886 "," 4,765 "," 11,097 "," 1,010 "," 6,985 "," 5,634 "," 5,745 ", 822 , 140 ," 11,284 "," 4,853 ", -   ," 6,432 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV8, North West London Hospitals NHS Trust ," 3,194 "," 11,628 "," 2,858 "," 2,111 ", 526 ," 1,429 "," 2,630 ", 627 ," 7,542 "," 6,749 "," 16,414 "," 2,247 "," 6,526 "," 7,275 "," 10,956 "," 2,211 ", 315 ," 13,510 "," 6,389 ", -   ," 9,266 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNS, Northampton General Hospital NHS Trust ," 2,446 "," 12,466 "," 2,544 "," 1,508 ", 453 ," 1,890 "," 2,971 ", 690 ," 5,295 "," 5,905 "," 11,460 "," 1,525 "," 5,726 "," 5,123 "," 10,478 "," 1,410 ", 459 ," 8,951 "," 6,307 ", -   ," 10,007 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP1, Northamptonshire Healthcare NHS Foundation Trust , -   , -   , -   , -   , 234 , 37 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * ," 1,827 ", -   , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBZ, Northern Devon Healthcare NHS Trust , 882 ," 6,946 "," 1,095 ", 733 , 338 , 942 ," 1,905 ", 282 ," 3,246 "," 2,864 "," 5,956 ", 824 ," 3,827 "," 3,161 "," 4,211 ", 737 , 113 ," 5,335 "," 3,757 ", -   ," 3,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJL-X, Northern Lincolnshire and Goole NHS Foundation Trust ," 1,930 "," 13,097 "," 2,967 "," 1,407 ", 538 ," 1,723 "," 5,868 ", 500 ," 7,118 "," 6,590 "," 17,191 "," 1,294 "," 8,030 "," 7,092 "," 9,307 "," 1,309 ", 246 ," 6,740 "," 5,307 ", -   ," 9,149 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX4," Northumberland, Tyne and Wear NHS Foundation Trust ", -   , * , -   , -   , 933 , 19 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 649 , -   , -   , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTF, Northumbria Healthcare NHS Foundation Trust ," 3,289 "," 15,814 "," 1,655 "," 1,532 "," 1,114 "," 2,295 ", 91 , 160 ," 6,728 "," 6,395 "," 15,659 "," 1,608 "," 11,998 "," 6,028 "," 6,000 "," 1,321 ", 173 ," 8,758 "," 6,751 ", -   ," 6,819 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX1, Nottingham University Hospitals NHS Trust ," 4,543 "," 33,298 "," 4,435 "," 2,382 "," 1,308 "," 5,558 "," 7,231 "," 1,126 "," 11,602 "," 10,285 "," 15,446 "," 2,782 "," 13,308 "," 9,248 "," 20,804 "," 2,875 "," 2,082 "," 24,276 "," 15,044 ", -   ," 18,477 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC40, Nottingham Woodthorpe Hospital , 17 , 50 , 29 , * , * , 83 , 172 , 92 , 34 , 138 , 661 , 29 ," 1,989 ", 335 , * , -   , * , 282 , 35 , -   , 36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHA, Nottinghamshire Healthcare NHS Trust , 40 , 241 , * , 15 ," 2,321 ", 169 , * , * , 62 , 61 , 29 , 22 , 79 , 20 , -   , -   , * , 490 , 281 , -   , 528 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT202," Nuffield Health, Bournemouth Hospital ", * , -   , -   , -   , -   , 28 , -   , -   , -   , -   , 52 , -   , 363 , * , -   , -   , -   , 7 , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT204," Nuffield Health, Brentwood Hospital ", -   , 40 , -   , -   , -   , 49 , 29 , -   , -   , * , 55 , * , 555 , 358 , -   , -   , -   , 11 , 13 , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT205," Nuffield Health, Brighton Hospital ", -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 18 , -   , -   , -   , * , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT206," Nuffield Health, Bristol Hospital ", -   , -   , * , -   , -   , 10 , 150 , -   , -   , -   , 7 , -   , 43 , -   , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT207," Nuffield Health, Bristol Hospital ", -   , -   , * , -   , -   , 10 , 70 , -   , -   , -   , 9 , -   , 25 , -   , -   , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT209," Nuffield Health, Cambridge Hospital ", -   , * , -   , * , -   , 26 , 101 , 6 , -   , 34 , 44 , * , 372 , 46 , -   , -   , * , * , * , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT211," Nuffield Health, Cheltenham Hospital ", -   , 13 , -   , -   , -   , -   , -   , -   , -   , -   , 31 , -   , 44 , 54 , -   , -   , -   , * , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT212," Nuffield Health, Chichester Hospital ", -   , * , -   , -   , -   , * , -   , -   , -   , -   , * , * , 265 , -   , -   , -   , * , -   , 9 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT213," Nuffield Health, Derby Hospital ", 11 , 20 , * , * , -   , * , 31 , 49 , * , 115 , 132 , * , 832 , -   , -   , -   , -   , 27 , 35 , -   , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT215," Nuffield Health, Exeter Hospital ", 11 , 11 , -   , -   , -   , * , -   , -   , 113 , -   , 108 , * , 882 , * , -   , -   , * , 22 , 19 , -   , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT218," Nuffield Health, Haywards Heath Hospital ", * , * , -   , -   , -   , * , -   , -   , -   , -   , 38 , -   , 219 , -   , -   , -   , * , 13 , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT219," Nuffield Health, Hereford Hospital ", * , 20 , -   , * , * , 11 , -   , 8 , 21 , 38 , 114 , * , 180 , 78 , -   , -   , -   , 12 , * , -   , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT222," Nuffield Health, Ipswich Hospital ", * , 8 , -   , -   , -   , 138 , -   , * , 15 , 7 , 73 , 12 , 172 , * , -   , -   , -   , 9 , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT225," Nuffield Health, Leeds Hospital ", 100 , 131 , 6 , * , 6 , 106 , -   , * , 374 , 366 ," 1,391 ", 57 ," 2,025 ", 984 , -   , -   , 6 , 294 , 97 , -   , 109 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
