"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2015-16)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2015-16.",,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)"
NVC17, Rowley Hall Hospital , * ,39,19, * , -   ,139,881, -   ,72, -   ,731,29,"2,099",392, -   , -   , * ,234,54, -   ,73
RHW, Royal Berkshire NHS Foundation Trust ,"2,901","8,396","2,227","1,279",883,"1,735","7,224",491,"5,747","6,134","10,698","1,796","9,562","5,724","10,863","1,667",418,"10,571","7,204", -   ,"9,287"
RT3, Royal Brompton & Harefield NHS Foundation Trust ,190,"1,569","1,620","2,299", * ,"3,301", * , * ,"12,147","8,204",106,35,264,19,8,16,"2,141","4,993",671, -   ,"1,567"
REF-X, Royal Cornwall Hospitals NHS Trust ,"2,349","21,152","2,806","2,214",750,"2,494","4,630",584,"8,088","6,516","15,892","1,789","7,565","6,545","10,959","2,348",511,"10,936","8,612", -   ,"7,261"
RH8, Royal Devon and Exeter NHS Foundation Trust ,"2,188","24,049","3,822","1,718",568,"2,682","6,441",718,"6,679","5,926","14,421","2,651","8,082","6,897","7,832","1,808",466,"14,389","8,277", -   ,"5,722"
RAL, Royal Free London NHS Foundation Trust ,"3,931","18,392","3,164","3,275",939,"2,570","6,977",611,"10,051","9,157","25,765","5,226","10,334","10,057","9,779","2,532", * ,"20,322","11,055", * ,"14,912"
RQ6, Royal Liverpool and Broadgreen University Hospitals NHS Trust ,"2,239","11,020","2,567","1,908","1,096","1,363","7,873",301,"6,288","5,746","17,092","2,273","8,656","4,591",74, -   ,331,"8,985","8,755", -   ,"3,995"
RAN, Royal National Orthopaedic Hospital NHS Trust , * ,"1,889", * ,16, * ,"1,858", -   , -   , * , * ,7,118,"10,208",387, -   ,67,675,304,"1,506", -   ,155
RA2, Royal Surrey County Hospital NHS Foundation Trust ,"1,414","12,683","2,146",548,423,"1,132","2,493",501,"3,106","3,911","13,636","1,482","5,497","4,098","4,920","1,329",178,"7,339","4,986", -   ,"5,861"
RD1, Royal United Hospitals Bath NHS Foundation Trust ,"2,584","8,525","2,187","1,235",601,"2,365","2,270",511,"5,390","6,169","10,783","1,213","6,963","4,112","6,607","1,733",279,"9,684","6,561", -   ,"5,551"
RM3, Salford Royal NHS Foundation Trust ,"2,014","7,182","2,671","2,907","1,167","8,737",137,411,"5,554","5,001","12,100","2,080","11,061","4,893","3,222",119,176,"12,265","6,891", -   ,"1,872"
RNZ, Salisbury NHS Foundation Trust ,"1,343","5,080","1,032",664,176,"1,160","1,693",351,"3,761","2,908","8,262","1,759","4,876","3,329","5,957","1,056",476,"6,689","5,367", -   ,"3,518"
RXK-X, Sandwell and West Birmingham Hospitals NHS Trust ,"3,098","9,107","2,833","1,558",965,"1,323","8,427",195,"6,298","8,349","8,212","3,080","5,017","5,314","8,976","3,241",250,"13,416","7,018", -   ,"4,748"
8J285, Shaw Healthcare ,7,9, * , * , * , * , -   , * ,15,21,10, * ,15,12, -   , -   , -   ,27,34, -   , -   
RCU, Sheffield Children's NHS Foundation Trust ,912,"2,667",562,518,92,"1,335",467,547,83,"2,329","3,940",568,"1,684","1,334", * ,269,"2,008","1,788","2,051", -   ,"2,095"
RHQ, Sheffield Teaching Hospitals NHS Foundation Trust ,"3,711","46,774","6,120","3,314","1,267","7,762","9,625",642,"18,590","10,145","26,581","4,371","13,362","9,109","20,797","2,587",913,"17,822","11,635", -   ,"12,625"
NTPH1, Shepton Mallet NHS Treatment Centre ,11,60,61, * , * ,428,"1,781",20,96,143,"1,875",78,"2,249",86, -   , -   ,8,284,100, -   ,82
RK5, Sherwood Forest Hospitals NHS Foundation Trust ,"2,384","7,534","1,474","1,174",588,"1,496","2,219",458,"4,805","6,070","10,863","2,422","6,928","7,711","9,286",767,178,"11,123","5,036", -   ,"6,805"
RXW, Shrewsbury and Telford Hospital NHS Trust ,"3,046","23,337","2,450","2,764",352,"1,794","3,504",656,"7,413","8,638","17,640","1,802","4,485","7,275","6,848","1,885",308,"14,957","6,947", -   ,"6,959"
R1D, Shropshire Community Health NHS Trust ,29,94, * ,28,25,108, * , * ,135,233,994,119,181,204, -   , -   , * ,426,373, -   ,81
R1C, Solent NHS Trust ,20,92, * ,12,34,85, * , * ,99,112,207,47,74,92, -   , -   , -   ,203,295, -   , * 
RH5, Somerset Partnership NHS Foundation Trust ,46,128,15,23,697,98, * , * ,403,276,96,143,267,232, -   , -   , -   ,"1,486",728, -   ,40
NFH01, Somerset Surgical Services ,10,325, -   , -   , -   ,58,462, * , * , -   ,256,168,235, -   , -   , -   , * , * , * , -   , * 
RWN, South Essex Partnership University NHS Foundation Trust , -   , -   , -   , -   ,"1,118",12, -   , -   , -   , * , -   , -   , -   , * , -   , -   , * , * , -   , -   ,8
NR526, South Hams ,9,12, * , * , * ,6, -   , -   ,19,14,10,23,23,17, -   , -   , -   ,60,47, -   , * 
RV5, South London and Maudsley NHS Foundation Trust , -   , -   , -   , * ,"5,544",6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,93, * , -   ,134
RRE, South Staffordshire and Shropshire Healthcare NHS Foundation Trust , -   , -   , -   , * ,390, * , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   ,"1,548", -   , -   , -   
RTR, South Tees Hospitals NHS Foundation Trust ,"5,005","23,691","3,662","2,859",626,"4,657","4,632","1,171","10,915","10,203","17,470","4,137","11,852","7,911","9,484","1,377","1,064","13,516","9,516", -   ,"8,338"
RE9, South Tyneside NHS Foundation Trust ,"1,059","4,648","1,132",831,234,444,17,32,"2,311","2,969","5,466",683,"1,964","1,578","4,270",462,48,"3,806","2,091", -   ,"2,228"
RJC, South Warwickshire NHS Foundation Trust ,"1,317","10,208",846,"1,042",297,898,"1,942",386,"2,687","3,636","6,017",987,"4,818","4,318","3,421","1,140",136,"6,694","3,788", -   ,"3,442"
RQY, South West London and St George's Mental Health NHS Trust , -   , -   , -   , -   ,969, * , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * ,40, * , -   ,18
RXG, South West Yorkshire Partnership NHS Foundation Trust ,6,22, * ,13,"1,888",155, * , -   ,232,52,26,22,26,41, -   , -   , -   ,306,119, -   ,24
NTP11, Southampton NHS Treatment Centre ,68,450,57,18,27,445,"1,337",55,502,317,"6,690",276,"2,167","1,176", -   , -   ,20,719,293, -   ,559
RAJ, Southend University Hospital NHS Foundation Trust ,"1,585","18,210","2,304","1,467",293,"1,816","6,319",336,"5,346","5,215","8,763","2,178","7,881","5,415","7,155",909,230,"13,997","5,052", -   ,"6,291"
RW1, Southern Health NHS Foundation Trust ,162,841,332,96,"2,301",307,"1,142",25,598,780,"2,536",281,532,"1,067", -   , -   ,7,"1,985",518, -   ,542
RVY, Southport and Ormskirk Hospital NHS Trust ,"1,977","5,163","2,373","1,595",640,811,"2,914",237,"2,908","4,087","8,837","1,122","5,759","2,901","3,730",989,80,"5,914","3,525", -   ,"3,356"
NPG01, Spamedica , -   ,16, -   , * , -   , -   ,"15,262", -   , -   , -   , -   , * , * , -   , -   , -   , * , * ,14, -   ,111
NT312, Spire Alexandra Hospital , -   ,43, -   , * , * ,19, -   , -   ,15, -   ,144,57,715,211, -   , -   , -   ,16,21, -   ,21
NT302, Spire Bristol Hospital , -   ,11, -   , -   , -   ,133, -   , -   , -   , -   ,29, * ,"1,146",45, -   , -   , * , * ,13, -   ,25
NT315, Spire Bushey Hospital , * ,14, -   , -   , -   ,33, -   , -   ,54, -   ,120,22,386,10, -   , -   , * ,11,7, -   ,6
NT317, Spire Cambridge Lea Hospital , -   ,8, -   , -   , -   , * , -   , -   , -   , -   ,59,27,670, -   , -   , -   , * , * ,22, -   , * 
NT324, Spire Cheshire Hospital ,14,118,9, * , * ,119,99,52,286,190,648,104,"1,057",270, -   , -   , * ,97,25, -   ,55
NT345, Spire Clare Park Hospital , * ,23, * , -   , * ,32, * , * ,41,21,183,8,747,83, -   , -   , -   ,39,9, -   ,15
NT344, Spire Dunedin Hospital , * ,33, * , -   , -   ,65, -   , -   ,60, -   ,258,12,993, * , -   , -   , * ,59,7, -   ,21
NT348, Spire Elland Hospital ,25,41, * , * , * ,141, -   , * ,321,160,640,28,"1,844",388, -   , -   ,6,110,24, -   ,85
NT347, Spire Fylde Coast Hospital ,12,92, * , * , * ,124,"1,047",35,225,238,614,51,"2,463",259, -   , -   ,12,116,42, -   ,69
NT308, Spire Gatwick Park Hospital , -   , * , -   , -   , -   ,12, -   , -   ,48, -   ,108, * ,399,10, -   , -   , -   , * ,10, -   , * 
NT316, Spire Harpenden Hospital , -   ,32, * , -   , -   ,68, -   , * , * ,50,73,29,"1,322",30, -   , -   , * ,8,64, -   ,6
NT319, Spire Hartswood Hospital , * ,27, -   , -   , -   ,37,424,27, * ,175,109,24,504,59, -   , -   , -   ,11, * , -   ,65
NT351, Spire Hull and East Riding Hospital ,41,456, * , * ,8,312, -   ,16,341,49,550,453,"4,932",180, -   , -   , * ,553,53, -   ,51
NT332, Spire Leeds Hospital ,12,105,8, * , -   ,275, * ,49,110,196,497,172,"1,810",252, -   , -   ,12,58,15, -   ,23
NT322, Spire Leicester Hospital , * ,54, -   , -   , -   ,66, -   , -   ,30, * ,245,98,794,22, -   , -   , -   ,16,7, -   , * 
NT321, Spire Little Aston Hospital , * ,30, -   , * , * ,108, -   ,20, -   ,37,181,35,"1,821",180, -   , -   , * ,8,44, -   ,11
NT337, Spire Liverpool Hospital ,86,74,28, * , * ,256,645,76,349,315,"1,749",25,"2,536",403, -   , -   , * ,409,82, -   ,29
NT327, Spire Manchester Hospital , * ,15, * , -   , * ,137, -   ,8,71,138,300,20,955,55, -   , -   ,12,31,19, -   , * 
NT350, Spire Methley Park Hospital , * ,89, * , -   , * ,285,507,10,167,47,449,75,"1,754",603, -   , -   , * ,110,25, -   ,58
NT364, Spire Montefiore Hospital ,9,25,10, -   , -   ,15, -   , -   ,27, -   ,177, * ,194,23, -   , -   , -   ,41, * , -   ,7
NT325, Spire Murrayfield Hospital ,18,66, * , -   , -   ,128,633,12,182,63,339,21,"1,325",165, -   , -   , * ,56,11, -   ,13
NT318, Spire Norwich Hospital , -   , * , -   , -   , -   , -   , -   , -   , -   ,95,6, * ,"1,312",8, -   , -   , -   , -   ,20, -   ,7
NT320, Spire Parkway Hospital , * ,24, * , -   , -   ,105, * , -   ,60, -   ,226, * ,"1,185",195, * , -   , -   ,15,26, -   ,14
NT305, Spire Portsmouth Hospital , -   , * , -   , -   , -   ,16, -   , -   , -   , * ,52, * ,673, -   , -   , -   ,6, -   , * , -   , * 
NT339, Spire Regency Hospital , * ,41, * , * , -   ,66,461,16,141,89,334,17,583,133, -   , -   , * ,48,11, -   ,27
NT314, Spire Roding Hospital , * ,155, * , * , -   ,61, -   ,55,129,156,407,122,"1,806",398, -   , -   , * ,51,9, -   ,48
NT301, Spire South Bank Hospital , * ,65,7, * , -   ,112, -   ,7,86,33,556,18,622,201, -   , -   , * ,51,14, -   ,23
NT304, Spire Southampton Hospital , -   ,9, -   ,127, -   ,39,273, -   , * , -   ,140, * ,"1,202",11, -   , -   , * ,12,29, -   ,18
NT346, Spire St Saviours Hospital , * ,21, -   , -   , -   ,13, -   , -   , * , -   ,93,13,364,78, -   , -   , * ,8, * , -   ,15
NT309, Spire Sussex Hospital , -   ,18, -   , -   , -   ,95, -   , -   , * ,23,31, * ,510,48, -   , -   , -   ,9, * , -   , * 
NT343, Spire Thames Valley Hospital , * ,13, -   , -   , -   , * , -   , * ,26,17,61,8,186,62, -   , -   , * ,7,9, -   , * 
NT310, Spire Tunbridge Wells Hospital , * ,45, * , * , -   ,20, -   , * ,36,38,216,12,132,107, -   , -   , * ,23, * , -   ,7
NT333, Spire Washington Hospital ,14,81,6, * , -   ,341, * ,6,488,62,534,50,"2,793",97, -   , -   ,7,44,60, -   ,24
NT313, Spire Wellesley Hospital , -   ,45, -   , -   , -   ,233,323, -   , * , -   ,229,42,"2,709",161, -   , -   , * , * ,64, -   ,18
NT338, Spire Yale , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   
NVC18, Springfield Hospital ,11,137,15,9, * ,85,"1,077",12,105,136,"1,275",45,"2,076",993, -   , * ,11,188,24, -   ,247
NLL13, St Austell Community Hospital ,13,50, * , * ,20,18, * , -   ,86,114,31,20,66,67, -   , -   , * ,49,178, -   , -   
NLL08, St Barnabas Hospital , * ,18, -   , * ,10,10, -   , -   ,21,21,8, * ,17,11, -   , -   , -   ,16,27, -   , -   
NQ713, St Bartholomew's Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,512, -   , -   , -   
RJ7, St George's University Hospitals NHS Foundation Trust ,"2,293","8,728","1,615","1,789","1,044","5,566",331,839,"12,007","6,655","13,240","1,957","5,869","8,318","9,974","1,268","1,354","14,414","10,744", -   ,"11,097"
RBN, St Helens and Knowsley Hospital Services NHS Trust ,"3,047","8,978","1,080",972,999,"1,418","4,614",444,"5,579","7,354","14,299","4,335","6,152","6,396","8,882","1,520",387,"13,815","10,675", -   ,"6,903"
NTE02, St Hugh's Hospital , -   ,14, -   , * , * ,73,738,10,16,47,622,9,"1,977",348, -   , -   , * ,473,282, -   , * 
8A101, St Luke's Hospice , -   , -   , -   , -   , -   , -   , -   , * , -   , * , -   , -   , -   , -   , -   , -   , -   ,170, -   , -   , -   
NLX01, St Martins Hospital , * ,13, -   ,11,9,15, -   , -   ,89,38,17, * ,27,26, -   , -   , -   ,37,147, -   ,7
NLL21, St Mary's Hospital ,6,16, * , * , * ,8, -   , * ,19,21,10,8,8,13, -   , -   , -   ,25,25, -   , * 
NTPAD, St Mary's NHS Treatment Centre ,36,378,41,7, -   ,307,"1,458", * ,519, * ,"3,527",81,212, * , -   , -   , -   ,415, * , -   ,209
R1E, Staffordshire and Stoke on Trent Partnership NHS Trust ,77,552,397,71,117,655, * , * ,629,452,127,126,"4,048",328, -   , -   ,9,590,692, -   ,58
NHW01, Standard Health , -   , -   , -   , -   , -   ,8, -   , -   , -   , -   , -   , -   ,29, -   , -   , -   , -   , * , * , -   , -   
RWJ, Stockport NHS Foundation Trust ,"2,374","6,118","1,506",982,765,"1,961","4,692",475,"6,072","6,184","12,014","1,589","8,138","6,192","8,106","1,254",405,"8,955","6,259", -   ,"5,900"
NLL09, Stratton Hospital , * ,20, * , * ,6,7, -   , -   ,24,20,8,9,12,7, -   , -   , -   ,16,35, -   , -   
NHM01, Suffolk Community Healthcare - Ipswich , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,262", -   , -   , -   
RXX, Surrey and Borders Partnership NHS Foundation Trust , -   , -   , -   , -   ,849,13, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"1,762", -   , -   ,6
RTP, Surrey and Sussex Healthcare NHS Trust ,"1,924","4,982","1,922",851,510,"1,168","4,734",515,"5,463","5,534","12,860","1,253","5,017","4,884","6,374","1,819",185,"10,369","6,022", -   ,"5,025"
RDR, Sussex Community NHS Foundation Trust , -   , * , -   , -   , -   , * , -   , -   , * , -   , -   , * , -   , -   ,9, -   , -   ,"3,536", * , -   , * 
AJX01, Sussex Msk Partnership 2 Ltd ,10,24, * , * , -   ,253, * , -   , * , -   ,10,45,"2,788", * , -   , -   ,17,7,267, -   ,47
RX2, Sussex Partnership NHS Foundation Trust , * , -   , -   , -   ,"2,374",36, -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,"1,990", -   , -   ,8
RMP, Tameside Hospital NHS Foundation Trust ,"1,681","2,791","1,317","1,142",628,"1,009",570,367,"3,886","5,393","9,377","1,278","5,158","2,421","3,883","1,125",119,"6,352","3,453", -   ,"2,665"
RBA, Taunton and Somerset NHS Foundation Trust ,"1,968","14,259","1,975","1,113",421,"2,225","3,929",619,"6,800","5,244","10,582","1,775","4,886","5,109","7,940","1,282",295,"12,399","5,720", -   ,"6,280"
NR525, Tavistock Hospital , * ,10, * , * , * ,8, -   , -   ,9,6, * ,14,8,7, -   , -   , -   ,71,41, -   , -   
NVC35, Tees Valley Treatment Centre ,96,916,49,8,20,200, * , * ,398, * ,"2,776",690,576,308, -   , -   , * ,425,15, -   ,311
RX3," Tees, Esk and Wear Valleys NHS Foundation Trust ", -   , -   , -   , -   ,"3,330",237, -   , -   , -   , -   , -   , -   , -   , * , * , -   , -   ,647, * , -   ,"2,252"
AAH01, Tetbury Hospital Trust ,8,270, * , -   , -   ,33,236,7, * , * ,124,76,78,48, -   , -   , -   ,80, * , -   , * 
NVC02, The Berkshire Independent Hospital ,15,28,19, * , -   ,60,247, -   ,64, * ,673,19,957,135, -   , -   , * ,133,26, -   ,31
RBV, The Christie NHS Foundation Trust ,376,"12,437","1,322",555,7,182,192, * ,263,405,545,266,126,410, -   , -   ,14,"5,980",352, -   ,"1,687"
REN, The Clatterbridge Cancer Centre NHS Foundation Trust ,198,"2,384",316,122, * ,140, -   , -   ,30,85,100,22,24,81, -   , -   , -   ,188,22, -   ,20
NTPAE, The Croft Shifa Health Centre , -   ,27, -   , -   , -   ,7,"1,013", -   , -   , -   , -   , * , * , -   , -   , -   , -   , -   , * , -   , -   
RNA, The Dudley Group NHS Foundation Trust ,"3,236","15,433","2,073","1,589",570,"1,678","5,576",478,"6,665","8,616","12,380","3,236","11,977","6,549","14,751","1,757",385,"13,268","6,843", -   ,"6,588"
RAS, The Hillingdon Hospitals NHS Foundation Trust ,"2,145","4,351","1,491","1,108",383,"1,098","1,947",85,"2,432","3,696","8,292","1,310","6,026","3,755","8,449","1,429",250,"6,805","3,439", -   ,"4,671"
NXM01, The Horder Centre - St Johns Road , -   ,12, -   , -   , -   ,225, -   , -   , -   , -   , -   ,23,"4,844", -   , -   , -   ,6,11,208, -   ,8
RTD, The Newcastle Upon Tyne Hospitals NHS Foundation Trust ,"4,037","39,241","4,723","4,026",820,"7,270","11,113","1,711","14,277","11,496","24,773","5,556","16,899","12,896","9,606","2,658","4,051","16,459","14,365", -   ,"16,738"
NTP35, The Phoenix Centre , -   , -   , -   , -   , -   , -   ,256, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
RQW, The Princess Alexandra Hospital NHS Trust ,"1,202","7,632","1,498","1,111",379,"1,032","1,432",363,"4,086","4,221","7,876","1,074","5,424","4,135","11,838",867,205,"7,634","3,482", -   ,"6,454"
RCX," The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust ","2,113","11,569","2,526","1,159",393,"1,108","5,998",339,"4,285","4,703","9,743","1,988","4,979","5,857","6,436",991,193,"8,947","4,046", -   ,"5,964"
RL1, The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust , * ,446,29,7, * ,"1,438", -   , * ,26,41,12,138,"10,026",40, -   , * ,224,65,"1,704", -   ,537
RFR, The Rotherham NHS Foundation Trust ,"1,557","6,200","1,257",637,349,"1,075","7,990",354,"3,622","5,561","10,660","1,339","4,118","6,040","8,321",752,131,"7,496","4,476", -   ,"5,749"
RDZ, The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust ,"1,146","18,270","2,873","1,678",940,"2,206","10,090",123,"12,086","4,078","12,743","1,463","9,138","6,878",932, -   ,97,"9,389","4,346", -   ,"5,215"
RPY, The Royal Marsden NHS Foundation Trust ,312,"15,253","1,698",252,6,35, * , * ,137,261,"1,118",155,67,584, -   , -   ,16,489,303, -   ,"2,151"
RRJ, The Royal Orthopaedic Hospital NHS Foundation Trust , * ,"1,908", * , * , -   ,"1,050", * , -   , -   , -   , * ,36,"10,277", * , -   , -   ,208,20,"1,142", -   ,558
RL4, The Royal Wolverhampton NHS Trust ,"3,326","22,531","2,725","1,805",631,"1,980","4,936",456,"9,089","7,663","14,561","2,191","13,474","6,178","9,429","1,827",435,"11,723","6,523", -   ,"6,425"
NN801, The Spencer Wing , * ,42, * , * , -   ,19, -   ,19,24,65,217,22,"1,240",306, -   , -   , * ,69, * , -   ,24
RET, The Walton Centre NHS Foundation Trust ,23,685,37,19,8,"3,528",62,9,798, * ,9,10,"3,848",17, * , -   ,145,"1,014",639, -   ,758
NVC44, The Westbourne Centre , * ,30, -   ,6, * ,40,318, * ,32, -   ,534,56,73, * , -   , -   , * , * ,18, -   ,21
RKE, The Whittington Hospital NHS Trust ,"1,415","4,363","3,023",977,364,579,29,56,"1,667","2,634","7,492","1,130","2,603","3,543","8,589","1,788",136,"4,842","2,816", -   ,"4,436"
NVC20, The Yorkshire Clinic ,71,544,48, * , * ,448,"1,115",50,581,187,"2,204",515,"4,471","1,013", * , -   ,12,758,112, -   ,337
NLX22, Thornbury Hospital , * , -   , * , * , * , * , -   , -   ,20,26, * ,13,16,18, -   , -   , -   ,76,59, -   ,13
RA9, Torbay and South Devon NHS Foundation Trust ,"2,285","12,016","1,617","1,255",679,"1,756","3,336",466,"5,283","5,175","9,921","1,360","5,617","4,205","5,481",607,169,"8,770","6,665", -   ,"4,792"
NN501, Trafford General Hospital , * ,11, -   , * , -   , -   ,29,14,9,112,29,18, * , -   , -   , -   , * ,6, * , -   , -   
NN401, Tyneside Surgical Services , * ,15, -   , -   , -   ,41, -   , -   ,25, -   ,56,26,869,43, -   , -   , * ,31, * , -   ,26
RWD, United Lincolnshire Hospitals NHS Trust ,"3,230","24,592","2,865","1,962",515,"2,366","5,284",555,"9,201","8,500","17,393","2,809","12,399","7,747","10,905","1,910",327,"16,919","8,923", -   ,"9,862"
RRV, University College London Hospitals NHS Foundation Trust ,"1,790","42,429","6,762","2,349","1,290","11,992",314,"1,401","4,808","7,418","20,445","2,312","10,904","7,803","8,720","4,041","1,394","11,405","5,629", -   ,"6,244"
RM2, University Hospital of South Manchester NHS Foundation Trust ,"2,663","9,269",970,"1,548",653,"1,813", * ,428,"11,128","9,590","11,376","2,452","8,130","7,123","6,354","1,871",670,"9,712","8,617", * ,"6,417"
RHM, University Hospital Southampton NHS Foundation Trust ,"3,293","19,919","2,259","2,066","1,057","5,893","5,581", * ,"9,940","8,393","12,651","2,109","8,500","6,867","7,678","1,672","2,500","17,164","11,460", * ,"9,140"
RRK-X, University Hospitals Birmingham NHS Foundation Trust ,"2,341","15,778","2,032","2,807",588,"4,734","4,996",621,"10,867","6,579","15,909","2,728","7,261","6,011",184, -   ,787,"12,968","10,584", -   ,"4,803"
RA7, University Hospitals Bristol NHS Foundation Trust ,"3,373","25,265","2,286","2,594","1,018","2,316","8,160","1,063","9,026","8,346","15,019","1,924","3,583","3,368","11,828","3,116","2,919","10,684","9,305", -   ,"8,399"
RKB, University Hospitals Coventry and Warwickshire NHS Trust ,"3,460","23,268","3,363","2,628","1,166","3,455","4,985", * ,"8,988","9,035","16,053","4,256","12,234","8,242","14,069","2,638",872,"16,452","12,287", * ,"9,781"
RWE, University Hospitals of Leicester NHS Trust ,"5,282","35,648","4,670","3,504","1,345","5,798","9,852","1,066","16,017","14,559","29,529","3,847","13,643","14,136","26,920","2,269","1,944","28,689","12,576", -   ,"24,601"
RTX, University Hospitals of Morecambe Bay NHS Foundation Trust ,"2,429","10,929",978,940,669,"1,989","4,289",602,"5,432","6,717","12,143","1,560","8,296","5,732","4,822","1,189",299,"9,375","6,624", -   ,"6,265"
RJE, University Hospitals of North Midlands NHS Trust ,"5,295","32,535","4,265","3,379","1,392","6,154","4,137","1,300","15,445","16,663","24,627","3,838","8,958","11,336","16,302","2,906",807,"20,108","13,681", -   ,"13,600"
RBK, Walsall Healthcare NHS Trust ,"1,776","3,154","1,397","1,273",499,871,927,320,"4,378","5,407","8,755","1,398","5,508","4,428","8,438","1,657",199,"8,008","3,419", -   ,"5,446"
NDA07, Walton Community Hospital , -   , -   , * , -   , -   , * , -   , -   , * , * , * , * ,8,7, -   , -   , -   ,309,31, -   , * 
RWW, Warrington and Halton Hospitals NHS Foundation Trust ,"1,845","4,812","1,574","1,730",712,"1,218","5,195",377,"4,309","4,959","11,977","1,274","7,180","4,503","5,637","2,110",238,"8,836","5,372", -   ,"3,746"
RWG, West Hertfordshire Hospitals NHS Trust ,"3,042","7,140","2,195","1,801",749,"1,418","2,099",451,"6,948","6,245","13,020","2,192","8,786","7,129","8,916","3,209",526,"11,376","5,344", -   ,"6,538"
RKL, West London Mental Health NHS Trust , -   , -   , * , * ,"1,826", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31, -   , -   , -   
NVC21, West Midlands Hospital ,29,54,13, * , * ,121,317,6,125,94,"1,020",35,"1,719",577, -   , -   , * ,174,37, -   ,45
RGR, West Suffolk NHS Foundation Trust ,"1,675","10,708",927,746,352,869,"2,641",447,"4,217","5,087","7,855","2,438","4,872","4,368","3,575","1,055",250,"5,831","3,789", -   ,"3,056"
RYR-X, Western Sussex Hospitals NHS Foundation Trust ,"3,314","20,830","2,612","2,125",989,"2,442","8,934",470,"8,696","7,485","19,982","3,401","8,102","7,750","6,990","1,656",218,"14,896","9,278", -   ,"7,444"
RA3, Weston Area Health NHS Trust ,640,"5,334",948,661,220,376,25,46,"1,693","2,218","4,122",850,"2,475","2,338",475,98,26,"4,167","2,202", -   ,"1,580"
NTP16, Will Adams NHS Treatment Centre ,55,203,15, -   , -   ,51,"1,618", -   ,225, * ,"1,033",186,189,32, -   , -   , * ,187, -   , -   ,77
NVC22, Winfield Hospital ,22,96,31, * , -   ,156, * , * ,84,21,771,25,"1,202",155, -   , -   , * ,131,22, -   ,23
RBL, Wirral University Teaching Hospital NHS Foundation Trust ,"3,329","9,192","1,745","3,000","1,185","1,781","2,763",622,"5,936","8,291","16,183","2,763","7,498","9,099","9,278","1,538",300,"12,757","6,923", -   ,"6,277"
NQ719, Wisdom Hospice , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,318, -   , -   , -   
NDA18, Woking Community Hospital , * ,10, * , -   , -   ,13, -   , -   ,36, * ,6, * ,20,9, -   , -   , * ,231,60, -   , * 
NVC23, Woodland Hospital ,33,83,19, * , * ,99,949,23,136,55,"1,283",39,"2,936",694, -   , -   ,9,249,65, -   ,71
8E339, Woodlands Hospice Charitable Trust , * ,236,10, * , -   , * , -   , -   ,8,14,9, * , * , * , -   , -   , -   , * , * , -   , -   
