 SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT314 Spire Roding Hospital , * , -   , -   , * , -   , * , -   , 117 , * , 261 , 79 , 20 , 295 , 135 , -   , -   , -   ," 1,032 ", -   , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT411 BMI - The Clementine Churchill Hospital , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 7 , 8 , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 NT506 North East London NHS Treatment Centre , -   , 15 , -   , * , -   , 389 ," 2,526 ", -   , 171 , 126 ," 1,470 ", 224 ," 2,510 ", 165 , -   , -   , * , 249 , 42 , 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAL Royal Free Hampstead NHS Trust ," 1,223 "," 6,537 "," 1,928 "," 1,471 ", 332 ," 1,813 "," 3,730 "," 1,487 "," 5,328 "," 5,188 "," 6,966 "," 3,298 "," 4,158 "," 4,570 "," 5,062 ", 335 , 738 ," 11,006 "," 6,932 "," 6,438 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAN Royal National Orthopaedic Hospital NHS Trust , 12 ," 1,035 ", 12 , 6 , -   , 628 , * , -   , * , -   , * , 71 ," 6,678 ", 108 , -   , * , 430 , 69 ," 1,508 ", 205 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAP North Middlesex University Hospital NHS Trust , 773 ," 6,828 "," 2,013 ", 998 , 448 , 676 ," 2,045 ", 33 ," 2,600 "," 1,930 "," 4,742 ", 857 ," 2,703 "," 2,814 "," 5,013 ", 616 , 128 ," 4,491 "," 2,419 "," 4,569 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAS The Hillingdon Hospital NHS Trust , 602 ," 2,610 ", 910 , 747 , 577 ," 1,130 "," 1,558 ", 56 ," 2,971 "," 2,333 "," 6,627 ", 964 ," 5,369 "," 3,491 "," 9,554 "," 1,002 ", 302 ," 7,558 "," 3,389 "," 6,321 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAT North East London NHS Foundation Trust , -   , -   , -   , -   ," 2,224 ", 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RAX Kingston Hospital NHS Trust , 661 ," 4,161 ", 752 , 623 , 306 , 798 ," 3,609 ", 263 ," 3,409 "," 3,337 "," 6,615 "," 1,182 "," 3,523 "," 3,769 "," 13,092 "," 1,344 ", 204 ," 4,785 "," 2,901 "," 8,521 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RC3 Ealing Hospital NHS Trust ," 1,098 "," 3,525 ", 823 , 791 , 517 , 554 , 55 , 146 ," 3,356 "," 2,906 "," 6,099 "," 1,259 "," 1,991 "," 4,205 "," 5,235 ", 997 , 229 ," 4,869 "," 3,015 "," 3,752 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" RF4 Barking, Havering and Redbridge University Hospitals NHS Trust "," 1,168 "," 7,220 "," 1,459 "," 2,019 ", 920 ," 1,816 "," 3,355 ", 679 ," 7,480 "," 7,593 "," 15,165 "," 2,746 "," 7,023 "," 9,601 "," 13,127 "," 3,435 ", 828 ," 20,805 "," 8,311 "," 10,236 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RFW West Middlesex University Hospital NHS Trust , 754 ," 1,310 ", 558 , 476 , 636 , 816 , 69 , 395 ," 1,539 "," 3,081 "," 5,152 "," 1,026 "," 2,693 "," 2,420 "," 5,767 ", 674 , 134 ," 6,270 "," 3,482 "," 3,853 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RG2 Queen Elizabeth Hospital NHS Trust , 721 ," 7,107 ", 897 , 774 , 164 , 501 , * , 34 ," 2,551 "," 2,229 "," 5,748 "," 1,580 "," 2,502 "," 4,468 "," 8,122 ", 560 , * ," 4,517 "," 1,967 "," 7,141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RG3-X Bromley Hospitals NHS Trust , 445 ," 7,199 ", 862 ," 1,306 ", 275 ," 1,184 "," 2,635 ", 531 ," 4,466 "," 3,689 "," 9,155 "," 1,902 "," 6,604 "," 6,022 "," 6,835 ", 823 , 262 ," 9,025 "," 3,617 "," 7,568 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGC Whipps Cross University Hospital NHS Trust ," 1,146 "," 5,539 "," 1,562 ", 998 , 734 , 863 ," 4,776 ", 739 ," 4,337 "," 4,693 "," 9,461 "," 1,500 "," 4,897 "," 5,704 "," 7,425 ", 939 , 269 ," 9,083 "," 4,499 "," 7,581 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RGZ Queen Mary's Sidcup NHS Trust , 503 ," 3,621 ", 830 , 426 , 134 , 666 ," 3,740 ", * ," 2,279 "," 1,671 "," 5,412 ", 692 ," 2,703 "," 3,170 "," 7,368 ", 851 , * ," 3,052 "," 2,093 "," 4,026 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJ1 Guy's and St Thomas' NHS Foundation Trust ," 1,174 "," 8,370 "," 1,648 "," 1,427 "," 1,166 "," 3,845 "," 3,581 ", 879 ," 10,267 "," 5,460 "," 15,675 "," 1,896 "," 7,330 "," 10,303 "," 9,740 ", 524 ," 2,596 "," 10,810 "," 7,501 "," 14,812 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJ2 The Lewisham Hospital NHS Trust , 723 ," 4,324 "," 1,400 ", 808 , 426 , 791 , 71 , 548 ," 2,826 "," 4,245 "," 5,848 "," 1,686 "," 3,254 "," 4,122 "," 8,451 ", 861 , 696 ," 5,354 "," 3,698 "," 5,135 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJ6 Mayday Healthcare NHS Trust , 672 ," 3,060 "," 1,270 ", 767 , 303 , 977 ," 2,512 ", 300 ," 3,460 "," 2,977 "," 9,803 "," 1,014 "," 2,913 "," 4,934 "," 8,951 "," 1,411 ", 155 ," 11,200 "," 3,704 "," 6,166 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJ7 St George's Healthcare NHS Trust ," 1,049 "," 7,287 "," 1,230 ", 964 , 554 ," 2,547 ", 187 , 599 ," 9,406 "," 4,713 "," 8,701 "," 1,867 "," 3,571 "," 7,557 "," 10,279 "," 1,073 "," 1,400 "," 9,193 "," 7,567 "," 8,486 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RJZ King's College Hospital NHS Foundation Trust ," 1,035 "," 7,501 "," 1,840 "," 2,534 ", 408 ," 2,899 "," 4,231 ", 40 ," 7,925 "," 2,267 "," 17,945 "," 1,980 "," 4,541 "," 4,606 "," 14,592 ", 432 , 751 ," 6,668 "," 4,580 "," 20,041 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RKE The Whittington Hospital NHS Trust , 565 ," 4,156 "," 2,679 ", 626 , 521 , 743 , 34 , 102 ," 2,070 "," 2,342 "," 5,190 "," 1,155 "," 4,184 "," 3,590 "," 8,016 ", 795 , 129 ," 4,397 "," 2,856 "," 3,985 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RKL West London Mental Health NHS Trust , -   , -   , -   , -   , 865 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 159 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNH Newham University Hospital NHS Trust , 556 ," 3,528 "," 1,007 ", 445 , 278 , 542 , 55 , 200 ," 1,393 "," 2,195 "," 4,136 ", 991 ," 2,355 "," 3,077 "," 17,608 "," 1,667 ", 298 ," 7,928 "," 2,736 "," 10,450 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RNJ Barts and The London NHS Trust ," 1,148 "," 7,481 "," 2,385 "," 1,452 ", 578 ," 1,844 ", 884 , 478 ," 10,030 "," 5,008 "," 10,099 "," 1,507 "," 4,757 "," 4,666 "," 8,838 ", 946 ," 1,072 "," 10,394 "," 7,395 "," 6,213 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RP4 Great Ormond Street Hospital for Children NHS Trust , 130 ," 3,544 ", 595 ," 1,484 ", 106 ," 1,479 ", 314 , 269 , 573 , 724 ," 1,699 ", 373 ," 1,512 "," 3,637 ", -   , 149 ," 5,205 ", 550 , 411 , 231 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RP6 Moorfields Eye Hospital NHS Foundation Trust , 78 , 415 , 8 , 472 , * , 22 ," 25,756 ", -   , * , -   , -   , 57 , 14 , -   , -   , -   , 535 , 38 , 286 , 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RPG Oxleas NHS Foundation Trust , -   , -   , -   , -   ," 1,855 ", 71 , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , 149 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RPY The Royal Marsden NHS Foundation Trust , 7 ," 22,442 ", 178 , 23 , -   , 8 , -   , -   , 11 , 11 , 113 , 101 , 23 , 318 , -   , -   , 29 , 153 , 38 , 303 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQM Chelsea and Westminster Hospital NHS Foundation Trust ," 2,300 "," 3,155 ", 773 , 966 , 261 ," 1,126 "," 1,139 ", 196 ," 1,955 "," 2,262 "," 8,082 "," 1,804 "," 3,884 "," 4,106 "," 11,759 ", 641 , 748 ," 6,266 "," 5,669 "," 7,955 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQX Homerton University Hospital NHS Foundation Trust , 783 ," 1,116 "," 1,450 ", 644 , 388 , 683 , 53 , 161 ," 1,505 "," 2,419 "," 5,601 ", 981 ," 2,268 "," 2,536 "," 12,866 ", 971 , 132 ," 5,141 "," 2,372 "," 4,637 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RQY South West London and St George's Mental Health NHS Trust , * , -   , -   , -   ," 1,170 ", * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 2,120 ", -   , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" RRP Barnet, Enfield and Haringey Mental Health NHS Trust ", -   , -   , -   , -   ," 1,133 ", * , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 1,248 ", 8 , 28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RRV University College London Hospitals NHS Foundation Trust ," 1,768 "," 22,027 "," 3,766 "," 1,527 ", 569 ," 8,407 ", 966 , 57 ," 6,140 "," 2,425 "," 12,885 "," 1,024 "," 6,605 "," 5,281 "," 6,339 ", 634 ," 1,217 "," 8,576 "," 4,595 "," 8,974 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RT3 Royal Brompton and Harefield NHS Trust , 98 ," 1,221 "," 1,255 "," 1,840 ", 11 ," 2,590 ", * , * ," 9,926 "," 6,615 ", 75 , 13 , 134 , 23 , * , 24 ," 1,689 "," 2,255 ", 704 , 809 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RV3 Central and North West London NHS Foundation Trust , -   , -   , * , -   ," 2,622 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 393 , -   , 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RV5 South London and Maudsley NHS Foundation Trust , * , -   , -   , -   ," 3,712 ", * , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   ," 1,550 ", * , 139 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RV8 North West London Hospitals NHS Trust ," 1,751 "," 6,964 "," 2,132 "," 1,441 ", 462 ," 1,300 "," 1,763 ", 687 ," 5,607 "," 6,466 "," 15,252 "," 1,830 "," 6,275 "," 7,528 "," 9,471 "," 1,355 ", 331 ," 11,682 "," 6,131 "," 7,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVL Barnet and Chase Farm Hospitals NHS Trust ," 1,515 "," 9,989 "," 1,528 "," 1,269 ", 617 ," 1,621 ", 739 , 406 ," 6,465 "," 6,435 "," 15,719 "," 2,966 "," 7,047 "," 9,594 "," 12,581 "," 1,836 ", 531 ," 13,238 "," 6,482 "," 10,001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RVR-X Epsom and St Helier University Hospitals NHS Trust , 921 ," 3,181 "," 1,071 "," 1,026 ", 499 ," 1,250 "," 2,274 ", 668 ," 5,507 "," 4,505 "," 10,533 "," 1,270 "," 9,228 "," 8,024 "," 6,661 "," 3,784 ", 969 ," 10,012 "," 5,974 "," 8,120 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RWK East London NHS Foundation Trust , -   , -   , -   , * ," 2,869 ", 9 , -   , -   , -   , -   , -   , * , -   , -   , -   , * , -   , 21 , * , 56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RYJ Imperial College Healthcare NHS Trust ," 1,844 "," 17,284 "," 3,361 "," 3,280 ", 939 ," 5,357 "," 5,270 ", 618 ," 14,821 "," 6,727 "," 16,156 "," 2,876 "," 9,182 "," 10,938 "," 24,575 "," 1,976 "," 1,031 "," 16,318 "," 7,126 "," 19,927 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 TAF Camden and Islington Mental Health and Social Care Trust , -   , -   , -   , -   , 745 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,009 ", -   , 144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
