"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2016-17)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2016-17.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RBT, Mid Cheshire Hospitals NHS Foundation Trust (RBT) ," 2,127 "," 5,210 "," 2,245 "," 1,100 ", 864 ," 1,346 "," 5,620 ", 387 ," 3,268 "," 5,229 "," 11,795 "," 1,389 "," 5,406 "," 4,510 "," 8,176 "," 1,442 ", 203 ," 9,890 "," 5,261 ", -   ," 5,194 ",
RQ8, Mid Essex Hospital Services NHS Trust (RQ8) ," 2,032 "," 17,714 "," 1,668 "," 1,049 ", 422 ," 2,641 "," 2,564 ", 550 ," 4,454 "," 5,701 "," 9,296 "," 3,714 "," 6,260 "," 5,527 "," 6,667 "," 1,692 ", 654 ," 8,401 "," 9,357 ", -   ," 5,654 ",
RXF-X, Mid Yorkshire Hospitals NHS Trust (RXF-X) ," 4,462 "," 22,235 "," 4,113 "," 2,347 ", 812 ," 3,049 "," 4,250 ", 873 ," 7,416 "," 11,405 "," 16,984 "," 3,887 "," 12,395 "," 9,112 "," 14,558 "," 1,344 ", 391 ," 20,419 "," 13,822 ", -   ," 11,903 ",
NDA26, Milford Specialist Rehabilitation Hospital (NDA26) , * , * , * , 8 , * , 7 , -   , * , 57 , 35 , 12 , * , 18 , 13 , -   , -   , -   , 83 , 77 , -   , * ,
RD8, Milton Keynes University Hospital NHS Foundation Trust (RD8) ," 2,278 "," 10,724 "," 1,350 "," 1,016 ", 276 , 718 ," 1,594 ", 414 ," 3,092 "," 5,756 "," 9,530 "," 1,263 "," 3,449 "," 4,113 "," 6,340 "," 1,310 ", 193 ," 8,061 "," 3,826 ", -   ," 4,998 ",
RP6, Moorfields Eye Hospital NHS Foundation Trust (RP6) , 6 , 975 , 6 , 25 , -   , 21 ," 34,509 ", * , 6 , * , * , 61 , 11 , -   , -   , -   , 534 , * , 685 , -   , 349 ,
NAM06, Morrab Surgery (NAM06) , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , -   , -   ,
NR527, Mount Gould Hospital (NR527) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 108 , -   , -   , -   ,
NVC08, Mount Stuart Hospital (NVC08) , 15 , 339 , 19 , -   , -   , 147 , 339 , 7 , -   , 68 , 992 , 108 , 754 , 673 , -   , * , * , 190 , 22 , -   , 112 ,
NVC09, New Hall Hospital (NVC09) , * , 38 , * , * , -   , 104 , 180 , 7 , * , 70 , 243 , 31 ," 3,926 ", 423 , -   , -   , * , 82 , 92 , -   , 27 ,
NHM04, Newmarket Community Hospital (NHM04) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 249 , -   , -   , -   ,
RM1, Norfolk and Norwich University Hospitals NHS Foundation Trust (RM1) ," 3,860 "," 37,896 "," 3,308 "," 2,656 ", 841 ," 3,234 "," 7,175 ", 851 ," 11,134 "," 9,561 "," 22,878 "," 3,713 "," 9,986 "," 8,213 "," 12,801 "," 2,136 ", 912 ," 16,055 "," 10,567 ", -   ," 11,477 ",
RMY-X, Norfolk and Suffolk NHS Foundation Trust (RMY-X) , -   , -   , -   , * ," 1,959 ", 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , 952 , -   , -   , 16 ,
RY3, Norfolk Community Health and Care NHS Trust (RY3) , 103 , 519 , 33 , 71 , * , 105 , * , -   , 567 , 323 , 143 , 83 , 301 , 270 , -   , -   , -   , 87 , 779 , -   , 829 ,
RVJ-X, North Bristol NHS Trust (RVJ-X) ," 1,758 "," 14,319 "," 3,684 "," 1,793 "," 1,014 "," 3,770 ", 91 , 107 ," 6,427 "," 5,756 "," 13,003 "," 4,055 "," 11,047 "," 11,363 "," 14,677 "," 3,920 ", 392 ," 14,721 "," 10,861 ", -   ," 9,117 ",
RNL, North Cumbria University Hospitals NHS Trust (RNL) ," 2,622 "," 10,651 "," 1,014 ", 914 , 410 ," 1,536 "," 3,929 ", 427 ," 6,753 "," 6,348 "," 13,566 "," 1,331 "," 5,170 "," 5,009 "," 4,643 "," 1,018 ", 217 ," 4,361 "," 4,345 ", * ," 4,815 ",
ACG09, North Derbyshire Community Ophthalmology Service At Barlborough Treatment Centre (ACG09) , -   , -   , -   , -   , -   , -   , 224 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NVC11, North Downs Hospital (NVC11) , 10 , 70 , 16 , * , -   , 129 , 115 , -   , 31 , -   , 581 , 36 ," 1,086 ", 284 , -   , -   , * , 142 , 17 , -   , 72 ,
RAT, North East London NHS Foundation Trust (RAT) , 150 , 97 , 124 , 478 ," 1,548 ", 76 , 11 , 6 , 137 , 9 , * , * , 6 , * , -   , -   , -   , 122 , * , -   , 12 ,
NTP15, North East London Treatment Centre Care Uk (NTP15) , 72 , 383 , 43 , * , -   , 179 , 667 , -   , 133 , * ," 4,364 ", 372 ," 1,469 ", 6 , -   , -   , 11 , 341 , 151 , -   , 71 ,
RRD, North Essex Partnership University NHS Foundation Trust (RRD) , -   , -   , -   , -   , 859 , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 818 , -   , * , 16 ,
RAP, North Middlesex University Hospital NHS Trust (RAP) ," 3,139 "," 9,479 "," 2,519 "," 1,203 ", 552 , 852 ," 2,950 ", * ," 3,464 "," 5,349 "," 9,194 "," 1,449 "," 4,166 "," 5,327 "," 6,892 "," 2,806 ", 194 ," 7,790 "," 3,808 ", * ," 5,586 ",
RLY, North Staffordshire Combined Healthcare NHS Trust (RLY) , -   , -   , -   , -   ," 1,434 ", 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 439 ,
RVW, North Tees and Hartlepool NHS Foundation Trust (RVW) ," 3,235 "," 11,671 "," 2,867 "," 1,673 ", 655 ," 1,163 ", 78 , 215 ," 4,834 "," 7,496 "," 14,180 "," 1,651 "," 7,439 "," 6,048 "," 6,234 "," 1,095 ", 156 ," 11,494 "," 5,295 ", -   ," 5,663 ",
RGN, North West Anglia NHS Foundation Trust (RGN) ," 3,071 "," 11,126 "," 1,543 "," 1,091 ", 600 ," 1,529 "," 2,450 ", 615 ," 5,998 "," 6,267 "," 11,020 "," 2,501 "," 5,944 "," 5,343 "," 6,304 "," 1,913 ", 299 ," 9,303 "," 5,977 ", -   ," 5,417 ",
RTV, North West Boroughs Healthcare NHS Foundation Trust (RTV) , -   , -   , -   , -   ," 1,683 ", 127 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 663 , 8 , -   , 21 ,
RNS, Northampton General Hospital NHS Trust (RNS) ," 3,094 "," 14,304 "," 2,353 "," 2,747 "," 1,034 "," 2,708 "," 2,981 ", 564 ," 5,791 "," 7,640 "," 13,543 "," 1,965 "," 5,666 "," 5,362 "," 13,377 "," 2,475 ", 400 ," 11,817 "," 7,679 ", -   ," 7,282 ",
RP1, Northamptonshire Healthcare NHS Foundation Trust (RP1) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,033 ", -   , -   , -   ,
RBZ, Northern Devon Healthcare NHS Trust (RBZ) ," 1,024 "," 8,500 ", 978 , 935 , 359 , 915 ," 1,937 ", 103 ," 2,676 "," 2,519 "," 5,832 ", 919 ," 3,321 "," 3,082 "," 5,295 ", 817 , 92 ," 4,406 "," 3,051 ", -   ," 3,153 ",
RJL-X, Northern Lincolnshire and Goole NHS Foundation Trust (RJL-X) ," 2,431 "," 14,134 "," 2,783 "," 1,324 ", 470 ," 1,411 "," 7,157 ", 389 ," 5,626 "," 6,881 "," 17,387 "," 1,375 "," 8,011 "," 6,990 "," 8,232 "," 1,299 ", 163 ," 9,995 "," 4,434 ", -   ," 7,909 ",
RX4," Northumberland, Tyne and Wear NHS Foundation Trust (RX4) ", -   , * , -   , -   ," 1,811 ", 96 , -   , -   , 9 , -   , -   , -   , -   , * , * , -   , * , 533 , 10 , -   , 73 ,
RTF, Northumbria Healthcare NHS Foundation Trust (RTF) ," 3,825 "," 18,777 "," 1,523 "," 1,548 "," 1,166 "," 2,484 ", 114 , 204 ," 6,748 "," 8,138 "," 17,751 "," 2,232 "," 14,048 "," 5,015 "," 4,988 "," 1,295 ", 258 ," 11,657 "," 8,093 ", -   ," 6,550 ",
RX1, Nottingham University Hospitals NHS Trust (RX1) ," 6,956 "," 40,906 "," 5,511 "," 2,593 "," 1,269 "," 5,566 "," 8,616 "," 1,200 "," 11,476 "," 12,101 "," 16,746 "," 2,971 "," 13,965 "," 8,598 "," 21,619 "," 2,099 "," 1,977 "," 20,440 "," 14,935 ", -   ," 14,497 ",
RHA, Nottinghamshire Healthcare NHS Foundation Trust (RHA) , 27 , 310 , * , 11 ," 2,737 ", 161 , -   , * , 34 , 54 , 33 , 16 , 86 , 12 , 10 , -   , * , 198 , 355 , -   , 66 ,
NT202," Nuffield Health, Bournemouth Hospital (NT202) ", -   , 257 , -   , -   , -   , 13 , -   , * , * , -   , 141 , 39 , 185 , 110 , -   , -   , * , 8 , * , -   , * ,
NT204," Nuffield Health, Brentwood Hospital (NT204) ", * , 61 , -   , 7 , -   , * , 489 , 16 , -   , 122 , 113 , * , 412 , 524 , -   , -   , * , 22 , 16 , -   , 9 ,
NT205," Nuffield Health, Brighton Hospital (NT205) ", 13 , 30 , 10 , -   , 286 , -   , -   , * , * , -   , 352 , -   , 86 , * , -   , -   , -   , 96 , * , -   , 23 ,
NT206," Nuffield Health, Bristol Hospital (Chesterfield) (NT206) ", -   , * , 6 , -   , -   , 97 , 453 , -   , * , -   , 236 , -   , 614 , -   , -   , -   , * , 48 , * , -   , * ,
NT209," Nuffield Health, Cambridge Hospital (NT209) ", * , 10 , -   , -   , -   , 18 , -   , -   , -   , -   , 72 , -   , 345 , -   , -   , -   , * , 37 , * , -   , * ,
NT211," Nuffield Health, Cheltenham Hospital (NT211) ", -   , * , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 71 , 12 , -   , -   , -   , -   , -   , -   , * ,
NT212," Nuffield Health, Chichester Hospital (NT212) ", -   , 27 , * , -   , -   , 96 , 64 , -   , * , -   , 142 , 6 ," 1,248 ", 54 , -   , -   , * , 11 , 16 , -   , 17 ,
NT213," Nuffield Health, Derby Hospital (NT213) ", * , 15 , * , -   , * , * , * , 42 , * , 99 , 138 , * ," 1,085 ", -   , -   , -   , * , 19 , 21 , -   , * ,
NT215," Nuffield Health, Exeter Hospital (NT215) ", -   , * , -   , -   , -   , -   , -   , -   , 210 , * , 37 , * , 501 , -   , -   , -   , * , 47 , 16 , -   , * ,
NT218," Nuffield Health, Haywards Heath Hospital (NT218) ", -   , -   , -   , -   , -   , 56 , -   , -   , -   , * , 120 , * , 170 , -   , -   , -   , * , 53 , 8 , -   , * ,
NT219," Nuffield Health, Hereford Hospital (NT219) ", -   , 18 , -   , -   , * , * , -   , 6 , * , 35 , 142 , * , 428 , 72 , -   , -   , -   , 11 , 10 , -   , * ,
NT222," Nuffield Health, Ipswich Hospital (NT222) ", -   , -   , -   , -   , -   , 11 , * , -   , -   , -   , -   , -   , 9 , -   , -   , -   , -   , -   , -   , -   , * ,
NT225," Nuffield Health, Leeds Hospital (NT225) ", 90 , 61 , * , -   , 7 , 185 , * , -   , -   , 336 ," 1,122 ", 21 ," 1,767 ", 445 , -   , -   , 8 , 246 , 59 , -   , 44 ,
NT226," Nuffield Health, Leicester Hospital (NT226) ", -   , 36 , -   , -   , -   , 38 , 568 , 62 , * , 291 , 410 , 10 , 693 , 271 , -   , -   , * , 66 , 16 , -   , 49 ,
NT229," Nuffield Health, Newcastle Upon Tyne Hospital (NT229) ", -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 61 , -   , 288 , -   , -   , -   , * , 6 , * , -   , 134 ,
NT230," Nuffield Health, North Staffordshire Hospital (NT230) ", * , 12 , -   , -   , -   , 149 , -   , -   , -   , -   , 191 , 17 ," 2,298 ", * , -   , -   , 19 , 11 , 49 , -   , 12 ,
NT233," Nuffield Health, Plymouth Hospital (NT233) ", 19 , 56 , 13 , * , -   , 45 , -   , -   , 235 , -   ," 1,029 ", 67 , 911 , 83 , -   , -   , * , 113 , 24 , -   , 111 ,
NT235," Nuffield Health, Shrewsbury Hospital (NT235) ", -   , * , -   , -   , -   , 78 , 878 , -   , -   , -   , 37 , 7 , 244 , -   , -   , -   , -   , * , * , -   , * ,
NT238," Nuffield Health, Taunton Hospital (NT238) ", -   , 12 , -   , * , -   , 115 , 368 , 12 , -   , 90 , 95 , 7 , 797 , 39 , -   , -   , * , 9 , 13 , -   , 12 ,
NT237," Nuffield Health, Tees Hospital (NT237) ", 17 , 58 , 7 , 8 , * , 100 ," 1,843 ", -   , * , -   , 656 , * ," 1,395 ", -   , -   , -   , * , 65 , 53 , -   , 17 ,
NT210," Nuffield Health, The Grosvenor Hospital, Chester (NT210) ", -   , * , -   , -   , -   , * , -   , -   , * , -   , -   , * , 699 , * , -   , -   , -   , -   , 12 , -   , -   ,
NT239," Nuffield Health, Tunbridge Wells Hospital (NT239) ", * , 14 , * , -   , -   , 12 , 36 , -   , -   , 29 , 232 , 8 , 358 , * , -   , -   , -   , 25 , * , -   , 15 ,
NT224," Nuffield Health, Warwickshire Hospital (NT224) ", -   , * , -   , -   , -   , 58 , * , -   , -   , -   , -   , * , 647 , 32 , -   , -   , * , * , 15 , -   , * ,
NT214," Nuffield Health, Wessex Hospital (NT214) ", * , 30 , * , -   , -   , 72 , 126 , -   , -   , -   , 238 , 12 , 865 , 284 , -   , -   , -   , 71 , 16 , -   , 123 ,
NT241," Nuffield Health, Woking Hospital (NT241) ", * , * , -   , -   , -   , 31 , 579 , -   , * , -   , 40 , * , 519 , 29 , -   , -   , -   , * , 10 , -   , * ,
NT242," Nuffield Health, Wolverhampton Hospital (NT242) ", -   , * , -   , -   , -   , 73 ," 1,079 ", -   , * , -   , 103 , * , * , * , -   , -   , * , * , * , -   , -   ,
NT245," Nuffield Health, York Hospital (NT245) ", -   , * , -   , -   , -   , 15 , -   , -   , -   , -   , -   , * , 704 , -   , -   , -   , -   , -   , 52 , -   , * ,
NT244, Nuffield Hospital Oxford (The Manor) (NT244) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , * , -   , -   ,
NAM07, Oak Tree Surgery (NAM07) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * ,
NVC12, Oaklands Hospital (NVC12) , 21 , 49 , 9 , * , -   , 396 , 201 , 8 , * , 33 , 726 , 62 ," 2,776 ", 234 , * , -   , 10 , 94 , 66 , -   , 194 ,
NVC13, Oaks Hospital (NVC13) , 32 , 92 , 34 , 7 , * , 35 , 937 , * , 118 , 81 ," 1,649 ", 99 ," 1,426 ", 671 , -   , -   , 6 , 425 , 13 , -   , 179 ,
NXP02, Old Town Surgery (NXP02) , -   , -   , -   , -   , -   , 13 , -   , -   , -   , -   , 6 , -   , 38 , -   , -   , -   , -   , 15 , -   , -   , -   ,
NTX12, One Health Group Clinic - Claremont (NTX12) , 9 , 34 , 11 , * , * , 33 , * , -   , * , * , 753 , 63 , 268 , 90 , -   , -   , * , 141 , * , -   , 7 ,
NTX09, One Health Group Clinic - Gainsborough (NTX09) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 206 , -   , -   , -   , -   , * , -   , -   , -   ,
NTX06, One Health Group Clinic - Osset (NTX06) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 189 , -   , -   , -   , -   , * , -   , -   , -   ,
NTX11, One Health Group Clinic - Thornbury (NTX11) , 10 , 49 , 13 , -   , * , 136 , -   , -   , * , -   , 632 , 74 ," 1,496 ", 176 , -   , -   , 9 , 184 , 16 , -   , 16 ,
NTX01, One Health Group Ltd (NTX01) , * , 15 , * , * , -   , 20 , -   , -   , * , -   , 169 , 26 , 319 , 17 , -   , -   , * , 64 , * , -   , * ,
NNH04, Optegra (Manchester Eye Hospital) (NNH04) , -   , * , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RNU, Oxford Health NHS Foundation Trust (RNU) , 30 , 23 , 10 , 28 ," 1,345 ", 48 , * , * , 175 , 126 , 42 , 51 , 62 , 81 , -   , -   , -   , 595 , 219 , -   , 212 ,
RTH, Oxford University Hospitals NHS Foundation Trust (RTH) ," 4,852 "," 22,391 "," 5,393 "," 4,294 "," 1,163 "," 6,776 "," 7,158 "," 1,110 "," 13,487 "," 11,927 "," 27,756 "," 4,381 "," 11,470 "," 11,988 "," 12,746 "," 2,915 "," 2,482 "," 21,109 "," 15,700 ", -   ," 15,206 ",
RPG, Oxleas NHS Foundation Trust (RPG) , * , -   , -   , -   ," 2,103 ", 25 , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 512 , -   , -   , 32 ,
NY601, Pain Management Solutions - Oaks Park PCC (NY601) , -   , -   , -   , -   , -   , 7 , -   , -   , -   , -   , -   , -   ," 1,064 ", -   , -   , -   , -   , 74 , -   , -   , -   ,
RGM, Papworth Hospital NHS Foundation Trust (RGM) , 52 , 927 , 216 , 800 , 22 ," 4,190 ", * , * ," 11,155 "," 4,787 ", 25 , * , 75 , 8 , * , -   , 320 ," 1,203 ", 428 , -   , 875 ,
NVC14, Park Hill Hospital (NVC14) , -   , 11 , -   , -   , -   , 34 , -   , -   , * , -   , 84 , * , 620 , -   , -   , -   , -   , * , 14 , -   , -   ,
NLX02, Paulton Memorial Hospital (NLX02) , * , * , * , 9 , 8 , * , * , * , 17 , 22 , 11 , 10 , 16 , 18 , -   , -   , -   , 90 , 75 , -   , 7 ,
NTPH5, Peninsula NHS Treatment Centre (NTPH5) , 33 , 10 , 6 , -   , -   , 283 ," 1,240 ", -   , -   , * , 743 , 21 ," 2,043 ", 10 , -   , -   , * , 258 , 84 , -   , 37 ,
RW6, Pennine Acute Hospitals NHS Trust (RW6) ," 6,623 "," 16,677 "," 5,051 "," 3,888 "," 1,025 "," 2,850 "," 4,767 "," 1,000 "," 11,503 "," 16,213 "," 27,038 "," 3,963 "," 16,605 "," 11,201 "," 13,387 "," 5,163 ", 456 ," 17,815 "," 11,225 ", -   ," 10,530 ",
NVC15, Pinehill Hospital (NVC15) , 42 , 61 , 9 , * , * , 112 , 678 , 9 , * , 105 , 949 , 30 ," 1,288 ", 352 , -   , -   , * , 151 , 32 , -   , 103 ,
NEY01, Pioneer Healthcare Ltd - Claremont Hospital (NEY01) , -   , * , -   , -   , * , 14 , -   , -   , -   , -   , -   , -   , 128 , -   , -   , -   , -   , -   , -   , -   , -   ,
RK9, Plymouth Hospitals NHS Trust (RK9) ," 3,501 "," 21,071 "," 2,924 "," 1,962 ", 565 ," 3,280 "," 4,388 ", 857 ," 8,466 "," 8,438 "," 12,669 "," 2,584 "," 6,558 "," 6,081 "," 5,980 "," 1,609 ", 602 ," 15,576 "," 10,336 ", -   ," 5,718 ",
RD3, Poole Hospital NHS Foundation Trust (RD3) ," 2,813 "," 9,021 "," 1,839 "," 1,311 ", 490 ," 1,655 ", 154 ," 1,130 "," 3,039 "," 6,668 "," 10,571 "," 2,898 "," 3,619 "," 2,999 "," 6,114 "," 2,165 ", 261 ," 8,311 "," 7,863 ", -   ," 6,185 ",
RHU, Portsmouth Hospitals NHS Trust (RHU) ," 3,135 "," 12,098 "," 3,094 "," 2,601 "," 1,054 "," 2,367 "," 9,646 "," 1,130 "," 8,151 "," 9,470 "," 20,318 "," 2,683 "," 11,218 "," 8,074 "," 8,972 "," 1,728 ", 500 ," 15,302 "," 10,319 ", -   ," 9,703 ",
NAM01, Probus Surgical Centre (NAM01) , -   , -   , -   , -   , -   , 72 , 306 , * , -   , -   , 84 , * , 19 , -   , -   , -   , -   , 250 , -   , -   , 73 ,
RPC, Queen Victoria Hospital NHS Foundation Trust (RPC) , 24 ," 4,193 ", 8 , 19 , 47 ," 1,779 "," 2,864 ", 21 , 14 , 96 ," 2,850 "," 1,633 ", 992 , 64 , -   , -   , 263 , 840 ," 5,085 ", -   , 892 ,
NVC16, Renacres Hospital (NVC16) , 36 , 92 , 37 , 6 , -   , 119 , 431 , 29 , * , 84 ," 1,612 ", 131 ," 2,322 ", 493 , -   , -   , * , 232 , 39 , -   , 75 ,
NVC19, Rivers Hospital (NVC19) , 62 , 229 , 25 , * , * , 128 ," 1,209 ", * , 13 , 112 ," 3,661 ", 34 ," 2,008 "," 1,380 ", * , -   , * , 693 , 112 , -   , 251 ,
RXE, Rotherham Doncaster and South Humber NHS Foundation Trust (RXE) , -   , -   , -   , -   ," 2,109 ", 7 , -   , -   , * , * , -   , -   , -   , * , -   , -   , -   , 29 , * , -   , 10 ,
NVC17, Rowley Hall Hospital (NVC17) , 15 , 43 , 17 , * , * , 129 ," 1,070 ", -   , -   , * , 764 , 27 ," 2,692 ", 423 , -   , -   , * , 275 , 46 , -   , 71 ,
RHW, Royal Berkshire NHS Foundation Trust (RHW) ," 3,028 "," 8,768 "," 2,346 "," 1,352 ", 864 ," 1,708 "," 7,230 ", 594 ," 5,594 "," 6,509 "," 10,809 "," 1,708 "," 10,168 "," 5,475 "," 11,188 "," 1,691 ", 436 ," 11,283 "," 7,219 ", -   ," 9,596 ",
RT3, Royal Brompton & Harefield NHS Foundation Trust (RT3) , 369 ," 1,690 "," 1,791 "," 2,652 ", 6 ," 2,219 ", * , * ," 12,442 "," 8,258 ", 97 , 41 , 324 , 31 , 9 , 22 ," 2,068 "," 4,773 ", 682 , -   ," 1,439 ",
REF-X, Royal Cornwall Hospitals NHS Trust (REF-X) ," 2,677 "," 21,649 "," 3,137 "," 2,422 ", 723 ," 2,548 "," 4,937 ", 614 ," 7,879 "," 7,035 "," 17,010 "," 2,059 "," 7,645 "," 6,573 "," 11,513 "," 1,893 ", 478 ," 11,545 "," 8,860 ", -   ," 8,039 ",
RH8, Royal Devon and Exeter NHS Foundation Trust (RH8) ," 2,448 "," 25,527 "," 3,577 "," 1,845 ", 556 ," 2,581 "," 5,445 ", 773 ," 5,939 "," 6,178 "," 14,769 "," 2,820 "," 8,094 "," 6,686 "," 7,230 "," 1,498 ", 428 ," 14,409 "," 8,267 ", -   ," 6,019 ",
RAL, Royal Free London NHS Foundation Trust (RAL) ," 4,193 "," 19,072 "," 4,148 "," 3,483 ", 954 ," 2,272 "," 7,478 ", 606 ," 8,505 "," 9,717 "," 27,237 "," 5,404 "," 10,238 "," 10,096 "," 12,378 "," 3,026 ", 839 ," 16,892 "," 11,352 ", -   ," 21,149 ",
RQ6, Royal Liverpool and Broadgreen University Hospitals NHS Trust (RQ6) ," 2,697 "," 11,312 "," 2,693 "," 1,859 "," 1,068 "," 1,334 "," 8,189 ", 330 ," 5,435 "," 5,790 "," 17,731 "," 2,327 "," 8,998 "," 4,471 ", 63 , -   , 318 ," 7,813 "," 7,627 ", -   ," 3,756 ",
RAN, Royal National Orthopaedic Hospital NHS Trust (RAN) , 10 ," 2,204 ", 29 , 18 , * ," 1,889 ", -   , -   , 9 , * , 12 , 101 ," 11,083 ", 360 , -   , 68 , 759 , 267 ," 1,490 ", -   , 90 ,
RA2, Royal Surrey County Hospital NHS Foundation Trust (RA2) ," 1,726 "," 10,329 "," 2,165 ", 675 , 418 ," 1,251 "," 2,594 ", 545 ," 2,966 "," 4,533 "," 14,173 "," 1,714 "," 5,558 "," 4,612 "," 4,737 "," 1,236 ", 212 ," 7,828 "," 5,479 ", -   ," 5,778 ",
RD1, Royal United Hospitals Bath NHS Foundation Trust (RD1) ," 2,848 "," 9,536 "," 2,186 "," 1,288 ", 588 ," 2,085 "," 2,260 ", 532 ," 5,332 "," 6,708 "," 10,523 "," 1,410 "," 6,123 "," 4,137 "," 6,230 "," 1,624 ", 290 ," 10,261 "," 6,607 ", -   ," 5,629 ",
RM3, Salford Royal NHS Foundation Trust (RM3) ," 1,870 "," 8,249 "," 2,759 "," 3,197 "," 1,028 "," 9,649 ", 138 , 385 ," 5,216 "," 5,434 "," 12,437 "," 2,398 "," 10,507 "," 5,128 "," 2,954 ", 84 , 247 ," 11,563 "," 7,224 ", -   ," 2,727 ",
RNZ, Salisbury NHS Foundation Trust (RNZ) ," 1,165 "," 4,400 ", 726 , 729 , 207 ," 1,206 "," 1,716 ", 335 ," 3,223 "," 3,016 "," 7,637 "," 1,544 "," 4,702 "," 3,358 "," 5,672 ", 985 , 424 ," 6,930 "," 5,107 ", -   ," 3,578 ",
RXK-X, Sandwell and West Birmingham Hospitals NHS Trust (RXK-X) ," 3,142 "," 9,204 "," 3,444 "," 1,663 ", 869 ," 1,323 "," 8,471 ", 185 ," 5,882 "," 8,217 "," 8,827 "," 3,478 "," 4,337 "," 5,274 "," 8,874 "," 3,405 ", 245 ," 11,425 "," 6,341 ", -   ," 4,959 ",
8J285, Shaw Healthcare (Ledbury) Limited (8J285) , * , 6 , * , * , * , -   , -   , -   , 8 , 9 , 7 , * , 7 , 9 , -   , -   , -   , 85 , 24 , -   , -   ,
RCU, Sheffield Children's NHS Foundation Trust (RCU) , 931 ," 2,459 ", 524 , 560 , 76 ," 1,080 ", 494 , 592 , 65 ," 2,076 "," 4,178 ", 618 ," 1,830 "," 1,301 ", -   , 274 ," 2,086 "," 1,891 "," 2,140 ", -   ," 2,291 ",
RHQ, Sheffield Teaching Hospitals NHS Foundation Trust (RHQ) ," 3,987 "," 48,030 "," 6,618 "," 3,559 "," 1,167 "," 8,390 "," 9,226 ", * ," 18,233 "," 10,645 "," 28,658 "," 4,897 "," 15,604 "," 8,790 "," 20,939 "," 2,941 "," 1,018 "," 18,983 "," 11,885 ", * ," 12,669 ",
NTPH1, Shepton Mallet NHS Treatment Centre (NTPH1) , 7 , 68 , 55 , -   , -   , 368 ," 2,127 ", 20 , * , 148 ," 1,710 ", 51 ," 2,652 ", 112 , -   , -   , 6 , 260 , 70 , * , 78 ,
