"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2011-12)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Health and Social Care Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2011-12. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QC, Hampshire PCT , * , 36 , 15 , 8 , 7 , 12 , * , -   , 40 , 44 , 211 , 23 , 30 , 36 , -   , -   , -   , 367 , 49 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD7, Heatherwood and Wexham Park Hospitals NHS Foundation Trust ," 1,290 "," 4,992 ", 814 , 831 , 286 ," 1,008 ", 123 , 483 ," 4,295 "," 4,441 "," 11,462 "," 2,008 "," 5,373 "," 6,282 "," 7,675 "," 1,171 ", 454 ," 10,029 "," 6,773 "," 6,804 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC25, Horton NHS Treatment Centre , -   , * , -   , -   , -   , 195 , -   , -   , -   , -   , -   , 23 ," 1,943 ", -   , -   , -   , -   , * , 125 , 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5QT, Isle of Wight NHS PCT , 392 ," 1,879 ", 207 , 299 , 600 , 573 ," 1,393 ", 273 ," 1,603 "," 1,889 "," 3,067 ", 602 ," 2,280 "," 1,674 "," 1,796 ", 719 , 82 ," 2,868 "," 2,191 "," 1,164 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD8, Milton Keynes Hospital NHS Foundation Trust ," 1,247 "," 5,533 "," 1,133 ", 942 , 324 , 840 ," 1,345 ", 429 ," 3,354 "," 4,057 "," 7,453 "," 1,011 "," 3,707 "," 3,873 "," 6,743 "," 1,148 ", 196 ," 8,407 "," 4,328 "," 5,556 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CQ, Milton Keynes PCT , -   , * , -   , * , 252 , 12 , * , -   , 9 , 16 , * , * , 14 , 12 , -   , -   , -   , 386 , 51 , 43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN5T1, North Hampshire Hospitals NHS Trust Treatment Centre , 15 ," 1,147 ", 162 , 19 , 25 , 241 , * , 211 , 408 , 272 ," 3,905 ", 310 ," 1,414 "," 1,668 ", * , -   , 37 ," 1,388 ", 49 ," 1,084 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT214," Nuffield Health, Wessex Hospital ", -   , 6 , -   , -   , -   , -   , -   , -   , * , -   , 9 , -   , 15 , 58 , -   , -   , -   , * , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT244, Nuffield Hospital Oxford (The Manor) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 146 , * , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNU, Oxford Health NHS Foundation Trust , 20 , 18 , -   , 7 , 16 , 9 , * , -   , 87 , 32 , 10 , * , 11 , 25 , -   , -   , -   ," 3,249 ", 97 , 40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHX, Oxfordshire Learning Disability NHS Trust , -   , -   , -   , -   , 12 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 50 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH, Oxford University Hospitals NHS Trust ," 2,136 "," 29,680 "," 2,760 "," 2,973 ", 621 ," 5,389 "," 5,406 ", 916 ," 13,235 "," 7,931 "," 20,032 "," 2,710 "," 10,639 "," 9,847 "," 12,383 "," 1,984 "," 2,418 "," 17,114 "," 13,298 "," 13,803 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5FE, Portsmouth City Teaching PCT , -   , -   , -   , -   , 594 , 7 , -   , -   , -   , * , * , -   , * , -   , 717 , -   , * , 59 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHU, Portsmouth Hospitals NHS Trust ," 2,197 "," 9,707 "," 1,976 "," 1,995 ", 655 ," 2,226 "," 6,695 "," 1,204 "," 8,209 "," 8,903 "," 16,407 "," 2,470 "," 10,603 "," 8,324 "," 11,379 "," 1,641 ", 575 ," 14,176 "," 11,165 "," 10,127 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHW, Royal Berkshire NHS Foundation Trust ," 1,730 "," 7,533 "," 1,566 "," 1,001 ", 330 ," 1,582 "," 6,230 ", 568 ," 5,782 "," 4,773 "," 9,653 "," 1,201 "," 8,461 "," 5,729 "," 10,719 "," 2,126 ", 481 ," 7,773 "," 5,699 "," 8,708 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRF04, SOECIC (Southwick Hill Road) , -   , -   , -   , * , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1C, Solent NHS Trust , 14 , 26 , * , 10 , 569 , 137 , * , * , 131 , 74 , 210 , 15 , 65 , 52 , 329 , -   , -   , 180 , 199 , 401 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP11, Southampton NHS Treatment Centre , 37 , 498 , 57 , 19 , * , 487 , 902 , 92 , 433 , 414 ," 6,331 ", 289 ," 2,466 "," 1,505 ", * , -   , 16 , 316 , 89 , 639 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW1, Southern Health NHS Foundation Trust , 93 ," 1,345 ", 350 , 107 ," 2,211 ", 576 , 701 , 65 ," 1,018 ", 958 ," 2,369 ", 482 , 848 , 816 , * , -   , * ," 1,541 ", 444 , 623 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT345, Spire Clare Park Hospital , -   , * , -   , -   , -   , * , -   , * , 9 , 12 , 102 , * , 178 , 17 , -   , -   , -   , 17 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT344, Spire Dunedin Hospital , * , 15 , -   , * , -   , 32 , 81 , -   , 33 , * , 278 , 8 , 351 , 30 , -   , -   , -   , 19 , * , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT305, Spire Portsmouth Hospital , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , 81 , -   , 303 , -   , -   , -   , -   , -   , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT304, Spire Southampton Hospital , -   , 8 , * , 180 , -   , * , -   , -   , * , -   , 142 , * , 290 , 25 , -   , -   , -   , * , 17 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT343, Spire Thames Valley Hospital , -   , * , * , -   , * , * , -   , 7 , -   , 21 , 17 , 7 , 148 , 43 , -   , -   , -   , * , 7 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTPAD, St Mary's NHS Treatment Centre , 44 , 714 , 46 , -   , * , 492 , 760 , -   , 259 , * ," 2,014 ", 846 , 614 , * , -   , -   , 6 , 317 , * , 31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC02, The Berkshire Independent Hospital , -   , 10 , 14 , -   , 9 , 43 , -   , -   , 18 , -   , 257 , 15 , 806 , 177 , -   , -   , * , 109 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHM, University Hospital Southampton NHS Foundation Trust ," 2,037 "," 17,860 "," 2,742 "," 1,664 ", 954 ," 3,799 "," 4,007 ", 759 ," 9,424 "," 7,365 "," 11,827 "," 1,963 "," 7,818 "," 6,909 "," 9,258 ", 903 ," 2,586 "," 13,697 "," 10,958 "," 12,330 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN1, Winchester and Eastleigh Healthcare NHS Trust , 412 ," 2,722 ", 649 , 384 , 67 , 518 ," 1,000 ", 208 ," 1,358 "," 1,435 "," 4,694 ", 537 ," 2,297 "," 2,349 "," 3,307 "," 1,117 ", 90 ," 4,405 "," 2,173 "," 3,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q37, SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY ," 13,746 "," 104,680 "," 17,507 "," 12,935 "," 13,608 "," 21,698 "," 42,920 "," 6,431 "," 71,381 "," 58,246 "," 145,617 "," 21,038 "," 102,848 "," 73,523 "," 82,178 "," 15,914 "," 4,995 "," 129,359 "," 80,924 "," 83,970 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTK, Ashford and St Peter's Hospitals NHS Foundation Trust , 889 ," 5,659 "," 1,203 "," 1,085 ", 289 , 982 ," 3,276 ", 279 ," 5,007 "," 3,654 "," 9,478 "," 1,132 "," 6,179 "," 5,443 "," 8,742 "," 1,124 ", 168 ," 5,931 "," 4,170 "," 8,306 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC01, Ashtead Hospital , 6 , 54 , 33 , * , -   , 51 , 35 , * , 90 , * , 745 , 20 ," 1,082 ", 103 , -   , -   , * , 100 , 18 , 79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWF01, Benenden Hospital , -   , 20 , -   , -   , -   , 21 , 331 , * , 10 , 8 , 98 , 7 , 284 , 95 , -   , * , 24 , 14 , 6 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT414, BMI - Fawkham Manor Hospital , * , 17 , -   , -   , -   , 37 , 40 , * , 44 , 27 , 138 , 10 , 217 , 72 , -   , -   , * , 36 , * , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT417, BMI - Goring Hall Hospital , -   , 20 , 11 , -   , * , 58 , -   , -   , * , -   , 142 , 16 , 685 , 124 , -   , -   , -   , 95 , 14 , 22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT455, BMI Mount Alvernia Hospital , -   , 8 , -   , -   , -   , 19 , -   , * , -   , 16 , 38 , 8 , 164 , 25 , -   , -   , -   , * , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT408, BMI - The Chaucer Hospital , -   , 35 , 8 , 6 , * , 14 , 11 , * , 55 , 13 , 236 , 28 , 191 , 231 , * , -   , * , 122 , * , 20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT413, BMI - The Esperance Hospital , -   , 9 , * , -   , -   , 25 , -   , -   , 29 , * , 84 , * , 139 , 32 , -   , -   , -   , 30 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT431, BMI - The Runnymede Hospital , * , 10 , * , -   , -   , -   , -   , -   , 30 , -   , 71 , 20 , 287 , 27 , -   , -   , -   , 30 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT438, BMI - The Somerfield Hospital , -   , 14 , * , * , -   , 17 , 47 , * , 11 , 27 , 110 , 12 , 319 , 73 , -   , -   , * , 39 , * , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXH, Brighton and Sussex University Hospitals NHS Trust ," 1,177 "," 9,352 "," 1,999 "," 1,874 "," 1,284 "," 2,523 "," 3,898 ", 725 ," 9,178 "," 5,874 "," 13,881 "," 1,676 "," 6,557 "," 7,460 "," 7,815 "," 1,124 ", 841 ," 14,761 "," 9,989 "," 9,284 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN7-X, Dartford and Gravesham NHS Trust ," 1,096 "," 6,594 ", 908 , 938 , 314 ," 1,082 ", 80 , 71 ," 3,495 "," 3,121 "," 7,480 ", 963 ," 3,959 "," 5,526 "," 7,271 "," 1,360 ", 207 ," 6,688 "," 4,050 "," 6,168 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVV, East Kent Hospitals University NHS Foundation Trust ," 1,984 "," 17,551 "," 2,287 "," 2,133 "," 1,143 "," 3,415 "," 6,751 "," 1,183 "," 12,490 "," 9,661 "," 19,758 "," 3,658 "," 16,180 "," 11,605 "," 10,368 "," 1,251 ", 701 ," 20,493 "," 11,056 "," 12,429 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
