"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2019-20)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2019-20.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
RP6, Moorfields Eye Hospital NHS Foundation Trust - (RP6) , * ," 1,085 ", * , 40 , * , 15 ," 35,670 ", * , * , -   , * , 110 , 10 , * , -   , -   , 420 , 15 , 625 , -   , 170 ,
NR527, Mount Gould Hospital - (NR527) , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 80 , * , -   , -   ,
NVC08, Mount Stuart Hospital - (NVC08) , * , 105 , * , -   , -   , 75 , 860 , -   , -   , 80 , 915 , 30 , 965 , 915 , -   , -   , 15 , 155 , 55 , -   , 130 ,
NVC09, New Hall Hospital - (NVC09) , 15 , 25 , 15 , * , -   , 275 , 415 , 10 , * , 55 , 475 , 20 ," 3,810 ", 575 , -   , -   , * , 90 , 80 , -   , 95 ,
ACG20, Newmedica - Bristol - Litfield House - (ACG20) , -   , -   , -   , -   , -   , -   ," 2,715 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,
ACG24, Newmedica - Teesside - North Ormesby - (ACG24) , -   , -   , -   , -   , -   , -   ," 1,365 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
ACG13, Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) - (ACG13) , -   , -   , -   , -   , -   , -   ," 4,320 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG19, Newmedica Community Ophthalmology - Leeds - (ACG19) , -   , -   , -   , -   , -   , -   ," 1,940 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG07, Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital) - (ACG07) , -   , -   , -   , -   , -   , -   ," 2,655 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG09, Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre - (ACG09) , -   , -   , -   , -   , -   , -   ," 2,790 ", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG12, Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby - (ACG12) , -   , -   , -   , -   , -   , -   ," 1,965 ", -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , * , -   , -   ,
ACG08, Newmedica Ophthalmology - Nuneaton - Camp Hill - GP Led Health Centre - (ACG08) , -   , -   , -   , -   , -   , -   ," 3,755 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RM1, Norfolk And Norwich University Hospitals NHS Foundation Trust - (RM1) ," 3,745 "," 42,015 "," 4,295 "," 3,070 ", 950 ," 2,645 "," 6,230 ", 825 ," 12,330 "," 10,725 "," 23,510 "," 3,370 "," 10,285 "," 8,930 "," 12,570 "," 1,830 "," 1,005 "," 14,445 "," 10,760 ", 70 ," 10,110 ",
RMY-X, Norfolk And Suffolk NHS Foundation Trust - (RMY-X) , -   , -   , -   , * ," 1,525 ", 10 , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ," 1,235 ", -   , -   , 190 ,
RY3, Norfolk Community Health And Care NHS Trust - (RY3) , 70 , 320 , 10 , 90 , 10 , 60 , -   , * , 445 , 270 , 65 , 90 , 225 , 170 , -   , -   , * , 205 , 875 , -   , 535 ,
RVJ-X, North Bristol NHS Trust - (RVJ-X) ," 2,500 "," 16,175 "," 4,505 "," 2,065 "," 1,535 "," 4,065 ", 100 , 120 ," 6,765 "," 7,045 "," 16,080 "," 4,360 "," 9,755 "," 11,030 "," 15,265 "," 3,310 ", 390 ," 19,210 "," 12,780 ", 85 ," 9,705 ",
RNN, North Cumbria Integrated Care NHS Foundation Trust - (RNN) ," 3,020 "," 14,575 "," 1,690 "," 2,470 ", 720 ," 1,455 "," 3,295 ", 420 ," 6,410 "," 7,355 "," 13,135 "," 1,150 "," 4,025 "," 4,180 "," 4,230 "," 1,370 ", 160 ," 4,950 "," 4,395 ", 75 ," 4,185 ",
NVC11, North Downs Hospital - (NVC11) , * , 65 , * , -   , -   , 55 , 125 , -   , 10 , -   , 305 , 25 , 935 , 235 , -   , -   , * , 95 , 30 , -   , 55 ,
RAT, North East London NHS Foundation Trust - (RAT) , 25 , 15 , 25 , 130 ," 2,005 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 695 , * , -   , 80 ,
NTP15, North East London Treatment Centre Care Uk - (NTP15) , 180 , 310 , 80 , * , -   , 165 , 820 , -   , * , 15 ," 3,380 ", 335 ," 1,515 ", 255 , * , -   , * ," 1,150 ", * , -   , 230 ,
NMG77, North Kirklees Msk Service - (NMG77) , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ,
RAP, North Middlesex University Hospital NHS Trust - (RAP) ," 3,510 "," 10,400 "," 2,465 "," 1,225 ", 435 , 825 ," 4,750 ", 100 ," 3,405 "," 5,035 "," 8,860 "," 2,000 "," 3,270 "," 5,040 "," 6,505 "," 2,570 ", 210 ," 7,940 "," 3,580 ", 185 ," 5,205 ",
RLY, North Staffordshire Combined Healthcare NHS Trust - (RLY) , -   , -   , -   , -   ," 1,290 ", 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 175 , -   , -   , 620 ,
RVW, North Tees And Hartlepool NHS Foundation Trust - (RVW) ," 4,215 "," 11,220 "," 3,075 "," 2,350 ", 670 ," 1,235 ", 90 , 220 ," 5,375 "," 9,415 "," 14,735 "," 1,715 "," 6,955 "," 5,460 "," 5,440 "," 1,115 ", 160 ," 10,330 "," 4,840 ", 50 ," 4,740 ",
RGN, North West Anglia NHS Foundation Trust - (RGN) ," 4,800 "," 17,715 "," 2,585 "," 1,810 ", 835 ," 1,975 "," 4,280 ", 780 ," 6,505 "," 10,820 "," 17,685 "," 2,710 "," 7,690 "," 7,785 "," 8,625 "," 1,670 ", 370 ," 21,740 "," 8,525 ", 70 ," 8,845 ",
RTV, North West Boroughs Healthcare NHS Foundation Trust - (RTV) , -   , -   , -   , -   ," 1,735 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 630 , -   , -   , 105 ,
RNS, Northampton General Hospital NHS Trust - (RNS) ," 3,540 "," 15,500 "," 3,005 "," 3,560 "," 1,495 "," 2,315 "," 3,170 ", 515 ," 6,210 "," 8,185 "," 13,855 "," 2,190 "," 5,205 "," 4,825 "," 11,425 "," 1,585 ", 420 ," 13,480 "," 7,870 ", 65 ," 6,235 ",
RP1, Northamptonshire Healthcare NHS Foundation Trust - (RP1) , -   , -   , -   , -   , 795 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,790 ", -   , -   , * ,
RBZ, Northern Devon Healthcare NHS Trust - (RBZ) ," 1,200 "," 8,660 "," 1,200 "," 1,170 ", 355 ," 1,205 "," 1,980 ", 50 ," 3,055 "," 3,080 "," 7,045 "," 1,095 "," 3,780 "," 2,915 "," 3,635 ", 615 , 85 ," 5,225 "," 3,000 ", * ," 2,810 ",
RJL-X, Northern Lincolnshire And Goole NHS Foundation Trust - (RJL-X) ," 2,820 "," 10,880 "," 1,930 "," 1,350 ", 470 ," 1,355 "," 8,240 ", 340 ," 6,500 "," 8,120 "," 23,795 "," 1,390 "," 5,785 "," 6,790 "," 7,685 "," 1,295 ", 165 ," 12,135 "," 4,865 ", 20 ," 5,670 ",
RTF, Northumbria Healthcare NHS Foundation Trust - (RTF) ," 4,410 "," 22,955 "," 2,110 "," 2,110 "," 1,540 "," 3,205 ", 215 , 350 ," 8,605 "," 10,175 "," 19,220 "," 4,180 "," 14,310 "," 6,230 "," 7,760 "," 1,130 ", 330 ," 18,140 "," 11,600 ", 65 ," 6,120 ",
RX1, Nottingham University Hospitals NHS Trust - (RX1) ," 7,270 "," 48,605 "," 6,705 "," 3,650 "," 1,870 "," 6,455 "," 8,535 "," 1,155 "," 11,945 "," 12,950 "," 22,890 "," 3,750 "," 14,150 "," 9,285 "," 19,300 "," 2,935 "," 1,850 "," 26,970 "," 16,655 ", 190 ," 18,175 ",
RHA, Nottinghamshire Healthcare NHS Foundation Trust - (RHA) , 55 , 235 , 10 , 15 ," 1,395 ", 145 , -   , -   , 50 , 90 , 35 , 10 , 50 , 20 , 20 , -   , * , 475 , 200 , -   , 25 ,
NQH25, Novus Health (Sandal Castle Medical Centre) - (NQH25) , -   , 140 , -   , -   , -   , 290 , 15 , -   , * , -   , -   , * , * , -   , -   , -   , -   , -   , -   , -   , -   ,
NT202," Nuffield Health, Bournemouth Hospital - (NT202) ", * , 325 , -   , -   , -   , 15 , * , * , -   , * , 120 , 60 , 200 , 80 , -   , -   , * , 10 , * , -   , 10 ,
NT204," Nuffield Health, Brentwood Hospital - (NT204) ", -   , 75 , -   , * , -   , * , -   , * , -   , * , 140 , * , 445 , 545 , -   , -   , * , 20 , 25 , -   , 20 ,
NT205," Nuffield Health, Brighton Hospital - (NT205) ", -   , * , -   , -   , 250 , -   , -   , -   , -   , -   , 75 , -   , 250 , * , -   , -   , -   , -   , * , -   , 10 ,
NT206," Nuffield Health, Bristol Hospital (Chesterfield) - (NT206) ", * , * , 25 , * , -   , 175 , 115 , * , -   , -   , 290 , * ," 1,125 ", * , -   , -   , * , 175 , 10 , -   , * ,
NT209," Nuffield Health, Cambridge Hospital - (NT209) ", * , * , * , -   , -   , 25 , -   , -   , -   , -   , 75 , * , 320 , -   , -   , -   , -   , 30 , * , -   , * ,
NT211," Nuffield Health, Cheltenham Hospital - (NT211) ", -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 55 , -   , 90 , -   , -   , -   , -   , -   , * , -   , -   ,
NT212," Nuffield Health, Chichester Hospital - (NT212) ", -   , 20 , -   , -   , -   , 15 , -   , -   , -   , -   , 35 , * ," 1,145 ", 105 , -   , -   , -   , 15 , 15 , -   , * ,
NT213," Nuffield Health, Derby Hospital - (NT213) ", * , 10 , -   , * , * , 10 , -   , 30 , * , 95 , 205 , * ," 1,495 ", * , -   , -   , * , 20 , 30 , -   , 15 ,
NT215," Nuffield Health, Exeter Hospital - (NT215) ", -   , * , -   , -   , -   , -   , -   , -   , 30 , -   , 35 , * , 95 , * , -   , -   , -   , * , * , -   , * ,
NT218," Nuffield Health, Haywards Heath Hospital - (NT218) ", -   , * , -   , -   , -   , 45 , * , -   , -   , -   , 110 , * , 290 , -   , -   , -   , * , 30 , * , -   , * ,
NT219," Nuffield Health, Hereford Hospital - (NT219) ", -   , * , -   , -   , * , 10 , -   , -   , -   , * , 245 , * , 305 , -   , -   , -   , -   , -   , * , -   , * ,
NT225," Nuffield Health, Leeds Hospital - (NT225) ", 60 , 55 , * , -   , * , 150 , -   , -   , * , 280 ," 1,055 ", 35 ," 1,375 ", 385 , -   , -   , 10 , 160 , 50 , -   , 45 ,
NT226," Nuffield Health, Leicester Hospital - (NT226) ", * , * , -   , -   , -   , 25 , -   , 20 , * , 125 , 265 , * , 500 , -   , -   , -   , * , * , * , -   , * ,
NT229," Nuffield Health, Newcastle Upon Tyne Hospital - (NT229) ", -   , -   , -   , -   , * , -   , 40 , -   , -   , -   , -   , -   , 215 , -   , -   , -   , * , -   , * , -   , 85 ,
NT230," Nuffield Health, North Staffordshire Hospital - (NT230) ", -   , * , -   , -   , -   , 55 , -   , -   , -   , -   , 65 , 10 ," 2,060 ", -   , -   , -   , * , 10 , 55 , -   , * ,
NT233," Nuffield Health, Plymouth Hospital - (NT233) ", 10 , 60 , 15 , * , 70 , 10 , -   , -   , -   , -   , 735 , 30 ," 1,225 ", 25 , -   , -   , * , 170 , 30 , -   , 50 ,
NT235," Nuffield Health, Shrewsbury Hospital - (NT235) ", -   , 10 , -   , * , -   , 105 ," 1,240 ", -   , -   , -   , 80 , * , 600 , -   , -   , -   , * , * , 20 , -   , * ,
NT238," Nuffield Health, Taunton Hospital - (NT238) ", -   , * , 15 , * , -   , 115 , -   , 10 , -   , 35 , 80 , * , 550 , * , -   , -   , * , -   , * , -   , * ,
NT237," Nuffield Health, Tees Hospital - (NT237) ", -   , 15 , -   , 20 , -   , 85 ," 1,890 ", -   , * , -   , 180 , * ," 1,540 ", * , -   , -   , * , * , 45 , -   , 10 ,
NT210," Nuffield Health, The Grosvenor Hospital, Chester - (NT210) ", -   , -   , * , 315 , * , * , -   , -   , -   , -   , 70 , * , 405 , -   , -   , -   , -   , 15 , 50 , -   , * ,
NT239," Nuffield Health, Tunbridge Wells Hospital - (NT239) ", -   , * , -   , -   , -   , * , -   , -   , -   , 15 , 85 , * , 170 , 40 , -   , -   , -   , 10 , * , -   , * ,
NT224," Nuffield Health, Warwickshire Hospital - (NT224) ", -   , * , -   , -   , -   , 40 , -   , -   , -   , -   , -   , * , 450 , -   , -   , -   , -   , -   , 25 , -   , * ,
NT214," Nuffield Health, Wessex Hospital - (NT214) ", -   , * , -   , -   , -   , 25 , -   , -   , -   , -   , 50 , * , 770 , * , -   , -   , * , -   , 15 , -   , -   ,
NT241," Nuffield Health, Woking Hospital - (NT241) ", -   , * , -   , -   , -   , 15 , 20 , -   , -   , -   , -   , -   , 360 , * , -   , -   , * , * , * , -   , * ,
NT242," Nuffield Health, Wolverhampton Hospital - (NT242) ", -   , * , -   , -   , -   , 80 ," 1,900 ", -   , -   , -   , 135 , * , 900 , -   , -   , -   , * , -   , * , -   , * ,
NT245," Nuffield Health, York Hospital - (NT245) ", -   , * , * , -   , -   , 20 , -   , -   , -   , -   , -   , * , 590 , -   , -   , -   , * , -   , 25 , -   , -   ,
NHW02, Nuffield Hospital (Standard Health) - (NHW02) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   , -   ,
NT244, Nuffield Hospital Oxford (The Manor) - (NT244) , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 180 , -   , -   , -   , * , -   , * , -   , -   ,
NEY14, Oaklands Hospital - (NEY14) , -   , * , -   , * , * , * , -   , -   , -   , -   , -   , -   , 65 , -   , -   , -   , -   , * , -   , -   , -   ,
NVC12, Oaklands Hospital - (NVC12) , 115 , 135 , 60 , * , * , 240 , 100 , 30 , * , 75 ," 2,215 ", 195 ," 2,190 ", 470 , * , -   , 15 , 335 , 70 , -   , 355 ,
NVC13, Oaks Hospital - (NVC13) , * , 15 , -   , * , -   , * , 135 , -   , 10 , * , 150 , 15 , 200 , 30 , -   , -   , * , 15 , * , -   , 20 ,
NY6D2, Oasis Health Care - (NY6D2) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , 25 , -   , -   , -   ,
NXP02, Old Town Surgery - (NXP02) , * , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , * , 85 , -   , -   , -   , -   , -   , -   , -   , -   ,
AVQ01, One Ashford Hospital - (AVQ01) , * , 15 , * , -   , -   , 15 , -   , -   , * , -   , 225 , 10 , 690 , 130 , -   , -   , * , 20 , 10 , -   , * ,
AVQ03, One Hatfield Hospital - (AVQ03) , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , 120 , -   , -   , -   , -   , * , * , -   , -   ,
NTX51, One Health Group - Barlborough Treatment Centre - (NTX51) , -   , * , -   , 30 , 20 , 20 , * , -   , 30 , * , * , -   , 635 , * , -   , -   , * , 15 , * , -   , 10 ,
NTX24, One Health Group - Doncaster Clinic - (NTX24) , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , 25 , -   , -   , -   , -   , -   , -   , -   , * ,
NTX12, One Health Group Clinic - Claremont - (NTX12) , -   , 30 , * , * , * , 15 , -   , -   , * , -   , 340 , 20 , 185 , 275 , -   , -   , * , 85 , * , -   , 25 ,
NTX09, One Health Group Clinic - Gainsborough - (NTX09) , -   , -   , -   , * , -   , -   , -   , -   , * , * , * , -   , 160 , * , -   , -   , -   , * , -   , -   , * ,
NTX06, One Health Group Clinic - Osset - (NTX06) , -   , -   , -   , * , -   , * , -   , -   , * , * , -   , -   , 250 , -   , -   , -   , -   , * , -   , -   , * ,
NTX11, One Health Group Clinic - Thornbury - (NTX11) , * , 75 , 10 , 25 , 15 , 125 , * , -   , 40 , 20 , 720 , 85 ," 1,310 ", 325 , -   , -   , 10 , 185 , 15 , -   , 40 ,
NTX01, One Health Group Ltd - (NTX01) , * , 20 , * , -   , -   , -   , -   , -   , * , * , 355 , 35 , -   , * , -   , -   , -   , 75 , -   , -   , * ,
NNH05, Optegra (Birmingham Eye Hospital) - (NNH05) , -   , -   , -   , -   , -   , -   ," 1,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH04, Optegra (Manchester Eye Hospital) - (NNH04) , -   , -   , -   , -   , -   , -   ," 6,615 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH06, Optegra (Solent Eye Hospital) - (NNH06) , -   , -   , -   , -   , -   , -   , 555 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH03, Optegra (Surrey Eye Hospital) - (NNH03) , -   , -   , -   , -   , -   , -   , 170 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH07, Optegra London Eye Hospital - (NNH07) , -   , -   , -   , -   , -   , -   ," 1,675 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH02, Optegra Yorkshire Eye Hospital - (NNH02) , -   , -   , -   , -   , -   , -   ," 1,285 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NQM01, Orthopaedics & Spine Specialist Hospital Site - (NQM01) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 290 , -   , -   , -   , -   , * , * , -   , -   ,
RNU, Oxford Health NHS Foundation Trust - (RNU) , 20 , 25 , * , 40 ," 1,520 ", 100 , * , -   , 175 , 170 , 20 , 45 , 55 , 65 , -   , * , -   , 295 , 220 , * , 120 ,
RTH, Oxford University Hospitals NHS Foundation Trust - (RTH) ," 5,595 "," 21,630 "," 5,050 "," 4,645 "," 1,060 "," 6,475 "," 6,945 ", 995 ," 14,090 "," 13,700 "," 27,845 "," 4,290 "," 10,860 "," 12,805 "," 11,260 "," 3,040 "," 2,170 "," 20,845 "," 15,660 ", 125 ," 13,680 ",
RPG, Oxleas NHS Foundation Trust - (RPG) , -   , -   , -   , -   ," 1,765 ", 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 590 , -   , -   , 20 ,
NY60C, Pain Management Solutions - Croft Shifa Health Centre - (NY60C) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 370 , -   , -   , -   , -   , 10 , -   , -   , -   ,
NY61G, Pain Management Solutions - George Eliot Hospital NHS Trust - (NY61G) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , 15 , -   , -   , -   ,
NY6E8, Pain Management Solutions - Irish World Heritage Centre - (NY6E8) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 45 , -   , -   , -   , -   , * , -   , -   , -   ,
NY60M, Pain Management Solutions - Scunthorpe General Hospital - (NY60M) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , * , -   , -   , -   ,
NY677, Pain Management Solutions - Severn Fields Health Village - (NY677) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 190 , -   , -   , -   , -   , 15 , -   , -   , -   ,
NY693, Pain Management Solutions - Shrewsbury Sports Village - (NY693) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 95 , -   , -   , -   , -   , 10 , -   , -   , -   ,
NY631, Pain Management Solutions (Horder Healthcare) - (NY631) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55 , -   , -   , -   , -   , * , -   , -   , -   ,
NVC14, Park Hill Hospital - (NVC14) , -   , 10 , * , * , -   , 55 , -   , -   , -   , * , 85 , 20 , 545 , -   , -   , -   , * , * , 15 , -   , * ,
NQT5H, Paulton Memorial Hospital - (NQT5H) , 15 , 10 , * , * , 15 , 10 , -   , -   , 20 , 50 , 15 , * , 15 , 25 , -   , -   , -   , 30 , 105 , -   , * ,
NTPH5, Peninsula NHS Treatment Centre - (NTPH5) , 40 , 15 , 10 , -   , -   , * ," 1,755 ", -   , -   , * , 795 , 10 , 25 , * , -   , -   , * , 185 , * , -   , 30 ,
RW6, Pennine Acute Hospitals NHS Trust - (RW6) ," 8,425 "," 18,360 "," 6,595 "," 4,340 "," 1,820 "," 2,945 "," 4,510 "," 1,010 "," 12,730 "," 20,385 "," 31,980 "," 4,750 "," 13,445 "," 10,380 "," 12,355 "," 2,820 ", 295 ," 23,530 "," 12,575 ", 215 ," 7,035 ",
NEQ01, Phoenix Health Solutions Limited - (NEQ01) , -   , 80 , 40 , -   , -   , 45 , 260 , -   , 10 , -   , 340 , -   , -   , 25 , -   , -   , -   , 735 , -   , -   , 300 ,
NVC15, Pinehill Hospital - (NVC15) , 35 , 80 , 25 , * , -   , 75 , 590 , 15 , * , 80 ," 1,315 ", 15 ," 1,490 ", 560 , -   , -   , * , 240 , 20 , -   , 80 ,
NEY01, Pioneer Healthcare Ltd - Claremont Hospital - (NEY01) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 75 , -   , -   , -   , -   , -   , -   , -   , -   ,
RD3, Poole Hospital NHS Foundation Trust - (RD3) ," 2,775 "," 9,865 "," 1,835 "," 1,285 ", 520 ," 1,750 ", 175 ," 1,105 "," 3,195 "," 6,735 "," 11,635 "," 2,605 "," 3,510 "," 2,515 "," 5,390 "," 1,310 ", 310 ," 8,960 "," 7,505 ", 20 ," 6,195 ",
RHU, Portsmouth Hospitals NHS Trust - (RHU) ," 3,760 "," 12,335 "," 3,720 "," 2,590 "," 1,330 "," 2,195 "," 9,995 "," 1,090 "," 8,225 "," 10,650 "," 21,195 "," 2,930 "," 10,255 "," 8,300 "," 8,555 "," 1,275 ", 455 ," 16,115 "," 10,810 ", 65 ," 9,825 ",
NAM01, Probus Surgical Centre - (NAM01) , -   , * , -   , -   , -   , 275 ," 1,505 ", -   , -   , -   , 490 , -   , -   , -   , -   , -   , -   , -   , * , -   , 325 ,
RPC, Queen Victoria Hospital NHS Foundation Trust - (RPC) , 35 ," 4,050 ", * , 15 , 35 ," 2,510 "," 2,925 ", 20 , 45 , 75 ," 2,430 "," 1,600 ", 810 , 35 , * , -   , 230 , 365 ," 4,625 ", -   , 820 ,
NVC16, Renacres Hospital - (NVC16) , 15 , 140 , 35 , * , -   , 165 , 450 , 50 , * , 190 ," 1,450 ", 35 ," 2,200 ", 370 , -   , -   , 15 , 270 , 40 , -   , 95 ,
NVC19, Rivers Hospital - (NVC19) , 90 , 85 , 55 , * , * , 175 ," 1,535 ", 10 , * , 140 ," 3,775 ", 30 ," 1,935 "," 1,290 ", -   , -   , 10 , 835 , 40 , -   , 245 ,
RXE, Rotherham Doncaster And South Humber NHS Foundation Trust - (RXE) , * , 145 , * , * , 940 , 55 , -   , * , 45 , 30 , * , 10 , 95 , 15 , -   , -   , -   , 975 , 230 , -   , 50 ,
NVC17, Rowley Hall Hospital - (NVC17) , 40 , 55 , 25 , * , -   , 125 ," 1,670 ", -   , 10 , * ," 1,005 ", 30 ," 2,445 ", 555 , * , -   , * , 490 , 60 , -   , 100 ,
RHW, Royal Berkshire NHS Foundation Trust - (RHW) ," 3,110 "," 9,485 "," 2,745 "," 2,210 ", 895 ," 1,585 "," 5,820 ", 445 ," 5,155 "," 6,350 "," 12,060 "," 1,705 "," 8,425 "," 5,595 "," 11,030 "," 1,600 ", 290 ," 15,575 "," 7,290 ", 95 ," 9,710 ",
RT3, Royal Brompton & Harefield NHS Foundation Trust - (RT3) , 440 ," 1,670 "," 2,280 "," 2,720 ", * ," 2,630 ", * , * ," 11,950 "," 11,660 ", 80 , 145 , 225 , 40 , 15 , 15 ," 2,220 "," 3,850 ", 675 , 15 ," 1,025 ",
REF-X, Royal Cornwall Hospitals NHS Trust - (REF-X) ," 3,245 "," 24,405 "," 3,210 "," 3,255 ", 820 ," 2,840 "," 5,135 ", 565 ," 7,705 "," 7,295 "," 20,380 "," 2,425 "," 7,245 "," 5,960 "," 10,330 "," 1,555 ", 465 ," 12,240 "," 8,925 ", 40 ," 7,920 ",
RH8, Royal Devon And Exeter NHS Foundation Trust - (RH8) ," 3,505 "," 13,805 "," 2,565 "," 1,605 ", 875 ," 2,160 "," 6,115 ", 690 ," 7,545 "," 8,360 "," 15,835 "," 3,030 "," 7,670 "," 7,065 "," 5,390 "," 1,120 ", 430 ," 9,025 "," 8,880 ", 60 ," 6,165 ",
RAL, Royal Free London NHS Foundation Trust - (RAL) ," 4,910 "," 18,375 "," 5,930 "," 3,585 ", 815 ," 2,095 "," 5,085 ", 475 ," 8,660 "," 9,205 "," 24,595 "," 5,595 "," 9,215 "," 9,510 "," 16,850 "," 3,825 ", 800 ," 32,360 "," 11,820 ", 485 ," 9,665 ",
RAN, Royal National Orthopaedic Hospital NHS Trust - (RAN) , * ," 2,250 ", 160 , 15 , -   ," 1,990 ", -   , -   , * , * , * , 110 ," 9,105 ", 290 , -   , 55 , 630 , 165 ," 1,435 ", -   , 65 ,
RGM, Royal Papworth Hospital NHS Foundation Trust - (RGM) , 70 , 860 , 160 , 900 , 20 ," 3,645 ", -   , -   ," 10,950 "," 4,335 ", 15 , * , 90 , 10 , * , -   , 120 , 885 , 335 , * , 540 ,
RA2, Royal Surrey County Hospital NHS Foundation Trust - (RA2) ," 2,235 "," 13,450 "," 2,320 ", 795 , 555 ," 1,200 "," 2,370 ", 615 ," 3,390 "," 5,055 "," 15,040 "," 2,225 "," 5,765 "," 4,815 "," 4,580 "," 1,365 ", 190 ," 9,415 "," 6,500 ", 50 ," 5,135 ",
