"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2017-18)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2017-18.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
NAM02, Meneage Street Surgery (NAM02) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * ,
RW4, Mersey Care NHS Foundation Trust (RW4) , -   , -   , -   , -   ," 2,385 ", 55 , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , 70 , -   , -   , 405 ,
RBT, Mid Cheshire Hospitals NHS Foundation Trust (RBT) ," 3,025 "," 5,190 "," 1,955 "," 1,010 ", 900 ," 1,345 "," 5,030 ", 370 ," 3,340 "," 5,075 "," 12,235 "," 1,415 "," 5,080 "," 4,250 "," 8,405 "," 1,525 ", 250 ," 9,470 "," 4,995 ", -   ," 5,040 ",
RQ8, Mid Essex Hospital Services NHS Trust (RQ8) ," 2,810 "," 16,800 "," 2,020 "," 1,240 ", 430 ," 2,585 "," 2,250 ", 430 ," 4,510 "," 5,295 "," 8,725 "," 3,210 "," 5,995 "," 4,900 "," 6,520 "," 1,660 ", 570 ," 9,800 "," 9,365 ", -   ," 5,510 ",
RXF-X, Mid Yorkshire Hospitals NHS Trust (RXF-X) ," 4,940 "," 22,315 "," 3,725 "," 1,965 ", 870 ," 3,075 "," 3,460 ", 865 ," 6,285 "," 10,970 "," 16,660 "," 3,320 "," 11,520 "," 8,245 "," 14,775 "," 1,265 ", 395 ," 18,355 "," 14,650 ", -   ," 11,410 ",
NXP13, Middleport Medical Centre (NXP13) , -   , -   , -   , -   , -   , 360 , -   , -   , -   , -   , -   , -   , 60 , -   , -   , -   , -   , -   , -   , -   , -   ,
NDA26, Milford Specialist Rehabilitation Hospital (NDA26) , 10 , * , * , * , * , * , -   , -   , 25 , 20 , * , * , 15 , 10 , -   , -   , -   , 175 , 60 , -   , * ,
RD8, Milton Keynes University Hospital NHS Foundation Trust (RD8) ," 3,265 "," 11,010 "," 1,415 "," 1,275 ", 335 , 780 ," 1,640 ", 470 ," 3,415 "," 6,285 "," 8,945 "," 1,270 "," 3,305 "," 3,715 "," 6,535 ", 960 , 165 ," 7,720 "," 3,975 ", -   ," 4,495 ",
RP6, Moorfields Eye Hospital NHS Foundation Trust (RP6) , 10 ," 1,055 ", * , 40 , * , 15 ," 34,480 ", * , 15 , * , * , 95 , 10 , * , -   , -   , 500 , * , 680 , -   , 300 ,
NAM06, Morrab Surgery (NAM06) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NR527, Mount Gould Hospital (NR527) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 85 , -   , -   , -   ,
NVC08, Mount Stuart Hospital (NVC08) , 10 , 320 , * , * , -   , 200 , 325 , * , -   , 70 , 780 , 125 ," 1,100 ", 605 , * , -   , * , 190 , 20 , -   , 110 ,
NVC09, New Hall Hospital (NVC09) , 20 , 35 , * , * , -   , 210 , 255 , * , * , 95 , 425 , 20 ," 4,335 ", 435 , -   , -   , * , 85 , 75 , -   , 50 ,
NHM04, Newmarket Community Hospital (NHM04) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 115 , -   , -   , -   ,
ACG10, Newmedica Community Ophthalmology - Bristol - Bristol (ACG10) , -   , -   , -   , -   , -   , -   , 790 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG13, Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) (ACG13) , -   , -   , -   , -   , -   , -   , 240 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG07, Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital) (ACG07) , -   , -   , -   , -   , -   , -   ," 2,180 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG09, Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre (ACG09) , -   , -   , -   , -   , -   , -   , 705 , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG12, Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby (ACG12) , -   , -   , -   , -   , -   , -   , 535 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG05, Newmedica Community Ophthalmology - Swindon - Swindon (Taw Hill Medical Centre) (ACG05) , -   , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
ACG06, Newmedica Community Ophthalmology - Swindon - Tetbury (ACG06) , -   , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
RM1, Norfolk And Norwich University Hospitals NHS Foundation Trust (RM1) ," 4,765 "," 40,070 "," 3,395 "," 2,495 ", 850 ," 2,490 "," 6,570 ", 880 ," 11,280 "," 9,705 "," 22,610 "," 3,250 "," 9,525 "," 7,695 "," 12,820 "," 2,040 ", 930 ," 14,625 "," 10,460 ", -   ," 10,940 ",
RMY-X, Norfolk And Suffolk NHS Foundation Trust (RMY-X) , -   , -   , -   , -   ," 1,640 ", * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,125 ", -   , -   , 15 ,
RY3, Norfolk Community Health And Care NHS Trust (RY3) , 125 , 355 , 15 , 35 , 25 , 60 , -   , * , 485 , 285 , 95 , 85 , 230 , 205 , -   , -   , * , 195 , 775 , -   , 580 ,
RVJ-X, North Bristol NHS Trust (RVJ-X) ," 2,840 "," 13,975 "," 4,105 "," 1,875 ", 940 ," 4,090 ", 95 , 125 ," 6,345 "," 6,370 "," 14,105 "," 3,745 "," 10,075 "," 11,130 "," 15,200 "," 3,230 ", 405 ," 14,410 "," 10,910 ", -   ," 10,165 ",
RNL, North Cumbria University Hospitals NHS Trust (RNL) ," 3,295 "," 10,175 "," 1,055 ", 980 , 415 ," 1,610 "," 3,035 ", 425 ," 6,540 "," 7,230 "," 13,065 "," 1,205 "," 4,305 "," 4,385 "," 4,435 ", 990 , 220 ," 4,500 "," 4,235 ", -   ," 4,610 ",
NVC11, North Downs Hospital (NVC11) , 10 , 60 , 10 , -   , -   , 90 , 65 , -   , 20 , -   , 560 , 40 , 945 , 280 , -   , -   , * , 140 , 15 , -   , 60 ,
NTP15, North East London Treatment Centre Care Uk (NTP15) , 100 , 320 , 45 , * , * , 200 , 880 , -   , 35 , * ," 4,480 ", 325 ," 1,675 ", * , -   , -   , * , 595 , 85 , -   , 100 ,
RAP, North Middlesex University Hospital NHS Trust (RAP) ," 3,315 "," 9,410 "," 2,455 "," 1,075 ", 595 , 915 ," 3,575 ", 100 ," 3,460 "," 5,255 "," 9,055 "," 1,585 "," 4,095 "," 5,095 "," 6,720 "," 2,770 ", 180 ," 8,380 "," 3,720 ", -   ," 4,925 ",
RLY, North Staffordshire Combined Healthcare NHS Trust (RLY) , * , * , -   , * ," 1,135 ", 145 , * , * , * , * , * , * , * , -   , -   , -   , * , 170 , * , -   , 560 ,
RVW, North Tees And Hartlepool NHS Foundation Trust (RVW) ," 4,185 "," 11,780 "," 2,865 "," 2,110 ", 710 ," 1,190 ", 95 , 210 ," 4,785 "," 8,140 "," 13,630 "," 1,590 "," 7,285 "," 5,165 "," 5,795 "," 1,070 ", 180 ," 11,155 "," 5,135 ", -   ," 5,255 ",
RGN, North West Anglia NHS Foundation Trust (RGN) ," 4,960 "," 17,015 "," 2,405 "," 1,845 ", 705 ," 2,000 "," 5,160 ", 875 ," 6,235 "," 9,205 "," 16,805 "," 3,065 "," 8,365 "," 7,475 "," 9,335 "," 2,325 ", 395 ," 16,145 "," 8,320 ", -   ," 9,060 ",
RTV, North West Boroughs Healthcare NHS Foundation Trust (RTV) , -   , -   , -   , -   ," 1,690 ", 75 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 955 , * , -   , 15 ,
RNS, Northampton General Hospital NHS Trust (RNS) ," 3,985 "," 13,880 "," 2,330 "," 2,930 "," 1,040 "," 2,290 "," 3,275 ", 605 ," 6,230 "," 7,705 "," 13,040 "," 2,105 "," 5,305 "," 4,695 "," 13,565 "," 2,375 ", 400 ," 10,965 "," 7,150 ", -   ," 7,885 ",
RP1, Northamptonshire Healthcare NHS Foundation Trust (RP1) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,055 ", -   , -   , -   ,
RBZ, Northern Devon Healthcare NHS Trust (RBZ) ," 1,340 "," 8,030 "," 1,130 ", 910 , 315 ," 1,170 "," 1,765 ", 50 ," 2,775 "," 2,930 "," 5,600 ", 895 ," 3,825 "," 2,730 "," 4,100 ", 900 , 80 ," 4,715 "," 2,810 ", -   ," 3,075 ",
RJL-X, Northern Lincolnshire And Goole NHS Foundation Trust (RJL-X) ," 3,020 "," 13,620 "," 2,480 "," 1,350 ", 480 ," 1,405 "," 6,885 ", 390 ," 5,875 "," 7,440 "," 17,030 "," 1,460 "," 7,415 "," 6,575 "," 8,210 "," 1,445 ", 185 ," 10,645 "," 4,420 ", -   ," 8,275 ",
RX4," Northumberland, Tyne And Wear NHS Foundation Trust (RX4) ", -   , * , -   , * ," 1,610 ", 70 , -   , * , 10 , -   , -   , -   , * , -   , * , -   , * , 535 , 30 , -   , 30 ,
RTF, Northumbria Healthcare NHS Foundation Trust (RTF) ," 4,750 "," 19,730 "," 1,340 "," 1,760 "," 1,290 "," 2,670 ", 150 , 245 ," 7,015 "," 8,560 "," 17,315 "," 2,145 "," 12,735 "," 4,715 "," 4,895 "," 1,380 ", 360 ," 13,095 "," 9,185 ", -   ," 5,855 ",
RX1, Nottingham University Hospitals NHS Trust (RX1) ," 7,480 "," 41,125 "," 6,265 "," 2,685 "," 1,535 "," 5,840 "," 8,385 "," 1,245 "," 11,540 "," 12,120 "," 16,205 "," 2,960 "," 13,065 "," 8,295 "," 23,190 "," 2,495 "," 1,900 "," 21,285 "," 15,840 ", -   ," 14,965 ",
RHA, Nottinghamshire Healthcare NHS Foundation Trust (RHA) , 45 , 225 , -   , 15 ," 2,730 ", 170 , -   , * , 45 , 90 , 55 , 10 , 65 , 25 , 10 , -   , * , 325 , 340 , -   , 60 ,
NT202," Nuffield Health, Bournemouth Hospital (NT202) ", * , 340 , -   , -   , -   , 40 , * , * , * , -   , 90 , 50 , 235 , 90 , -   , -   , * , 10 , * , -   , 15 ,
NT204," Nuffield Health, Brentwood Hospital (NT204) ", * , 70 , * , * , -   , 15 , 205 , 25 , -   , 90 , 150 , * , 490 , 605 , -   , -   , * , 50 , 15 , -   , 35 ,
NT205," Nuffield Health, Brighton Hospital (NT205) ", * , * , * , -   , 280 , * , -   , -   , -   , -   , 130 , * , 85 , * , -   , -   , -   , 25 , * , -   , * ,
NT206," Nuffield Health, Bristol Hospital (Chesterfield) (NT206) ", * , -   , 15 , * , -   , 60 , 315 , * , * , -   , 290 , * , 605 , * , -   , -   , * , 85 , * , -   , -   ,
NT209," Nuffield Health, Cambridge Hospital (NT209) ", * , 15 , * , -   , -   , 15 , -   , -   , -   , -   , 85 , * , 345 , -   , -   , -   , -   , 25 , * , -   , * ,
NT211," Nuffield Health, Cheltenham Hospital (NT211) ", -   , -   , * , -   , -   , -   , -   , -   , -   , -   , 20 , * , 95 , -   , -   , -   , -   , * , -   , -   , -   ,
NT212," Nuffield Health, Chichester Hospital (NT212) ", -   , 20 , * , -   , -   , 65 , -   , -   , -   , -   , 95 , 10 ," 1,315 ", 140 , -   , -   , * , 25 , 10 , -   , 20 ,
NT213," Nuffield Health, Derby Hospital (NT213) ", * , 15 , -   , -   , -   , * , -   , 30 , * , 115 , 150 , * ," 1,270 ", -   , -   , -   , * , 25 , 25 , -   , * ,
NT215," Nuffield Health, Exeter Hospital (NT215) ", * , * , * , -   , -   , -   , -   , -   , 155 , -   , 30 , * , 100 , -   , -   , -   , -   , 15 , * , -   , * ,
NT218," Nuffield Health, Haywards Heath Hospital (NT218) ", -   , -   , -   , -   , -   , 35 , -   , -   , -   , -   , 105 , -   , 250 , -   , -   , -   , -   , 30 , 10 , -   , -   ,
NT219," Nuffield Health, Hereford Hospital (NT219) ", -   , 10 , -   , -   , * , * , -   , * , -   , 35 , 155 , * , 350 , 20 , -   , -   , * , * , * , -   , * ,
NT225," Nuffield Health, Leeds Hospital (NT225) ", 60 , 80 , * , -   , * , 185 , -   , * , * , 325 ," 1,290 ", 25 ," 1,885 ", 470 , -   , -   , 10 , 270 , 50 , -   , 65 ,
NT226," Nuffield Health, Leicester Hospital (NT226) ", * , 30 , -   , -   , -   , 50 , 45 , 45 , -   , 355 , 485 , 10 , 560 , 45 , -   , -   , * , 50 , 15 , -   , * ,
NT229," Nuffield Health, Newcastle Upon Tyne Hospital (NT229) ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 240 , -   , -   , -   , -   , -   , * , -   , 120 ,
NT230," Nuffield Health, North Staffordshire Hospital (NT230) ", -   , 10 , -   , * , -   , 175 , -   , -   , * , -   , 30 , 10 ," 2,245 ", -   , -   , -   , 15 , * , 55 , -   , * ,
NT233," Nuffield Health, Plymouth Hospital (NT233) ", 10 , 55 , 15 , * , 15 , 15 , * , -   , -   , -   , 730 , 45 , 995 , 40 , -   , -   , * , 205 , 20 , -   , 35 ,
NT235," Nuffield Health, Shrewsbury Hospital (NT235) ", -   , 10 , -   , -   , -   , 155 , 800 , -   , -   , -   , 20 , * , 665 , -   , -   , -   , * , -   , 10 , -   , * ,
NT238," Nuffield Health, Taunton Hospital (NT238) ", -   , * , -   , -   , -   , 140 , 80 , 10 , -   , 95 , 65 , * , 445 , 30 , -   , -   , * , * , 10 , -   , * ,
NT237," Nuffield Health, Tees Hospital (NT237) ", * , 40 , * , 15 , -   , 75 ," 1,940 ", -   , * , -   , 465 , * ," 1,415 ", -   , -   , -   , -   , 50 , 50 , -   , 10 ,
NT210," Nuffield Health, The Grosvenor Hospital, Chester (NT210) ", -   , -   , -   , -   , -   , * , -   , -   , -   , -   , * , -   , 510 , -   , -   , -   , * , * , * , -   , * ,
NT239," Nuffield Health, Tunbridge Wells Hospital (NT239) ", * , 15 , -   , -   , -   , 15 , 40 , -   , -   , 30 , 160 , * , 465 , * , -   , -   , * , 20 , 10 , -   , 15 ,
NT224," Nuffield Health, Warwickshire Hospital (NT224) ", -   , * , -   , -   , -   , 55 , -   , -   , -   , -   , -   , * , 660 , -   , -   , -   , * , -   , 15 , -   , * ,
NT214," Nuffield Health, Wessex Hospital (NT214) ", * , 15 , * , -   , -   , 115 , 15 , -   , -   , * , 220 , * , 960 , 35 , -   , -   , -   , 45 , 15 , -   , 15 ,
NT241," Nuffield Health, Woking Hospital (NT241) ", -   , * , -   , -   , -   , 35 , 105 , -   , -   , -   , * , * , 525 , * , -   , -   , * , * , * , -   , * ,
NT242," Nuffield Health, Wolverhampton Hospital (NT242) ", -   , * , -   , -   , -   , 80 ," 1,455 ", -   , * , -   , 70 , * , 970 , * , -   , -   , * , * , 10 , -   , -   ,
NT245," Nuffield Health, York Hospital (NT245) ", -   , * , * , -   , -   , 25 , -   , -   , -   , -   , * , -   , 665 , -   , -   , -   , * , -   , 25 , -   , * ,
NT244, Nuffield Hospital Oxford (The Manor) (NT244) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 275 , -   , -   , -   , * , -   , * , -   , -   ,
NAM07, Oak Tree Surgery (NAM07) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * ,
NVC12, Oaklands Hospital (NVC12) , 35 , 45 , 15 , -   , * , 300 , 170 , 25 , -   , 105 ," 1,010 ", 70 ," 2,185 ", 230 , * , -   , 10 , 110 , 80 , -   , 195 ,
NVC13, Oaks Hospital (NVC13) , 20 , 95 , 40 , 10 , 10 , 30 , 675 , * , 135 , 55 ," 1,790 ", 70 ," 1,135 ", 540 , -   , -   , * , 665 , 10 , -   , 165 ,
NXP02, Old Town Surgery (NXP02) , -   , * , -   , -   , -   , 10 , -   , -   , -   , -   , 40 , * , 35 , -   , -   , -   , -   , * , * , -   , -   ,
AVQ01, One Ashford Hospital (AVQ01) , -   , * , -   , -   , -   , 10 , -   , -   , -   , -   , 200 , * , 295 , 35 , -   , -   , -   , 35 , * , -   , * ,
NTX12, One Health Group Clinic - Claremont (NTX12) , * , 30 , 10 , * , * , 30 , -   , -   , -   , -   , 605 , 40 , 230 , 125 , -   , -   , * , 105 , * , -   , 15 ,
NTX09, One Health Group Clinic - Gainsborough (NTX09) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 315 , -   , -   , -   , -   , * , -   , -   , -   ,
NTX06, One Health Group Clinic - Osset (NTX06) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , 295 , -   , -   , -   , * , -   , -   , -   , -   ,
NTX11, One Health Group Clinic - Thornbury (NTX11) , * , 60 , 15 , -   , * , 150 , -   , -   , * , -   , 715 , 75 ," 1,580 ", 185 , -   , -   , * , 165 , 10 , -   , 30 ,
NTX01, One Health Group Ltd (NTX01) , * , 15 , * , -   , -   , * , -   , -   , -   , -   , 275 , 30 , 235 , * , -   , -   , -   , 85 , * , -   , * ,
NNH04, Optegra (Manchester Eye Hospital) (NNH04) , -   , -   , -   , -   , -   , -   ," 4,110 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , -   ,
NNH06, Optegra (Solent Eye Hospital) (NNH06) , -   , -   , -   , -   , -   , -   , 135 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH03, Optegra (Surrey Eye Hospital) (NNH03) , -   , -   , -   , -   , -   , -   , 145 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH07, Optegra London Eye Hospital (NNH07) , -   , -   , -   , -   , -   , -   , 350 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NNH02, Optegra Yorkshire Eye Hospital (NNH02) , -   , -   , -   , -   , -   , -   , 820 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NQM01, Orthopaedics & Spine Specialist Hospital Site (NQM01) , -   , * , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , 265 , -   , -   , -   , -   , * , 10 , -   , -   ,
RNU, Oxford Health NHS Foundation Trust (RNU) , 35 , 35 , 10 , 55 ," 1,380 ", 70 , -   , * , 205 , 195 , 45 , 45 , 60 , 120 , -   , -   , * , 400 , 320 , -   , 30 ,
RTH, Oxford University Hospitals NHS Foundation Trust (RTH) ," 6,115 "," 22,270 "," 5,255 "," 4,535 ", 970 ," 6,585 "," 6,685 "," 1,080 "," 13,795 "," 12,130 "," 27,495 "," 4,150 "," 11,170 "," 12,200 "," 11,400 "," 3,215 "," 2,340 "," 20,675 "," 14,435 ", -   ," 14,190 ",
RPG, Oxleas NHS Foundation Trust (RPG) , -   , -   , -   , -   ," 1,815 ", 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 605 , -   , -   , 25 ,
NY601, Pain Management Solutions - Oaks Park Pcc (NY601) , -   , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   ," 1,260 ", -   , -   , -   , -   , 110 , -   , -   , -   ,
NVC14, Park Hill Hospital (NVC14) , * , * , -   , -   , -   , 50 , -   , * , * , 40 , 80 , 25 , 700 , -   , -   , -   , * , * , 30 , -   , -   ,
NQT5H, Paulton Memorial Hospital (NQT5H) , * , * , * , 10 , * , * , -   , -   , 20 , 45 , 10 , 10 , 25 , 25 , -   , -   , -   , 15 , 95 , -   , * ,
NTPH5, Peninsula NHS Treatment Centre (NTPH5) , 40 , 25 , 10 , -   , -   , 205 ," 1,055 ", -   , -   , -   ," 1,100 ", 10 ," 2,195 ", * , -   , -   , * , 395 , 95 , -   , 40 ,
RW6, Pennine Acute Hospitals NHS Trust (RW6) ," 9,310 "," 16,765 "," 5,480 "," 4,150 "," 1,350 "," 3,010 "," 4,375 "," 1,120 "," 12,280 "," 18,865 "," 26,550 "," 3,935 "," 14,875 "," 10,160 "," 12,745 "," 4,745 ", 520 ," 22,185 "," 11,970 ", -   ," 9,455 ",
NEQ01, Phoenix Health Solutions Limited (NEQ01) , -   , 355 , 25 , -   , -   , 60 , 405 , 185 , 35 , 80 , 240 , 10 , 680 , 220 , -   , -   , -   , 520 , -   , -   , 110 ,
NVC15, Pinehill Hospital (NVC15) , 55 , 65 , 20 , * , * , 85 , 835 , 15 , * , 115 ," 1,230 ", 20 ," 1,355 ", 560 , * , -   , * , 230 , 20 , -   , 110 ,
NEY01, Pioneer Healthcare Ltd - Claremont Hospital (NEY01) , -   , * , -   , -   , -   , 35 , -   , -   , -   , -   , -   , -   , 195 , -   , -   , -   , * , * , -   , -   , * ,
RK9, Plymouth Hospitals NHS Trust (RK9) ," 4,025 "," 19,910 "," 2,880 "," 1,805 ", 605 ," 2,980 "," 4,160 ", 710 ," 8,485 "," 8,860 "," 12,080 "," 2,865 "," 6,195 "," 5,905 "," 6,210 "," 1,585 ", 620 ," 15,825 "," 10,320 ", -   ," 5,705 ",
RD3, Poole Hospital NHS Foundation Trust (RD3) ," 3,020 "," 8,735 "," 1,655 "," 1,215 ", 510 ," 1,565 ", 165 ," 1,095 "," 3,010 "," 6,535 "," 10,955 "," 2,950 "," 3,360 "," 2,720 "," 5,710 "," 1,495 ", 260 ," 9,295 "," 7,630 ", -   ," 6,375 ",
RHU, Portsmouth Hospitals NHS Trust (RHU) ," 4,210 "," 11,020 "," 3,215 "," 2,805 "," 1,045 "," 2,090 "," 9,330 "," 1,160 "," 7,445 "," 9,765 "," 19,345 "," 2,705 "," 10,320 "," 7,965 "," 8,570 "," 1,340 ", 440 ," 14,665 "," 10,295 ", -   ," 10,055 ",
NAM01, Probus Surgical Centre (NAM01) , -   , * , -   , -   , -   , 310 ," 1,425 ", -   , * , -   , 460 , * , * , -   , -   , -   , -   , -   , -   , -   , 350 ,
RPC, Queen Victoria Hospital NHS Foundation Trust (RPC) , 35 ," 4,145 ", * , 15 , 70 ," 1,775 "," 3,005 ", 25 , 20 , 110 ," 2,810 "," 1,315 ", 885 , 45 , * , * , 265 , 955 ," 5,290 ", -   , 760 ,
NVC0M, Ramsay Croydon Day Hospital (NVC0M) , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , * , * , -   , -   , -   , * , -   , -   , * ,
NVC16, Renacres Hospital (NVC16) , 65 , 65 , 60 , * , * , 125 , 375 , 30 , * , 100 ," 1,375 ", 50 ," 1,900 ", 370 , -   , -   , * , 255 , 35 , -   , 55 ,
NVC19, Rivers Hospital (NVC19) , 40 , 200 , 30 , * , * , 145 ," 1,150 ", * , * , 110 ," 3,745 ", 30 ," 1,920 "," 1,365 ", -   , -   , * , 735 , 30 , -   , 325 ,
RXE, Rotherham Doncaster And South Humber NHS Foundation Trust (RXE) , 10 , 190 , * , * , 885 , 85 , -   , -   , 25 , 65 , 15 , 10 , 95 , 30 , -   , -   , * , 585 , 230 , -   , 15 ,
NVC17, Rowley Hall Hospital (NVC17) , 35 , 30 , 30 , * , -   , 130 ," 1,095 ", -   , * , -   , 785 , 35 ," 2,545 ", 490 , -   , -   , 10 , 375 , 65 , -   , 65 ,
RHW, Royal Berkshire NHS Foundation Trust (RHW) ," 3,730 "," 8,495 "," 2,385 "," 1,360 ", 780 ," 1,750 "," 6,730 ", 600 ," 5,035 "," 6,435 "," 10,485 "," 1,835 "," 9,695 "," 5,090 "," 10,975 "," 1,715 ", 335 ," 13,295 "," 7,255 ", -   ," 9,850 ",
RT3, Royal Brompton & Harefield NHS Foundation Trust (RT3) , 425 ," 1,545 "," 2,135 "," 2,605 ", * ," 2,055 ", 10 , -   ," 11,775 "," 9,520 ", 105 , 65 , 250 , 25 , 10 , 15 ," 2,115 "," 4,620 ", 830 , * ," 1,545 ",
REF-X, Royal Cornwall Hospitals NHS Trust (REF-X) ," 3,715 "," 22,675 "," 3,110 "," 2,625 ", 840 ," 2,665 "," 4,835 ", 545 ," 7,170 "," 7,035 "," 16,875 "," 1,960 "," 7,310 "," 6,045 "," 11,635 "," 1,590 ", 515 ," 11,795 "," 9,140 ", -   ," 8,025 ",
RH8, Royal Devon And Exeter NHS Foundation Trust (RH8) ," 3,115 "," 25,990 "," 3,345 "," 2,010 ", 690 ," 2,540 "," 5,675 ", 710 ," 6,475 "," 6,830 "," 14,010 "," 2,780 "," 8,065 "," 6,980 "," 5,520 "," 1,120 ", 420 ," 12,895 "," 8,430 ", -   ," 5,930 ",
RAL, Royal Free London NHS Foundation Trust (RAL) ," 5,365 "," 17,790 "," 5,925 "," 3,420 ", 840 ," 2,125 "," 5,250 ", 515 ," 8,885 "," 9,230 "," 24,120 "," 5,320 "," 9,160 "," 10,380 "," 12,445 "," 2,710 ", 700 ," 17,840 "," 11,205 ", -   ," 22,490 ",
RQ6, Royal Liverpool And Broadgreen University Hospitals NHS Trust (RQ6) ," 3,400 "," 9,095 "," 2,460 "," 2,305 ", 945 ," 1,395 "," 7,445 ", 375 ," 5,695 "," 6,895 "," 16,190 "," 2,265 "," 8,575 "," 3,985 ", 90 , -   , 340 ," 10,470 "," 7,570 ", -   ," 2,995 ",
RAN, Royal National Orthopaedic Hospital NHS Trust (RAN) , 10 ," 2,090 ", 55 , 10 , -   ," 1,985 ", -   , -   , 10 , -   , * , 120 ," 10,345 ", 310 , -   , 60 , 645 , 230 ," 1,350 ", -   , 65 ,
RGM, Royal Papworth Hospital NHS Foundation Trust (RGM) , 55 , 755 , 215 , 785 , 40 ," 3,815 ", * , -   ," 11,405 "," 3,965 ", 25 , 10 , 100 , 10 , 10 , -   , 170 ," 1,290 ", 270 , -   , 795 ,
